method,split,video,scope,frames,lambda,base_bits,enhancement_bits,base_kbps,enhancement_kbps,total_kbps,total_bpp,enhancement_fraction,duration_seconds,diagnostic,zero_no_stream_fallback,nonzero_enhancement_frame_fraction_P,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15.0,,92960.0,,174.3001089375681,,,,,0.533333,True,False,1.0,19.04723399043821,0.8225450811290476,0.31918395558993023,0.012775940675403363,0.7173457227627758,0.03776430481873649,-0.05939655105272929,0.15947738484757987,0.004957042263972074,0.003970150152842204,0.18457266053341,0.006171862682462237,0.0030838072299957274,2.939807905339804,0.05180795106586776,0.09134771029154459
A_Train2_selected,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16.0,,92960.0,,174.3001089375681,,,,,0.533333,True,False,1.0,18.821337903183434,0.8136905900451338,0.31627107970416546,0.0137833981913596,0.6725116150901023,0.035404035767565456,-0.05568426661193371,0.14951004829460612,0.00464722712247382,0.003722015768289566,0.1730368692500719,0.005786121264808347,0.0028910692781209946,2.7560699112560663,0.048569954124251025,0.08563847839832306
A_Train2_selected,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,P,15.0,,104784.0,,196.2736037252724,,,,,0.533867,True,False,1.0,30.630093193014616,0.9165143807223652,0.1305991659561793,0.0009958376403983475,1.0558713614234458,0.014755798948078547,-0.04496328632036845,0.36936102772024954,0.0027374639890673717,-0.001893905798594157,0.4397926649541565,0.0037643035918777453,-0.003506961464881897,2.942023472851803,0.020945289743566308,-0.0159126877784729
A_Train2_selected,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16.0,,104784.0,,196.2736037252724,,,,,0.533867,True,False,1.0,30.363446194506743,0.9101722627650581,0.13664311077445745,0.0010921838009688872,0.9898794013344805,0.013833561513823638,-0.04215308092534542,0.34627596348773393,0.002566372489750661,-0.001775536686182022,0.4123056233945217,0.003529034617385386,-0.0032877763733267784,2.758147005798565,0.019636209134593414,-0.014918144792318344
A_Train2_step150,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15.0,,92960.0,,174.3001089375681,,,,,0.533333,True,False,1.0,19.04723399043821,0.8225450811290476,0.31918395558993023,0.012775940675403363,0.7173457227627758,0.03776430481873649,-0.05939655105272929,0.15947738484757987,0.004957042263972074,0.003970150152842204,0.18457266053341,0.006171862682462237,0.0030838072299957274,2.939807905339804,0.05180795106586776,0.09134771029154459
A_Train2_step150,Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16.0,,92960.0,,174.3001089375681,,,,,0.533333,True,False,1.0,18.821337903183434,0.8136905900451338,0.31627107970416546,0.0137833981913596,0.6725116150901023,0.035404035767565456,-0.05568426661193371,0.14951004829460612,0.00464722712247382,0.003722015768289566,0.1730368692500719,0.005786121264808347,0.0028910692781209946,2.7560699112560663,0.048569954124251025,0.08563847839832306
A_Train2_step150,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,P,15.0,,104784.0,,196.2736037252724,,,,,0.533867,True,False,1.0,30.630093193014616,0.9165143807223652,0.1305991659561793,0.0009958376403983475,1.0558713614234458,0.014755798948078547,-0.04496328632036845,0.36936102772024954,0.0027374639890673717,-0.001893905798594157,0.4397926649541565,0.0037643035918777453,-0.003506961464881897,2.942023472851803,0.020945289743566308,-0.0159126877784729
A_Train2_step150,Train2,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16.0,,104784.0,,196.2736037252724,,,,,0.533867,True,False,1.0,30.363446194506743,0.9101722627650581,0.13664311077445745,0.0010921838009688872,0.9898794013344805,0.013833561513823638,-0.04215308092534542,0.34627596348773393,0.002566372489750661,-0.001775536686182022,0.4123056233945217,0.003529034617385386,-0.0032877763733267784,2.758147005798565,0.019636209134593414,-0.014918144792318344
A_Val6_selected,Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,P,15.0,,76008.0,,118.7625,,,,,0.64,True,False,1.0,35.645652474716286,0.9720394484132179,0.05592690755923589,0.0003289684071449577,2.2480615509240582,0.00425689447639499,-0.013805823028087616,1.49313245996061,0.0032286665300695163,-0.006899989396333695,1.5195570048935678,0.003552357964067935,-0.007170070211092631,6.0463253847133025,0.023084644667801846,-0.021081697940826417
A_Val6_selected,Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,IP,16.0,,76008.0,,118.7625,,,,,0.64,True,False,1.0,35.28990302259122,0.9699856609002158,0.05839473893865943,0.0003775415835469756,2.1075577039913047,0.003990838571620303,-0.01294295908883214,1.3998116812130719,0.0030268748719401717,-0.0064687400590628386,1.4245846920877199,0.0033303355913136892,-0.006721940822899342,5.668430048168722,0.02164185437606423,-0.019764091819524765
A_Val6_selected,Val6,30884276-8cb2-485e-b0ca-a22605c1801f,P,15.0,,65520.0,,122.850076781298,,,,,0.533333,True,False,1.0,25.246100795525155,0.7733736092559871,0.4298533260822296,0.0034204481118474076,0.6317534015915692,0.011242511619882923,-0.03184510469436645,0.900558701805443,0.010362017243156248,0.02227871020634969,0.8776114988049336,0.010415897722133265,0.02046970327695211,3.5255932147655074,0.053970172121846696,0.13621703187624615
A_Val6_selected,Val6,30884276-8cb2-485e-b0ca-a22605c1801f,IP,16.0,,65520.0,,122.850076781298,,,,,0.533333,True,False,1.0,25.058522882312428,0.7678119738708246,0.4222939033061266,0.0035987067291934367,0.5922688139920962,0.01053985464364024,-0.02985478565096855,0.8442737829426028,0.009714391165458983,0.020886290818452835,0.8227607801296253,0.009764904114499935,0.0191903468221426,3.305243638842663,0.050597036364231275,0.12770346738398075
A_Val6_selected,Val6,66d34721-a96d-4a92-9042-0847e057f3ba,P,15.0,,69192.0,,129.7350810844257,,,,,0.533333,True,False,1.0,30.039784315529264,0.8904781295051916,0.20454565485318502,0.0011959501141082666,1.8387372670225346,0.005244795285117343,-0.0330911119778951,2.0070536845653932,0.003670795584137617,0.002916964888572693,1.8784331561617396,0.004193842619524224,0.0020063430070877074,5.275398522236931,0.033462992065464214,0.01432002584139506
