method,video,frame,type,qp,base_bits,estimated_enh_bits,psnr,ms_ssim,lpips
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,0,28184,0.0,15.432896757865894,0.6808732254336812,0.2725779414176941
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,2,37360,9884.787109375,18.395295763014985,0.7822744975584692,0.368635892868042
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,0,7800,9883.97265625,18.473612028876286,0.7881382122545816,0.36426761746406555
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,1,2632,9884.583984375,18.496672037576094,0.7901718179243634,0.3651987910270691
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,0,2576,9883.359375,18.384229736165253,0.7878773057750283,0.3745090067386627
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,1,1912,9883.564453125,18.51726055200998,0.7894505196338467,0.36441484093666077
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,0,2224,9883.564453125,18.460684029338427,0.7883348050051041,0.36805012822151184
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,1,1224,9883.564453125,18.557964004692934,0.7877969438803688,0.3636784553527832
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,0,1272,9884.1767578125,18.32608251242583,0.7838710894864876,0.3781971335411072
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,2,1512,9883.359375,18.53062063945135,0.7844976015459032,0.36351272463798523
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,P,0,704,9883.564453125,18.293772050909954,0.7795817534340572,0.3739495873451233
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,P,1,576,9883.767578125,18.410390411716403,0.7779948022979903,0.3656512498855591
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,P,0,2952,9884.3798828125,18.244993919983983,0.7772130968674104,0.3848087191581726
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,P,1,816,9883.9716796875,18.392652585827303,0.7764290397807927,0.372794508934021
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,P,0,664,9884.5849609375,18.201640211336866,0.7711708309216755,0.3801306486129761
quantized_c_train2_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,15,P,1,552,9883.970703125,18.242365022539456,0.7680370819306632,0.37506458163261414
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,0,I,0,30848,0.0,26.363741227929843,0.8150404964666441,0.22730228304862976
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,1,P,2,43848,9811.39453125,29.081354608626476,0.8974951833385268,0.16683903336524963
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,0,9160,9809.158203125,29.43569416846065,0.9007529564387143,0.15695755183696747
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,1,2248,9809.158203125,29.439138899664954,0.9027010891221233,0.15244930982589722
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,0,3888,9807.5322265625,29.326437148414264,0.9027851123765874,0.1588570475578308
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,1,1928,9810.1748046875,29.47750892512265,0.9060566676010683,0.1558065116405487
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,0,2688,9808.751953125,29.601175538709153,0.9053615386273077,0.1577257663011551
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,1,1600,9810.5810546875,29.66633504233406,0.9080589108336091,0.15307897329330444
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,0,1152,9808.5478515625,29.377385129552145,0.9040366498207358,0.16405069828033447
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,2,1456,9810.98828125,29.598827441780493,0.9074223285856166,0.15736985206604004
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,0,576,9810.17578125,29.406355352925992,0.9033254888611091,0.16538824141025543
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,1,1192,9811.59765625,29.429666381753,0.9025552631472215,0.1640026718378067
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,0,1840,9810.5810546875,29.540041203789734,0.9022465643786477,0.16317276656627655
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,1,1160,9811.3955078125,29.477572460355926,0.9032894596934188,0.16023333370685577
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,0,632,9810.98828125,29.21708633902632,0.8992514878378741,0.16769351065158844
quantized_c_train2_l1,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,1,568,9813.427734375,29.241448321581135,0.8985281627390052,0.1666949987411499
