method,kind,video,scope,frames,delta,target_P_frames,base_bits,enhancement_bits,duration_seconds,rate_scope,base_kbps,enhancement_kbps,total_kbps,total_bpp,actual_enhancement_fraction,zero_increment_exact_frames,diagnostic,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,ms_ssim_gain_vs_ZERO_D,lpips_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_minus_ORIGINAL,lpips_minus_ORIGINAL
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,TARGET_P,3,,3,115496,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",216.55513534695962,0.0,216.55513534695962,0.003481143904320988,0.0,0,False,16.45453147686818,0.7926227114596571,0.2153050055106481,-1.816928715422873,0.012044286543186641,-0.16663318375746408,-0.0007841124916415273,-4.812000261182152e-06,8.046627044677734e-07
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15,,3,115496,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",216.55513534695962,0.0,216.55513534695962,0.003481143904320988,0.0,0,False,16.44269671522055,0.7945895805061636,0.213171257575353,-1.8871921013656987,0.009808799421694384,-0.16540923714637756,-0.001138775197493184,-1.0379111141249156e-05,1.975893974304199e-06
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16,,3,115496,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",216.55513534695962,0.0,216.55513534695962,0.003481143904320988,0.0,0,False,16.40136165396013,0.7893678168945879,0.21551631391048431,-1.7474651589560963,0.011081258038293032,-0.15643902122974396,-0.00106760174764986,-9.730416694921085e-06,1.8524006009101868e-06
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,TARGET_P,3,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.138638671924877,0.907123494335091,0.1316630244255066,-1.2435438781676733,0.008576941344881739,-0.05007319152355194,0.006937856515680352,3.1061181853808684e-05,-5.980332692464193e-05
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.202871870534334,0.9090077083655785,0.12823915580908457,-1.3713503624400174,0.007249122445040028,-0.04732329547405243,0.004861290291297375,2.0216569150766085e-05,-4.9979488054911295e-05
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.129495067664095,0.9049025849302827,0.13239835482090712,-1.2440721024949732,0.008563879600612535,-0.046397835947573185,0.004557459648091289,1.8953033578843204e-05,-4.685577005147934e-05
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,TARGET_P,6,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.29658507439653,0.8498731028973742,0.17348401496807733,-1.5302362967952732,0.010310613944034189,-0.10835318764050801,0.0030768720120194124,1.3124590796313266e-05,-2.9499332110087078e-05
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,P,30,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.32278429287744,0.8517986444358709,0.17070520669221878,-1.6292712319028582,0.008528960933367207,-0.106366266310215,0.0018612575469020953,4.9187290047584636e-06,-2.400179704030355e-05
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,IP,32,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.265428360812113,0.8471352009124353,0.17395733436569571,-1.495768630725535,0.009822568819452784,-0.10141842858865857,0.0017449289502207144,4.6113084419610595e-06,-2.2501684725284576e-05
