method,kind,video,frame,type,qp,target_available,delta,diagnostic,symbol_nonzero_fraction,residual_hat_l2,estimated_enhancement_symbol_bits,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_gain_vs_ZERO_D,ms_ssim_minus_ORIGINAL,lpips_gain_vs_ZERO_D,lpips_minus_ORIGINAL
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,2,P,3,False,,False,,0.0,0.0,29.197869622203715,0.9317880322522462,0.1005394235253334,-0.24079590359370684,0.005085800677218089,0.03312016079906788,6.149940102839757e-06,-0.07376997917890549,-3.6679208278656006e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,3,P,4,False,,False,,0.0,0.0,29.393469912670046,0.933303877664276,0.09951227903366089,-0.19506555091956557,0.0003144415106142162,0.03184057294106579,1.6691640045696232e-06,-0.06654219329357147,-3.337860107421875e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,4,P,3,False,,False,,0.0,0.0,29.416441001569503,0.9336833128531735,0.09988667815923691,-0.12521051064263133,0.0027068605821547465,0.03249905414006804,8.270125961384878e-06,-0.07567434757947922,7.845461368560791e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,5,P,4,False,,False,,0.0,0.0,29.426259276581025,0.9356158178202377,0.09790828078985214,-0.314465590594029,0.0039578692560411355,0.030743271820961038,1.1011268054916812e-05,-0.07210523635149002,-2.744048833847046e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,6,P,3,False,,False,,0.0,0.0,29.393562991397367,0.9347851807177981,0.09848108142614365,-0.3149468190014417,0.012998556988438992,0.03077667511748261,3.413180642186653e-05,-0.07398716360330582,-2.8170645236968994e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,7,P,4,False,,False,,0.0,0.0,29.375356581989113,0.9352217156577328,0.09975668787956238,-0.5069180646665181,0.00611761799366306,0.02799340426572383,1.8650030635170012e-05,-0.06619295477867126,-5.002319812774658e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,8,P,3,True,,False,,0.0,0.0,29.370381301072204,0.9334074044748172,0.10364685952663422,-0.2558681288389799,-0.0006070478674224944,0.030300637486336823,-1.2257641432089628e-05,-0.0762166678905487,3.516674041748047e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,9,P,5,False,,False,,0.0,0.0,29.351086133193732,0.9343732860032817,0.10174581408500671,-0.5051668310294772,0.01068036714369569,0.027451736041142816,2.6583969480298286e-05,-0.06804472208023071,-2.234429121017456e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,10,P,3,False,,False,,0.0,0.0,29.34921969302467,0.9328514326609904,0.105545274913311,-0.25006566639578764,0.0011936852365259654,0.03043294775692329,5.466422813293903e-06,-0.07553442567586899,6.32554292678833e-06
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,11,P,4,False,,False,,0.0,0.0,29.143528260213344,0.9315151614339187,0.10630469024181366,-0.41509442836257193,0.0028365161745753653,0.029937879913305654,9.25487326219887e-07,-0.07331372797489166,-1.3396143913269043e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,12,P,3,False,,False,,0.0,0.0,29.173819383028615,0.9311116263236423,0.10498965531587601,-0.3670365243613176,0.005035415612852034,0.029948066485469105,2.0181006416208902e-05,-0.07264185696840286,-2.5704503059387207e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,13,P,4,False,,False,,0.0,0.0,29.05177632255946,0.9302500743160881,0.1066918820142746,-0.5762819387545584,0.008432424641611647,0.02750660553259987,1.9200146591402678e-05,-0.06651635468006134,-3.342330455780029e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,14,P,3,False,,False,,0.0,0.0,29.01168245992715,0.9281411592296034,0.10967852175235748,-0.3716663776582152,0.003185573634418404,0.029651172281727423,2.758985508610756e-06,-0.07286489009857178,2.180039882659912e-05
train2_ORIGINAL_FP32_q3,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,15,P,4,True,,False,,0.0,0.0,28.945425532476072,0.9278993846483692,0.10998793691396713,-0.36008058827795963,-0.004839568004694428,0.030224011239318282,-3.278553897112513e-05,-0.07138056308031082,2.516806125640869e-05
