dataset,video,video_id,qp,branch,beta,search_order,search_phase,baseline_bytes,actual_bytes,actual_bits,rate_ratio,rate_gap_bytes,rate_gap_percent,over_or_under_budget,bracket_low_beta,bracket_high_beta,optimization_distortion,PSNR,SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_status,state_sync_status,finite_status,reused,is_optimized
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,compression_aware,10000.0,10,EXPANSION,57653,69068,552544,1.1979949005255581,11415,19.79949005255581,OVER,1.0,,3.772226572036743,23.277869967600562,0.9679875075817108,0.20776890800334513,0.12299593444913626,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_compression_aware_beta10000.bin,d36b44122f22e2b9df75daa7374cf813f5fe24d8118bda5ff243d053c9432ba3,PASS,PASS,PASS,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0.0,0,REUSED_V12_1,57653,578070,4624560,10.026711532791008,520417,902.6711532791008,OVER,,,0.003359698040026521,24.879606976552797,0.9779328787699342,0.20368779706768692,0.14477108418941498,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_generator_aware_beta0.bin,c6dd94e54bd069810a6af16466d494312bdddea03e9e6d6eee6d6d350969d1fe,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0.1,1,REUSED_V12_1,57653,199769,1598152,3.4650235026798257,142116,246.50235026798256,OVER,,,0.00266457510010768,25.894940170846297,0.982245184481144,0.16317361604887992,0.121268967166543,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_generator_aware_beta0.1.bin,82c9d64ed6e7e70152183253a4e2d01d424667821b1c1c95d1c3227d019f54a0,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0.3,2,REUSED_V12_1,57653,136434,1091472,2.3664683537717033,78781,136.64683537717033,OVER,,,0.0026312428046136147,25.965406596202325,0.9822896411642432,0.1617210595868528,0.11088925693184137,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_generator_aware_beta0.3.bin,650ad9bae7013c165c7d71f0ac1d258daed1743bbcc0826944aebe937d0af246,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,1.0,3,REUSED_V12_1,57653,94961,759688,1.64711289958892,37308,64.711289958892,OVER,,,0.002987684914842248,25.407487051145026,0.9798427512869239,0.17201819480396807,0.10437573213130236,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_generator_aware_beta1.bin,bacffe5da4cb64f9b70f6bf196a9e5c4cda30b60baeb1185556e633e5678c212,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,10.0,4,REUSED_V12_1,57653,75033,600264,1.3014587272128078,17380,30.145872721280774,OVER,,,0.004141861971999917,23.976777138201378,0.9723959779366851,0.19660258037038147,0.11463148891925812,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_generator_aware_beta10.bin,cfbef18dad8dc5007c0a42daa5f4e1b0221e8bd10de64f16e62d1a1e7916b3e4,PASS,PASS,PASS,True,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,30.0,5,EXPANSION,57653,70568,564544,1.2240126272700467,12915,22.401262727004667,OVER,10.0,,0.0045146393582283974,23.611533303781286,0.9698330666869879,0.20208076457493007,0.11861002072691917,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta30.bin,7f3bae4ea7429e1c8d5d6c13d534e4aa99877a8d86e8663af4e985f33b46b744,PASS,PASS,PASS,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,100.0,6,EXPANSION,57653,69837,558696,1.2113333217698992,12184,21.133332176989917,OVER,30.0,,0.004778543113923025,23.364005045101475,0.9683406837284565,0.2066300567239523,0.12303453590720892,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta100.bin,545009e9ea2859916576daa080fbddc8bd10d30c7b67231e87fb33df6b09603c,PASS,PASS,PASS,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,300.0,7,EXPANSION,57653,68895,551160,1.1949941893743603,11242,19.49941893743603,OVER,100.0,,0.004846385621007473,23.291172498085643,0.9678309299051762,0.20739470655098557,0.12188096903264523,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta300.bin,e5a84edd60f91cf5df8a8cb15840e414541fa750916394fef48f6f17dd57d64d,PASS,PASS,PASS,False,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,1000.0,8,EXPANSION,57653,69273,554184,1.2015506565139715,11620,20.155065651397152,OVER,300.0,,0.004783024490323095,23.354762220311123,0.9682014975696802,0.20649503194727004,0.12290533352643251,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta1000.bin,c88770503f9f142c6625e99959b33ecafaedd49b5efa057872fb1fd379d7ebe1,PASS,PASS,PASS,False,True
