dataset,video,video_id,qp,branch,actual_bytes,actual_bits,PSNR,SSIM,LPIPS,DISTS,is_baseline,is_budget_feasible,is_selected,iteration,restart,lambda_or_beta,interpolated_only,bitstream_path,search_phase,reused
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,94961,759688,25.407487051145026,0.9798427512869239,0.17201819480396807,0.10437573213130236,False,False,False,20,0,1.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_generator_aware_beta1.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,75033,600264,23.976777138201378,0.9723959779366851,0.19660258037038147,0.11463148891925812,False,False,False,20,0,10.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp1_generator_aware_beta10.bin,REUSED_V12_1,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,69837,558696,23.364005045101475,0.9683406837284565,0.2066300567239523,0.12303453590720892,False,False,False,20,0,100.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta100.bin,EXPANSION,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,69273,554184,23.354762220311123,0.9682014975696802,0.20649503194727004,0.12290533352643251,False,False,False,20,0,1000.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta1000.bin,EXPANSION,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,68975,551800,23.29213057054834,0.9679908929392695,0.20730480225756764,0.12433668319135904,False,False,False,20,0,10000.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta10000.bin,EXPANSION,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,70568,564544,23.611533303781286,0.9698330666869879,0.20208076457493007,0.11861002072691917,False,False,False,20,0,30.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta30.bin,EXPANSION,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,68895,551160,23.291172498085643,0.9678309299051762,0.20739470655098557,0.12188096903264523,False,False,False,20,0,300.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta300.bin,EXPANSION,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,69113,552904,23.31238179242695,0.9679840551689267,0.20652852253988385,0.12326334323734045,False,False,False,20,0,3000.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/fresh_ulong_00_qp1_generator_aware_beta3000.bin,EXPANSION,False
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,baseline,96549,772392,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359,True,True,True,0,0,,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_baseline.bin,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,compression_aware,824562,6596496,23.214835457822723,0.9687094651162624,0.2147029535844922,0.142954065464437,False,False,False,20,0,0.0,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_compression_aware_beta0.bin,REUSED_V12_1,True
