dataset,video,video_id,qp,branch,baseline_bytes,baseline_bits,baseline_PSNR,baseline_SSIM,baseline_LPIPS,baseline_DISTS,selected_beta,selected_bytes,selected_bits,selected_rate_ratio,rate_gap_bytes,rate_gap_percent,selected_PSNR,selected_SSIM,selected_LPIPS,selected_DISTS,delta_PSNR,delta_SSIM,delta_LPIPS,delta_DISTS,same_bit_level,same_bit_status,optimization_distortion,bitstream_path,bitstream_sha256,decode_status,state_sync_status
uvg,Beauty,0,3,compression_aware,41349,330792,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,0.44326198813072176,41112,328896,0.9942683015308713,-237,-0.5731698469128688,25.694351804255618,0.9662684155628085,0.16271889070048928,0.15904028806835413,-2.3936867877603483,-0.012524272315204144,0.033234922331757843,0.02741149440407753,WITHIN_1_PERCENT,REACHED,3.5664788125053284,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/selected/uvg_00_qp3_compression_aware_beta0.443261988131.bin,2d14440250fee9e4f0f2a37f9e26a0e752e8d2d256feaa756b560cc31033eb0d,PASS,PASS
uvg,Beauty,0,3,generator_aware,41349,330792,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,47.11951202502904,41259,330072,0.9978234056446347,-90,-0.21765943553653244,27.065171805020277,0.9721559006720781,0.16744820238091052,0.16192773915827274,-1.0228667869956887,-0.0066367872059345245,0.03796423401217908,0.030298945493996143,WITHIN_0.5_PERCENT,REACHED,0.001993814025015112,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_2_same_bit_budget/bitstreams/selected/uvg_00_qp3_generator_aware_beta47.119512025.bin,160a342f251568ec68fef0995dc95acbcb67293f449889b2b5b649926384233d,PASS,PASS
uvg,Bosphorus,1,1,compression_aware,30994,247952,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,,,,,,,,,,,,,,NONE,NOT_REACHED,,,,,
uvg,Bosphorus,1,1,generator_aware,30994,247952,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,,,,,,,,,,,,,,,NONE,NOT_REACHED,,,,,
uvg,Bosphorus,1,3,compression_aware,51949,415592,31.472206806681417,0.9598000217229128,0.12848799442872405,0.1171071631833911,,,,,,,,,,,,,,,NONE,NOT_REACHED,,,,,
uvg,Bosphorus,1,3,generator_aware,51949,415592,31.472206806681417,0.9598000217229128,0.12848799442872405,0.1171071631833911,,,,,,,,,,,,,,,NONE,NOT_REACHED,,,,,
uvg,HoneyBee,2,1,compression_aware,28168,225344,29.7708103550545,0.9727460807189345,0.15386110451072454,0.12848099041730165,,,,,,,,,,,,,,,NONE,NOT_REACHED,,,,,
uvg,HoneyBee,2,1,generator_aware,28168,225344,29.7708103550545,0.9727460807189345,0.15386110451072454,0.12848099041730165,,,,,,,,,,,,,,,NONE,NOT_REACHED,,,,,
uvg,HoneyBee,2,3,compression_aware,44679,357432,30.635786704063676,0.979667286388576,0.1192838343558833,0.11505281273275614,,,,,,,,,,,,,,,NONE,NOT_REACHED,,,,,
uvg,HoneyBee,2,3,generator_aware,44679,357432,30.635786704063676,0.979667286388576,0.1192838343558833,0.11505281273275614,,,,,,,,,,,,,,,NONE,NOT_REACHED,,,,,
