method,kind,video,scope,frames,delta,target_P_frames,base_bits,enhancement_bits,duration_seconds,rate_scope,base_kbps,enhancement_kbps,total_kbps,total_bpp,actual_enhancement_fraction,zero_increment_exact_frames,diagnostic,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,ms_ssim_gain_vs_ZERO_D,lpips_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_minus_ORIGINAL,lpips_minus_ORIGINAL
train6_DIRECT_l1,DIRECT,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,TARGET_P,3,0.048630956560373306,3,92960,1480944,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",174.3001089375681,2776.7717354823353,2951.0718444199033,0.04743875385802469,15.930981067125645,12,False,19.910835493121777,0.866020588764311,0.27715396881103516,1.6393753008307261,0.08544216384784058,-0.10478422045707703,3.8077393661560914,0.09838514166599999,0.0464769055445989
train6_DIRECT_l1,DIRECT,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15,0.048630956560373306,3,92960,1480944,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",174.3001089375681,2776.7717354823353,2951.0718444199033,0.04743875385802469,15.930981067125645,12,False,18.65776387675239,0.8018692138540372,0.35762365063031515,0.32787506016614526,0.017088432769568115,-0.020956844091415405,2.5503377053977334,0.031132084397129563,0.12978741427262624
train6_DIRECT_l1,DIRECT,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16,0.048630956560373306,3,92960,1480944,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",174.3001089375681,2776.7717354823353,2951.0718444199033,0.04743875385802469,15.930981067125645,12,False,18.45620968182199,0.794306964577765,0.35230829380452633,0.30738286890576116,0.016020405721470107,-0.019647041335701942,2.3909415988103757,0.029186329122308965,0.1216757008805871
train6_DIRECT_l1,DIRECT,c227e33d-910e-4e39-a325-0fe1d1116436,TARGET_P,3,0.048630956560373306,3,104784,1240632,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",196.2736037252724,2323.8596878997955,2520.1332916250676,0.04055193865740741,11.839899221255154,12,False,32.81270012751302,0.9461203541943987,0.09203703204790752,3.4305175774204706,0.04757380120418934,-0.08969918390115102,5.184400815209845,0.05265737012096542,-0.05804750323295593
train6_DIRECT_l1,DIRECT,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,0.048630956560373306,3,104784,1240632,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",196.2736037252724,2323.8596878997955,2520.1332916250676,0.04055193865740741,11.839899221255154,12,False,30.26032574845844,0.9112733461613765,0.1576226145029068,0.6861035154840941,0.009514760240837868,-0.017939836780230204,2.5722560123736105,0.015704254468143497,0.01111076573530833
train6_DIRECT_l1,DIRECT,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,0.048630956560373306,3,104784,1240632,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",196.2736037252724,2323.8596878997955,2520.1332916250676,0.04055193865740741,11.839899221255154,12,False,30.016789215925407,0.9052587930554556,0.16197759378701448,0.6432220457663382,0.008920087725785501,-0.016818596981465816,2.41149001160026,0.014722738563884528,0.010416342876851559
train6_DIRECT_l1,DIRECT,ALL,TARGET_P,6,0.048630956560373306,6,197744,2721576,1.0672,complete I/P sequence,185.29235382308846,2550.2023988006,2735.4947526236883,0.04399534625771605,13.763128084796504,,False,26.3617678103174,0.9060704714793548,0.18459550042947134,2.5349464391255982,0.06650798252601496,-0.09724170217911403,4.496070090682967,0.0755212558934827,-0.005785298844178517
train6_DIRECT_l1,DIRECT,ALL,P,30,0.048630956560373306,6,197744,2721576,1.0672,complete I/P sequence,185.29235382308846,2550.2023988006,2735.4947526236883,0.04399534625771605,13.763128084796504,,False,24.459044812605416,0.8565712800077068,0.25762313256661096,0.5069892878251196,0.013301596505202991,-0.019448340435822806,2.561296858885672,0.02341816943263653,0.07044909000396729
train6_DIRECT_l1,DIRECT,ALL,IP,32,0.048630956560373306,6,197744,2721576,1.0672,complete I/P sequence,185.29235382308846,2550.2023988006,2735.4947526236883,0.04399534625771605,13.763128084796504,,False,24.236499448873698,0.8497828788166103,0.2571429437957704,0.4753024573360497,0.012470246723627804,-0.01823281915858388,2.401215805205318,0.021954533843096747,0.06604602187871933
