sample,optimization_seconds
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,27.188453175127506
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,26.719274289906025
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,27.05937571078539
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0004,26.868721440434456
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0005,26.844138458371162
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0006,27.039351150393486
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0007,26.970049992203712
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,27.083190836012363
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0009,26.930174879729748
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0010,27.055384524166584
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0011,26.963718056678772
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0012,27.028466515243053
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0013,27.329779990017414
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0014,27.11559647321701
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,27.020040795207024
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,27.015535689890385
c227e33d-910e-4e39-a325-0fe1d1116436_f0002,26.99457887560129
c227e33d-910e-4e39-a325-0fe1d1116436_f0003,27.049205221235752
c227e33d-910e-4e39-a325-0fe1d1116436_f0004,27.743776991963387
c227e33d-910e-4e39-a325-0fe1d1116436_f0005,27.09688913077116
c227e33d-910e-4e39-a325-0fe1d1116436_f0006,27.20040713995695
c227e33d-910e-4e39-a325-0fe1d1116436_f0007,27.110894910991192
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,26.998240023851395
c227e33d-910e-4e39-a325-0fe1d1116436_f0009,27.369701094925404
c227e33d-910e-4e39-a325-0fe1d1116436_f0010,27.125578366219997
c227e33d-910e-4e39-a325-0fe1d1116436_f0011,27.715331122279167
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,26.960143230855465
c227e33d-910e-4e39-a325-0fe1d1116436_f0013,27.63006053864956
c227e33d-910e-4e39-a325-0fe1d1116436_f0014,27.064011238515377
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,26.84614885598421
