dataset,video,qp,branch,actual_bytes,actual_bits,PSNR,LPIPS,DISTS,is_baseline,is_budget_feasible,is_selected,iteration,restart,lambda_or_beta
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,compression_aware,66242,529936,27.57294434415995,0.19522462598979473,0.12140281964093447,False,False,False,20,0,1.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,compression_aware,69387,555096,27.670897845850337,0.19891537609510124,0.12784445565193892,False,False,False,20,0,10.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,52078,416624,29.142785612015437,0.13199148036073893,0.0770218400284648,False,True,True,0,0,baseline_init
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,630078,5040624,29.37234818105512,0.19864788313861936,0.13887377548962831,False,False,False,20,0,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,231461,1851688,30.625475313833753,0.14888559211976826,0.10632950346916914,False,False,False,20,0,0.1
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,145851,1166808,30.88775135543573,0.13769153645262122,0.08912206720560789,False,False,False,20,0,0.3
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,95326,762608,30.429601770038925,0.14380555879324675,0.08761661313474178,False,False,False,20,0,1.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,74261,594088,28.825532594904235,0.17642051097936928,0.11236939858645201,False,False,False,20,0,10.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,baseline,78986,631888,30.15030891001539,0.10498300509061664,0.06271296553313732,True,True,True,0,0,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,78986,631888,30.15030891001539,0.10498300509061664,0.06271296553313732,False,True,True,0,0,baseline_init
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,1030968,8247744,26.814074757323972,0.21701669343747199,0.12118219491094351,False,False,False,20,0,0.0
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,206992,1655936,28.09479425430868,0.1535066138021648,0.08674106188118458,False,False,False,20,0,0.1
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,109823,878584,28.438721915811197,0.15061649144627154,0.09063444472849369,False,False,False,20,0,0.3
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,3,compression_aware,89267,714136,28.691125286357064,0.15379290748387575,0.09849782474339008,False,False,False,20,0,1.0
