scope,dataset,video,video_id,qp,branch,restart,lambda_or_beta,iteration,frame,surrogate_rate,actual_bytes,actual_bits,actual_rate_ratio_to_baseline,optimization_distortion,PSNR,MS_SSIM_or_SSIM,LPIPS,DISTS,quantized_symbol_hash,bitstream_hash,decode_status,finite_status,num_changed_symbols_vs_baseline,L1_symbol_change,L2_latent_change,interpolated_only,is_budget_feasible,is_selected,is_baseline,bitstream_path,selection
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,compression_aware,0,baseline_init,0,,,52078,416624,1.0,,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648,,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_baseline.bin,best_PSNR
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,compression_aware,0,baseline_init,0,,,52078,416624,1.0,,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648,,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_baseline.bin,best_LPIPS
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,compression_aware,0,baseline_init,0,,,52078,416624,1.0,,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648,,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_baseline.bin,best_DISTS
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,generator_aware,0,baseline_init,0,,,52078,416624,1.0,,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648,,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_baseline.bin,branch_objective
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,generator_aware,0,baseline_init,0,,,52078,416624,1.0,,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648,,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_baseline.bin,best_PSNR
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,generator_aware,0,baseline_init,0,,,52078,416624,1.0,,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648,,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_baseline.bin,best_LPIPS
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,generator_aware,0,baseline_init,0,,,52078,416624,1.0,,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648,,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_baseline.bin,best_DISTS
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,compression_aware,0,baseline_init,0,,,78986,631888,1.0,,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732,,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_baseline.bin,branch_objective
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,compression_aware,0,baseline_init,0,,,78986,631888,1.0,,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732,,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_baseline.bin,best_PSNR
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,compression_aware,0,baseline_init,0,,,78986,631888,1.0,,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732,,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_baseline.bin,best_LPIPS
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,compression_aware,0,baseline_init,0,,,78986,631888,1.0,,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732,,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_baseline.bin,best_DISTS
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,generator_aware,0,baseline_init,0,,,78986,631888,1.0,,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732,,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_baseline.bin,branch_objective
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,generator_aware,0,baseline_init,0,,,78986,631888,1.0,,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732,,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_baseline.bin,best_PSNR
cell,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,generator_aware,0,baseline_init,0,,,78986,631888,1.0,,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732,,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS,PASS,0,0,0,False,True,True,False,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp3_baseline.bin,best_LPIPS
