scope,dataset,video,video_id,qp,branch,restart,lambda_or_beta,iteration,frame,surrogate_rate,actual_bytes,actual_bits,actual_rate_ratio_to_baseline,optimization_distortion,PSNR,MS_SSIM_or_SSIM,LPIPS,DISTS,quantized_symbol_hash,bitstream_hash,decode_status,finite_status,num_changed_symbols_vs_baseline,L1_symbol_change,L2_latent_change,interpolated_only,is_budget_feasible,is_selected,is_baseline,bitstream_path
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,46,2167.87451171875,274,2192,2.3664683537717033,0.002084998181089759,26.808943195597802,0.989705502986908,0.11942708492279053,0.12886422872543335,44dc961a043c5b283fd4e68a402542fa6971455dff138038f602fb171c088954,6d1fd8507d335c1e2ba891d1d3796e8b90e312582f567a275394754666cce1b8,PASS,PASS,406,409.0,60.49493408203125,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,47,1943.7572021484375,251,2008,2.3664683537717033,0.002267430769279599,26.444659642364886,0.98883056640625,0.11500411480665207,0.12389624118804932,28afd060c8e48e61c880669f4d1057460e2aa010b3ab316d06a1c31b92957bec,f6f5bad350101bf5cc0d6be4252ecdfa6999b7b084eab2d33a4395f7a6c24bad,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,47,4590.9892578125,583,4664,2.3664683537717033,0.002407699590548873,26.183977010960028,0.9879481196403503,0.12256951630115509,0.12427085638046265,4bbd4ddd827e9ee05dfa8711d4bc80d97c0b5d707f69bcab68894c22d19ad3c2,b50c7dceefc22eb8db6a2755eb3b16106c583d6ca2a042130b907bdfdb78bb3b,PASS,PASS,865,868.0,39.2451057434082,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,47,4913.27880859375,596,4768,2.3664683537717033,0.002423810539767146,26.155013303594664,0.9879023432731628,0.12240772694349289,0.12482881546020508,18e1958e00ab27b532bdeca231aad63de84a90cce57327f691acd5521efca56e,7482fb0ca0b5fbe9dc641dc33f113c1fc65deea927222b52ec880a3fce7fea2d,PASS,PASS,873,876.0,67.30668640136719,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,48,12838.8876953125,1613,12904,2.3664683537717033,0.002583798486739397,25.877413604562722,0.9873970150947571,0.11674357205629349,0.1205289363861084,b1aca2e1d0e0d3cf8188736e2548fdc67eeb8c7192bdc4f07f5cc9c1cf26ca51,0f2eec2b0f68c316921360f61c241f7d4f98ea59bcb162ec3788c377b5767f92,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,48,17968.001953125,2247,17976,2.3664683537717033,0.002158053684979677,26.659377557604145,0.9893514513969421,0.11835774779319763,0.13082420825958252,29ffbce9a73307685e5596df37e30f0687dfd13ece17c06f642b054d11bb9ba2,c6deb4d49cedd8087eb591f74519cedb65989c9b758dde8342fdf103b570cc96,PASS,PASS,3112,3119.0,57.98479461669922,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,48,22062.466796875,2713,21704,2.3664683537717033,0.00199137139134109,27.008477363721326,0.9900845289230347,0.12243255972862244,0.13535135984420776,492bcfe9c2a34e60ce56f5a160c203789e9d1035145000dc99a00d47b3029eb9,38990b8426fce54b3807bc35f966fd46aabfb88d530b65fb348338a99051a01e,PASS,PASS,4035,4045.0,104.49199676513672,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,49,14593.90234375,1833,14664,2.3664683537717033,0.002048107795417309,26.886471894330654,0.989869236946106,0.102542944252491,0.11087089776992798,19b911b0b9493835b048e034d5bc704d9393e9a97f83fb0395dea2cd16680a5b,768760d88a52b58a33be6511f29bbcb44f13460f008519f2c0ded3587b6b4e2d,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,49,17366.015625,2148,17184,2.3664683537717033,0.001754595316015184,27.55823034347953,0.9912129044532776,0.10567747056484222,0.1106346845626831,3fd29d7f3dcb3b5b81bc915be99d5179cbab271538637a0028bf0de068f12a13,1a94ea65fec0156191e292fd8991dc30edd3a454b0bcbe958d19234295aa18dd,PASS,PASS,3449,3459.0,61.079341888427734,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,49,22677.5859375,2744,21952,2.3664683537717033,0.0016550462460145354,27.81189866475382,0.9916834831237793,0.10630355030298233,0.11544883251190186,57ccc26b706219fc48d2e87ab8e5b1e7bb491ec86404e070adbc1446ab6c529b,5b3db1e5510a13e0308f159499397b356cf353588432cc4a3196f7f6cc2fd77c,PASS,PASS,4546,4556.0,111.34819793701172,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,0,50,1061.126953125,141,1128,2.3664683537717033,0.0019011471886187792,27.20984258342146,0.9906666278839111,0.11534528434276581,0.12408077716827393,49209f492efc80fb0db3734484e408ae0ed02bafea14f90a3171717872414d8b,5b3bb1554e292371d5def03c6a901d08155617f74dce457f0f6dcc260f4fcf02,PASS,PASS,0,0.0,0.0,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,10,50,2454.854248046875,316,2528,2.3664683537717033,0.0020249797962605953,26.935793054944035,0.9899554252624512,0.11757577210664749,0.12604457139968872,86498a485a4003c3907ba78efe65672fe902e8f83f4106205c729fc3c162b6bc,1624ddd444ff3cd3b86faffa0b3ef61f624739e051041c9f0a0d6e6ca94d8386,PASS,PASS,419,421.0,36.26569366455078,False,,,,
frame,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,generator_aware,0,0.3,20,50,1860.9212646484375,237,1896,2.3664683537717033,0.0019939986523240805,27.002751395491437,0.9901230931282043,0.11663544923067093,0.12491309642791748,c47d14d09469cef84bcc788aa07e84829c8358e902c61cb698867e4ebfc38f2e,e828c1b519f29eccd60277d9c582f73cb8176df0859d2f5674402a861e18ca56,PASS,PASS,355,355.0,60.029659271240234,False,,,,
