dataset,video,qp,branch,beta,bitstream,bitstream_sha256,bytes,symbol_equal,decoded_latent_max_abs_diff,reconstruction_max_abs_diff,decode_status
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,3,generator_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta0.1.bin,48ae1c60a2afeaa932518dc8774deb0ce268357ba071066b12b6874e15f74dcc,259662,True,0.0,0.0,PASS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,3,generator_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta0.3.bin,4f49f6b37c52b061a7da1e400c3d187ca71f03679506ecfb24e38bedc9c040e4,185391,True,0.0,0.0,PASS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,3,generator_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta1.bin,7bc9eb25f0eced31c4d37bd72f0c56e21f696e9f6200eda7c93205d944ea8083,134329,True,0.0,0.0,PASS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,3,generator_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_00_qp3_generator_aware_beta10.bin,766310ba4375d6d76e007d64b53078eb05fff6f2ed4911327d0fbb6981003f3b,104030,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,compression_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_compression_aware_beta0.bin,cfedcbf6815808841f0cd065720e940b01310f4e01bcb9113546a2bb73d07ef4,793510,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,compression_aware,0.1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_compression_aware_beta0.1.bin,1c4d0d258ce6fd48bcbaf8d6b7dcf0ffd0b7ad6c4e2d61d7a1386ed6ae4a730d,145536,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,compression_aware,0.3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_compression_aware_beta0.3.bin,1b4eac7c87bc0b3b7be6b641f260c2cb2568a537e39ce7f856474c8f75443f5a,80716,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,compression_aware,1.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_compression_aware_beta1.bin,10f3d8e0d9732eca0d50555c30e9f578cea791107539002c7edf79fc9ace2970,66242,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,compression_aware,10.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_compression_aware_beta10.bin,d55ff525e9fafa91b411023a11145246cdd60a5041f83b27a065f74575e6baca,69387,True,0.0,0.0,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,generator_aware,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v12_1_multicontent_budget_oracle/bitstreams/fresh_ulong_01_qp1_generator_aware_beta0.bin,798cd8e8d6318c432ee8c72e79401316f827351d8692dffd1479d2a3653f7328,630078,True,0.0,0.0,PASS
