tag,sample,video,frame,group,split,lambda,step,estimated_symbol_bits,symbol_nonzero_count,symbol_nonzero_fraction,elapsed_seconds,old_diagnostic_container_bits,new_diagnostic_container_bits,old_actual_frame_packet_bits,new_actual_frame_packet_bits,old_actual_frame_share_bits,new_actual_frame_share_bits,old_R_actual_bpp,new_R_actual_bpp,new_mode,integer_roundtrip_exact,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected
adaptive_lambda1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,0.09432483426435467,0,2083.30674469471,0,0.0,0.3485768511891365,816,816,8,8,54.4,54.4,2.6234567901234566e-05,2.6234567901234566e-05,ZERO,True,0.014461303926505544,18.39792546422175,0.790151174481061,0.37269139289855957,0.014833995319404103,0.014836469890673384,0.0,0.0,0.0,-0.5011885859664318,-0.03170338472488099,0.06376275420188904,-0.4760824548274698,-0.03045276834622168,0.06314551830291748,False
adaptive_lambda1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,0.09432483426435467,25,2083.30674469471,0,0.0,0.7741760537028313,816,816,8,8,54.4,54.4,2.6234567901234566e-05,2.6234567901234566e-05,ZERO,True,0.014461303926505544,18.39792546422175,0.790151174481061,0.37269139289855957,0.014833995319404103,0.014836469890673384,0.0,0.0,0.0,-0.5011885859664318,-0.03170338472488099,0.06376275420188904,-0.4760824548274698,-0.03045276834622168,0.06314551830291748,False
adaptive_lambda1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,0.09432483426435467,50,4737.309730052948,1079,0.2644607722759247,4.37709129601717,5656,5656,4848,4848,4894.4,4894.4,0.0023603395061728392,0.0023603395061728392,DENSE,True,0.0139876394774701,18.542555698831748,0.7977868189325582,0.36067262291908264,0.014348312100389182,0.014570950733116544,0.14463023460999835,0.0076356444514972255,-0.012018769979476929,-0.35655835135643343,-0.024067740273383764,0.05174398422241211,-0.33145222021747145,-0.022817123894724456,0.05112674832344055,False
adaptive_lambda1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,0.09432483426435467,100,4614.610576629639,1027,0.25171568989753723,14.210850656032562,5528,5528,4720,4720,4766.4,4766.4,0.002298611111111111,0.002298611111111111,DENSE,True,0.013700043733771029,18.63278046470957,0.8009347234036426,0.35878241062164307,0.014058826144392671,0.014275642256486431,0.23485500048781915,0.010783548922581598,-0.013908982276916504,-0.26633358547861263,-0.02091983580229939,0.049853771924972534,-0.24122745433965065,-0.019669219423640083,0.04923653602600098,False
adaptive_lambda1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,0.09432483426435467,150,4853.226542472839,1089,0.2669117748737335,24.09118314087391,5824,5824,5016,5016,5062.4,5062.4,0.0024413580246913577,0.0024413580246913577,DENSE,True,0.013674755858889952,18.640804185655288,0.8014646297243416,0.35993731021881104,0.014034693169108764,0.014264973860167729,0.24287872143353795,0.011313455243280646,-0.012754082679748535,-0.25830986453289384,-0.020389929481600344,0.0510086715221405,-0.23320373339393186,-0.019139313102941036,0.050391435623168945,True
