qp,mean_real_kbps,mean_bpp,mean_LPIPS,mean_DISTS,rate_change_percent,mean_bitrate_change_percent,LPIPS_change,DISTS_change,rate_lower_count,LPIPS_nonworse_count,DISTS_nonworse_count,triple_nonworse_count,point_count
0,107.52758663211787,0.0017289828076774692,0.16090565043850802,0.11291984061244875,-13.36613364617697,-13.001714414750438,-0.011771994977607392,-0.004273068741895258,8,7,5,5,8
1,137.96576954295705,0.0022184018735532406,0.1442158320423914,0.10425636207219213,-13.659428856861865,-12.899469583066567,-0.0117253251519287,-0.0019105121027678251,8,6,4,4,8
2,175.96981112637363,0.0028294466748649692,0.1314283600950148,0.09624095668550581,-15.900444790892932,-14.807040430381475,-0.008814808643364813,-0.001579196541570127,8,5,5,4,8
3,227.678670236014,0.003660866066261574,0.11957683276705211,0.09191132849082351,-15.923829990421645,-14.644850613862161,-0.008464358863420784,0.0008498741080984473,8,5,4,3,8
all,162.28545938436562,0.002609424355589313,0.13903166883574158,0.10133212196524255,-15.028245700427567,-13.838268760515161,-0.010194121909080422,-0.0017282258195336908,32,23,18,16,32
