method,video_tag,qp,path,sha256,bytes,status
v3_beta_low,fresh_ulong_01,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp1.bin,f0000604a4ad033b4226ae77a113ad6610cdf333ca36943e850d074509682188,50025,PASS
v3_beta_low,fresh_ulong_01,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp2.bin,381ed7dcfafda76cd11b51c58e02b3033f58ee4716edf5f86150b8541e788be3,59838,PASS
v3_beta_low,fresh_ulong_01,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_01/v3_beta_low_qp3.bin,81b0cb4ef944a3befb5e45bdd59ebe60e0b135bc3b507744835d9c8588a5416b,74631,PASS
original,fresh_ulong_10,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp0.bin,622f3e7de4baff153464ece8afe4e23d32236f3be6b4dd272f2a22258874eff3,27630,PASS
original,fresh_ulong_10,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp1.bin,6b3c2df67aabc382b1e31c2361aeb9766abd69f77fdef30a288bca23ef127aa1,35312,PASS
original,fresh_ulong_10,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp2.bin,0be9cb4006150e7e8da5a5a095b9284ac3f63de88d5670d2371765f02918360e,45636,PASS
original,fresh_ulong_10,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/original_qp3.bin,82b908f356f29f8f863419425c34dd515975b41a82dd596afdd27679a2f7e911,60467,PASS
beta_low,fresh_ulong_10,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/beta_low_qp0.bin,db44c5ac1c433701b2a27f521cdffc822f853070c9dd6e589a7a57d3f8cb5e07,25289,PASS
beta_low,fresh_ulong_10,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/beta_low_qp1.bin,f47af16b784599dc611d3de35e9675d5282bc48d720567b8a06995ae8042a3d4,31979,PASS
beta_low,fresh_ulong_10,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/beta_low_qp2.bin,6d5af09eabb6f4c12237ebe013537568ddaa480faa22d28a44a8e40daf0cf7c6,40463,PASS
beta_low,fresh_ulong_10,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_10/beta_low_qp3.bin,4f170ba8879e5caffe6607d44702a200fc72d86fed2f0a1fd5c1272a7725b458,50857,PASS
v3_beta_low,fresh_ulong_10,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_10/v3_beta_low_qp0.bin,272ae0b5f0c288c2074c3946be9fb459f6e01d4fc14adda2da7d5a061c6bf10d,26920,PASS
v3_beta_low,fresh_ulong_10,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_10/v3_beta_low_qp1.bin,be70ea1bd5272700aeffb4b57f23bf6a465cd847c3d88eba9dbb61d6e3f6ffaf,34463,PASS
v3_beta_low,fresh_ulong_10,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_10/v3_beta_low_qp2.bin,fa1b73270f4a25daa7d8412a2266b2c4abdfc5f20b16a67ee6565e2bf960ce0a,43527,PASS
v3_beta_low,fresh_ulong_10,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v3_pb_scale/bitstreams/final/fresh_ulong_10/v3_beta_low_qp3.bin,6edb63dff5b08f786575878f4386727a2baca22b2f7adf986a837c9fe44ac711,56347,PASS
original,fresh_ulong_100,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/original_qp0.bin,88916fb5df665d5c60008552550a85432d8ed887f09a106175575c3b6bd7f113,21158,PASS
original,fresh_ulong_100,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/original_qp1.bin,7df4015fa0ccacfe58491e9399b5fd63821e57825e0b1954759798027c3ac0f4,27743,PASS
original,fresh_ulong_100,2,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/original_qp2.bin,0db9e90531dd5cbca3203970cc714292cb65d11ff98ac4115a939f7176682db1,36185,PASS
original,fresh_ulong_100,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/original_qp3.bin,33a563980060a03fec688bd9a4f5c89d28877fbd70675aab7d373eabcc44a213,47609,PASS
beta_low,fresh_ulong_100,0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/beta_low_qp0.bin,a57f55688a616dd797abd1cfa0d237512c1a00de1a041811a663f245d63c31ef,19670,PASS
beta_low,fresh_ulong_100,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_retest_fixed_uvg/bitstreams/fresh_ulong_100/beta_low_qp1.bin,ff78fd93fc312b68db55c56a967b6e42b26ed1bbd8f7ff514170b3c98f6e9624,25889,PASS
