split,video,method,alpha,base_bytes,enhancement_bytes,total_bytes,budget_bytes,budget_slack_bytes,enhancement_over_base,total_bpp,total_kbps,objective_sum_P,stream_sent,stream,stream_sha256,selected_label_nonzero_frames,Z_count,E_count,O1_count,O2_count,scope,frames,actual_nonzero_frames,mse,mse_minus_ZERO,psnr,psnr_minus_ZERO,ms_ssim,ms_ssim_minus_ZERO,lpips,lpips_minus_ZERO,d,d_minus_ZERO
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.1,11620.0,734.0,12354.0,1162.0,428.0,0.06316695352839931,0.002978877314814815,185.3101158188224,0.2252018720894427,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p1.orc2,6879f8ef23c7c459066e155bd54b0f46d2216fcfb9c656969569d980922cd218,1.0,14.0,0.0,1.0,0.0,P,15,1,0.014635386968250879,-5.845141810447742e-05,18.34694590773652,0.01705764006108268,0.7854787192311072,0.0006979429207961685,0.37807117104530336,-0.0005093355973561642,0.01501345813929618,-5.896075370183211e-05
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.1,11620.0,734.0,12354.0,1162.0,428.0,0.06316695352839931,0.002978877314814815,185.3101158188224,0.2252018720894427,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p1.orc2,6879f8ef23c7c459066e155bd54b0f46d2216fcfb9c656969569d980922cd218,1.0,14.0,0.0,1.0,0.0,IP,16,1,0.01550959296956554,-5.4798204472947254e-05,18.164817825650594,0.015991537557262347,0.7789408757658147,0.000654321488246401,0.37147784419357777,-0.00047750212252140045,0.01588107081375912,-5.527570659546663e-05
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.25,11620.0,2897.0,14517.0,2905.0,8.0,0.24931153184165233,0.0035004340277777777,217.7551360969601,0.2220991399194538,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p25.orc2,ddce4a4c3a1f96e95e706bb592057bedcfac9c762e4138d85224e2382f71c88a,5.0,10.0,0.0,0.0,5.0,P,15,5,0.014430243392161125,-0.0002635949941942311,18.40872889839615,0.07884063072071257,0.7879117546991594,0.003130978388848349,0.3763659358024597,-0.0022145708401998254,0.014806609327963587,-0.00026580956503442603
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.25,11620.0,2897.0,14517.0,2905.0,8.0,0.24931153184165233,0.0035004340277777777,217.7551360969601,0.2220991399194538,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p25.orc2,ddce4a4c3a1f96e95e706bb592057bedcfac9c762e4138d85224e2382f71c88a,5.0,10.0,0.0,0.0,5.0,IP,16,5,0.015317270866981396,-0.00024712030705709154,18.222739379394,0.07391309130066759,0.7812218465171137,0.0029352922395453618,0.36987918615341187,-0.0020761601626873016,0.015687150053134813,-0.0002491964672197734
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.5,11620.0,5807.0,17427.0,5810.0,3.0,0.4997418244406196,0.004202112268518518,261.40516337822714,0.21814174905917685,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p5.orc2,7e03320d743c891dd262ebb7d128fb4d04097325610882c622a454e05be2f581,10.0,5.0,0.0,1.0,9.0,P,15,10,0.014169224967891402,-0.0005246134184639546,18.488094732450808,0.1582064647753718,0.7912605831497251,0.006479806839414071,0.37355830272038776,-0.005022203922271762,0.01454278327061179,-0.0005296356223862229
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME_GUARD,0.5,11620.0,5807.0,17427.0,5810.0,3.0,0.4997418244406196,0.004202112268518518,261.40516337822714,0.21814174905917685,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_GUARD_a0p5.orc2,7e03320d743c891dd262ebb7d128fb4d04097325610882c622a454e05be2f581,10.0,5.0,0.0,1.0,9.0,IP,16,10,0.015072566094228529,-0.0004918250798099585,18.297144848820242,0.14831856072690996,0.784361373189519,0.006074818911950719,0.3672470301389694,-0.0047083161771297455,0.015439813124367503,-0.0004965333959870838
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0.0,13098.0,0.0,13098.0,0.0,0.0,0.0,0.003158275462962963,196.2736037252724,0.019192755380735973,False,,,0.0,15.0,0.0,0.0,0.0,P,15,0,0.0011039545731058504,0.0,29.574221831591174,0.0,0.9017585817742864,0.0,0.17556245227654774,0.0,0.001279517025382398,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0.0,13098.0,0.0,13098.0,0.0,0.0,0.0,0.003158275462962963,196.2736037252724,0.019192755380735973,False,,,0.0,15.0,0.0,0.0,0.0,IP,16,0,0.001179337032691632,0.0,29.373566793172266,0.0,0.8963387012512345,0.0,0.17879619169980288,0.0,0.0013581332243914348,0.0
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0.1,13098.0,1281.0,14379.0,1309.0,28.0,0.09780119102153001,0.003467158564814815,215.46939593569186,0.018714874781606442,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p1.orc2,c525f375825e13734651d5aaa2a5d2c3f5669f0df347a03ca345d6f159a8807d,2.0,13.0,2.0,0.0,0.0,P,15,2,0.0010779450540700122,-2.6009519035838195e-05,29.679837753951244,0.10561592236006945,0.9035209701515202,0.0017623883772338589,0.16971326470375062,-0.005849187572797121,0.0012476583187737626,-3.185870660863538e-05
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME_GUARD,0.1,13098.0,1281.0,14379.0,1309.0,28.0,0.09780119102153001,0.003467158564814815,215.46939593569186,0.018714874781606442,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_GUARD_a0p1.orc2,c525f375825e13734651d5aaa2a5d2c3f5669f0df347a03ca345d6f159a8807d,2.0,13.0,2.0,0.0,0.0,IP,16,2,0.0011549531085955338,-2.4383924096098254e-05,29.47258172038483,0.09901492721256488,0.8979909403548912,0.0016522391036567496,0.17331257835030556,-0.005483613349497318,0.001328265686945839,-2.9867537445595668e-05
