split,video,frame,candidate,packet_kind,actual_nonzero_symbols,mse,zero_mse,mse_delta_signed,lpips,zero_lpips,lpips_delta_signed,guard_result,allowed
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,Z,ZERO,False,0.014518528168263446,0.014518528168263446,0.0,0.3777421712875366,0.3777421712875366,0.0,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,E,CODED,True,0.012869807865922938,0.014518528168263446,-0.0016487203023405079,0.3121979236602783,0.3777421712875366,-0.0655442476272583,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O1,CODED,True,0.013676316429776535,0.014518528168263446,-0.0008422117384869112,0.3564838171005249,0.3777421712875366,-0.02125835418701172,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O2,CODED,True,0.013672061368668465,0.014518528168263446,-0.0008464667995949811,0.35541144013404846,0.3777421712875366,-0.02233073115348816,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Z,ZERO,False,0.014461303926505544,0.014461303926505544,0.0,0.37269139289855957,0.37269139289855957,0.0,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,E,CODED,True,0.012959827116212142,0.014461303926505544,-0.0015014768102934017,0.3095458745956421,0.37269139289855957,-0.06314551830291748,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O1,CODED,True,0.013674755858889952,0.014461303926505544,-0.0007865480676155917,0.35993731021881104,0.37269139289855957,-0.012754082679748535,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O2,CODED,True,0.013700890771746533,0.014461303926505544,-0.0007604131547590109,0.3636980354785919,0.37269139289855957,-0.008993357419967651,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,Z,ZERO,False,0.014337797154308224,0.014337797154308224,0.0,0.37328192591667175,0.37328192591667175,0.0,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,E,CODED,True,0.012833010080350536,0.014337797154308224,-0.0015047870739576877,0.3106667995452881,0.37328192591667175,-0.06261512637138367,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O1,CODED,True,0.013529232742229731,0.014337797154308224,-0.0008085644120784923,0.36154913902282715,0.37328192591667175,-0.011732786893844604,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O2,CODED,True,0.013589796953061357,0.014337797154308224,-0.0007480002012468668,0.35737043619155884,0.37328192591667175,-0.015911489725112915,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,Z,ZERO,False,0.014770672740468943,0.014770672740468943,0.0,0.38248443603515625,0.38248443603515625,0.0,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,E,CODED,True,0.013184125543209474,0.014770672740468943,-0.0015865471972594698,0.3189242482185364,0.38248443603515625,-0.06356018781661987,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,O1,CODED,True,0.013903959373560495,0.014770672740468943,-0.0008667133669084479,0.36892086267471313,0.38248443603515625,-0.013563573360443115,ALLOWED,True
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,O2,CODED,True,0.013985478247571818,0.014770672740468943,-0.0007851944928971254,0.3686385154724121,0.38248443603515625,-0.01384592056274414,ALLOWED,True
