split,video,method,alpha,frame,candidate,actual_nonzero_symbols,guard_allowed,packet_bytes,packet_kind,nonzero_symbols,mse,psnr,ms_ssim,lpips,d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,1.0,Z,False,True,1.0,ZERO,0.0,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,2.0,Z,False,True,1.0,ZERO,0.0,0.014461303926505544,18.39792546422175,0.790151174481061,0.37269139289855957,0.014833995319404103
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,3.0,Z,False,True,1.0,ZERO,0.0,0.014337797154308224,18.43517568139394,0.792569618828697,0.37328192591667175,0.014711079080224895
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,4.0,Z,False,True,1.0,ZERO,0.0,0.014770672740468943,18.30599723996119,0.7901818846568697,0.38248443603515625,0.0151531571765041
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,5.0,Z,False,True,1.0,ZERO,0.0,0.014312605644440184,18.442812946826333,0.7920176088177971,0.3723566234111786,0.014684962267851364
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,6.0,Z,False,True,1.0,ZERO,0.0,0.01454084282161529,18.374104200128485,0.7908164707434683,0.3756115138530731,0.014916454335468362
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,7.0,Z,False,True,1.0,ZERO,0.0,0.014192229878867148,18.479493629636618,0.7905097082966499,0.3711719214916229,0.01456340180035877
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,8.0,Z,False,True,1.0,ZERO,0.0,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,9.0,Z,False,True,1.0,ZERO,0.0,0.014265616134018307,18.45709466360519,0.7872462612111572,0.3715718686580658,0.014637188002676372
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,10.0,Z,False,True,1.0,ZERO,0.0,0.015027104231448502,18.231247012140393,0.7822240124577718,0.3817782402038574,0.01540888247165236
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,11.0,Z,False,True,1.0,ZERO,0.0,0.014645607784354203,18.34292600635568,0.7806586152611237,0.3741006851196289,0.015019708469473831
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,12.0,Z,False,True,1.0,ZERO,0.0,0.015128627809520975,18.202004613871544,0.7801243874582853,0.39121079444885254,0.015519838603969827
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,13.0,Z,False,True,1.0,ZERO,0.0,0.014726271471247459,18.319071977899117,0.7793700600251098,0.379841685295105,0.015106113156542563
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,14.0,Z,False,True,1.0,ZERO,0.0,0.015324659720078933,18.14609160093902,0.7741065822600527,0.3867919147014618,0.015711451634780396
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0,15.0,Z,False,True,1.0,ZERO,0.0,0.01522176602678956,18.175349578679636,0.7709346461417427,0.38231155276298523,0.015604077579552544
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,1.0,Z,False,True,1.0,ZERO,0.0,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,2.0,Z,False,True,1.0,ZERO,0.0,0.014461303926505544,18.39792546422175,0.790151174481061,0.37269139289855957,0.014833995319404103
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,3.0,Z,False,True,1.0,ZERO,0.0,0.014337797154308224,18.43517568139394,0.792569618828697,0.37328192591667175,0.014711079080224895
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,4.0,Z,False,True,1.0,ZERO,0.0,0.014770672740468943,18.30599723996119,0.7901818846568697,0.38248443603515625,0.0151531571765041
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,5.0,Z,False,True,1.0,ZERO,0.0,0.014312605644440184,18.442812946826333,0.7920176088177971,0.3723566234111786,0.014684962267851364
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,6.0,Z,False,True,1.0,ZERO,0.0,0.01454084282161529,18.374104200128485,0.7908164707434683,0.3756115138530731,0.014916454335468362
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,7.0,Z,False,True,1.0,ZERO,0.0,0.014192229878867148,18.479493629636618,0.7905097082966499,0.3711719214916229,0.01456340180035877
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,8.0,Z,False,True,1.0,ZERO,0.0,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,9.0,Z,False,True,1.0,ZERO,0.0,0.014265616134018307,18.45709466360519,0.7872462612111572,0.3715718686580658,0.014637188002676372
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,10.0,Z,False,True,1.0,ZERO,0.0,0.015027104231448502,18.231247012140393,0.7822240124577718,0.3817782402038574,0.01540888247165236
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,11.0,Z,False,True,1.0,ZERO,0.0,0.014645607784354203,18.34292600635568,0.7806586152611237,0.3741006851196289,0.015019708469473831
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,12.0,Z,False,True,1.0,ZERO,0.0,0.015128627809520975,18.202004613871544,0.7801243874582853,0.39121079444885254,0.015519838603969827
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME_GUARD,0.1,13.0,Z,False,True,1.0,ZERO,0.0,0.014726271471247459,18.319071977899117,0.7793700600251098,0.379841685295105,0.015106113156542563
