split,video,stream,stream_sha256,frame_count,all_rgb_hashes_exact,zero_exact_frames,base_state_unchanged,source_guard_active_negative_test,receiver_output,receiver_output_sha256
Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/026aa77c-d036-41b7-a998-83c1911fe2bf_M2_E_FRAME_GUARD_a0p1.orc2,059f0be1772f45f9715fdd0d54f478bc5f6a11fbd8255c6809bc915a072161c3,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/026aa77c-d036-41b7-a998-83c1911fe2bf_059f0be1772f45f9.json,c8d55dd4c229280ceb9370ef0827d67789bf24ab529b5e09ed806f65c890fe85
Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/026aa77c-d036-41b7-a998-83c1911fe2bf_M2_E_FRAME_GUARD_a0p25.orc2,aa6cbf742cb3a562952309a38aa60a08c805c52c4f116db01b336b4681a43d1b,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/026aa77c-d036-41b7-a998-83c1911fe2bf_aa6cbf742cb3a562.json,6925eb961824fbf95568723a11c08d68efccf4b3b3d89aea00882299483014bb
Val6,026aa77c-d036-41b7-a998-83c1911fe2bf,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/026aa77c-d036-41b7-a998-83c1911fe2bf_M2_E_FRAME_GUARD_a0p5.orc2,e03cee5619a908d7bbde08829f32dc60a070f548226529fb58118f1f72dbfdf2,16,True,"[2, 4, 5, 6, 8, 9, 12, 13, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/026aa77c-d036-41b7-a998-83c1911fe2bf_e03cee5619a908d7.json,4a65629d0c9c7cc8230e9989bbd7ee5cd4e3ce0b6982629b8f5c31b1a492e91a
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/30884276-8cb2-485e-b0ca-a22605c1801f_M2_E_FRAME_GUARD_a0p25.orc2,5dda4b2d4935ca9d02f6c8b8218b9776a5ea89ca867d2a25488f92370019929a,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/30884276-8cb2-485e-b0ca-a22605c1801f_5dda4b2d4935ca9d.json,7f35ee197fb0840e1f28e4f7f5951024d8c8de2da67c6b6adc3c09a9ed0c8e1d
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/30884276-8cb2-485e-b0ca-a22605c1801f_M4_O_FRAME_GUARD_a0p1.orc2,aa756e8be2513688e80782ddef16a08b21c8700548b456ab52f9610a05d49e54,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/30884276-8cb2-485e-b0ca-a22605c1801f_aa756e8be2513688.json,4d421f7315427b458e4b351a675314ae7bda39332beb252333ca62a1811112a0
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/30884276-8cb2-485e-b0ca-a22605c1801f_M4_O_FRAME_GUARD_a0p25.orc2,092d4110c5791a8c4c0ad1261a7e716dbeaf424056ba58165a7c4ddeb6f9c4c7,16,True,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/30884276-8cb2-485e-b0ca-a22605c1801f_092d4110c5791a8c.json,c88ed93c46082c61fe496a3a35f1a9fead00a286184a0c57bbbc21068cb84ba6
Val6,30884276-8cb2-485e-b0ca-a22605c1801f,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/30884276-8cb2-485e-b0ca-a22605c1801f_M4_O_FRAME_GUARD_a0p5.orc2,4449cabcbfb91553c64da634a6ca304d5b9778df100e28ce9ff6ef35158ffb17,16,True,"[4, 5, 6, 7, 8, 11, 13, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/30884276-8cb2-485e-b0ca-a22605c1801f_4449cabcbfb91553.json,e72d5decb6f6e782408f238c4cef856697038308e0e110378d3d5b437c5719fb
Val6,66d34721-a96d-4a92-9042-0847e057f3ba,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_M2_E_FRAME_GUARD_a0p1.orc2,cd328578e2959f21a1cb5a6cee7f2663ac38c8ac7b2dddd03ebf876033eb2df3,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_cd328578e2959f21.json,a81ddbfe74654212dbe4c323e9fba0ceba54ad8836ade42fe7bbc538d83b320f
Val6,66d34721-a96d-4a92-9042-0847e057f3ba,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_M2_E_FRAME_GUARD_a0p25.orc2,a5f06b20a3872f9c4e1812c2150e7a9870721500ef2d08ea51fc779b157eed7f,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_a5f06b20a3872f9c.json,02061cd2261299da86aeaff4b42b8f23c4575e4b646413b4f1adf8693cd65eb7
Val6,66d34721-a96d-4a92-9042-0847e057f3ba,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/streams/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_M2_E_FRAME_GUARD_a0p5.orc2,34c66c7d6293ac5a5d5d66394316a007d2e4d4762033f6ba3c293075518df7d3,16,True,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",True,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_6_attribution_quality_guard/results_v1/receiver/Val6/66d34721-a96d-4a92-9042-0847e057f3ba_34c66c7d6293ac5a.json,b6795f739537afc3b9cec9e7079e60e46b6765606d457bacac46316ac6fae1b7
