split,method,alpha,scope,videos,coverage_videos,mean_video_enhancement_over_base,pooled_enhancement_over_base,mean_enhancement_bytes,mean_total_bytes,mean_total_bpp,mean_total_kbps,mean_actual_nonzero_frames,mse,mse_minus_ZERO,psnr,psnr_minus_ZERO,ms_ssim,ms_ssim_minus_ZERO,lpips,lpips_minus_ZERO,d,d_minus_ZERO,worst_psnr_video,worst_psnr_minus_ZERO,worst_lpips_video,worst_lpips_minus_ZERO
Train2,M1_E_SEQUENCE,0,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M1_E_SEQUENCE,0,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M1_E_SEQUENCE,0.1,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M1_E_SEQUENCE,0.1,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M1_E_SEQUENCE,0.25,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M1_E_SEQUENCE,0.25,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M1_E_SEQUENCE,0.5,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M1_E_SEQUENCE,0.5,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M2_E_FRAME,0,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M2_E_FRAME,0,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M2_E_FRAME,0.1,P,2,1,0.048900595510765005,0.05182458127680233,640.5,12999.5,0.0031345244984567902,194.88475243662998,1.0,0.007885891720212684,-1.3004759517919098e-05,24.004863010813338,0.052807961180034724,0.8441508732309156,0.0008811941886169294,0.27414688567320505,-0.0029245937863985605,0.008160038605885888,-1.592935330431769e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M2_E_FRAME,0.1,IP,2,1,0.048900595510765005,0.05182458127680233,640.5,12999.5,0.0031345244984567902,194.88475243662998,1.0,0.00835967214131701,-1.2191962048049154e-05,23.810704004239078,0.049507463606282553,0.8381387473162297,0.0008261195518283714,0.27263396233320236,-0.0027418066747486505,0.008632306103650213,-1.4933768722797834e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M2_E_FRAME,0.25,P,2,2,0.1887963279070079,0.19168217493324702,2369.0,14728.0,0.003551311728395062,220.79858522473563,3.0,0.0078058705368052265,-9.302594292537672e-05,24.093465412100148,0.1414103624668428,0.8464659105524067,0.003196231510108005,0.267721064388752,-0.009350415070851645,0.008073591601193978,-0.00010237635799622679,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.03936927208509999,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.004184164603551255
Train2,M2_E_FRAME,0.25,IP,2,2,0.1887963279070079,0.19168217493324702,2369.0,14728.0,0.003551311728395062,220.79858522473563,3.0,0.008284652281872518,-8.721182149254068e-05,23.893768755445457,0.13257221481266512,0.8403090948051276,0.002996467040726255,0.2666097548790276,-0.008766014128923416,0.008551262036751547,-9.597783562146262e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.036908692579781244,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.003922654315829301
Train2,M2_E_FRAME,0.5,P,2,2,0.4380901263584539,0.43976049842220244,5435.0,17794.0,0.004290605709876543,266.76611585098203,6.5,0.007660343306991886,-0.00023855317273871772,24.22674198831853,0.2746869386852264,0.850396131080875,0.007126452038576203,0.256655024488767,-0.020416454970836634,0.007916998331480652,-0.00025896962770955334,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.11680656442778314,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.012406426668167103
Train2,M2_E_FRAME,0.5,IP,2,2,0.4380901263584539,0.43976049842220244,5435.0,17794.0,0.004290605709876543,266.76611585098203,6.5,0.008148220503922513,-0.00022364359944254786,24.018715545650196,0.25751900501739977,0.8439936765505665,0.0066810487861651904,0.25623534247279167,-0.019140426535159343,0.008404455846395303,-0.00024278402597770627,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.1095061541510467,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.01163102500140666
Train2,M2_E_FRAME_GUARD,0,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M2_E_FRAME_GUARD,0,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M2_E_FRAME_GUARD,0.1,P,2,1,0.048900595510765005,0.05182458127680233,640.5,12999.5,0.0031345244984567902,194.88475243662998,1.0,0.007885891720212684,-1.3004759517919098e-05,24.004863010813338,0.052807961180034724,0.8441508732309156,0.0008811941886169294,0.27414688567320505,-0.0029245937863985605,0.008160038605885888,-1.592935330431769e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M2_E_FRAME_GUARD,0.1,IP,2,1,0.048900595510765005,0.05182458127680233,640.5,12999.5,0.0031345244984567902,194.88475243662998,1.0,0.00835967214131701,-1.2191962048049127e-05,23.81070400423908,0.04950746360628244,0.8381387473162298,0.0008261195518283748,0.27263396233320236,-0.002741806674748659,0.008632306103650213,-1.4933768722797834e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M2_E_FRAME_GUARD,0.25,P,2,2,0.1887963279070079,0.19168217493324702,2369.0,14728.0,0.003551311728395062,220.79858522473563,3.0,0.0078058705368052265,-9.302594292537672e-05,24.093465412100148,0.1414103624668428,0.8464659105524067,0.003196231510108005,0.267721064388752,-0.009350415070851645,0.008073591601193978,-0.00010237635799622679,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.03936927208509999,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.004184164603551255
Train2,M2_E_FRAME_GUARD,0.25,IP,2,2,0.1887963279070079,0.19168217493324702,2369.0,14728.0,0.003551311728395062,220.79858522473563,3.0,0.008284652281872518,-8.721182149254068e-05,23.893768755445464,0.13257221481266335,0.8403090948051277,0.002996467040726314,0.2666097548790276,-0.008766014128923416,0.008551262036751548,-9.597783562146278e-05,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0369086925797788,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.003922654315829277
Train2,M2_E_FRAME_GUARD,0.5,P,2,2,0.4380901263584539,0.43976049842220244,5435.0,17794.0,0.004290605709876543,266.76611585098203,6.5,0.007660343306991886,-0.00023855317273871772,24.22674198831853,0.2746869386852264,0.850396131080875,0.007126452038576203,0.256655024488767,-0.020416454970836634,0.007916998331480652,-0.00025896962770955334,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.11680656442778314,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.012406426668167103
Train2,M2_E_FRAME_GUARD,0.5,IP,2,2,0.4380901263584539,0.43976049842220244,5435.0,17794.0,0.004290605709876543,266.76611585098203,6.5,0.008148220503922513,-0.00022364359944254783,24.018715545650196,0.25751900501739833,0.8439936765505667,0.006681048786165211,0.25623534247279167,-0.01914042653515935,0.008404455846395304,-0.00024278402597770622,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.10950615415104537,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,-0.01163102500140667
Train2,M3_O_SEQUENCE,0,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M3_O_SEQUENCE,0,IP,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.00837186410336506,0.0,23.7611965406328,0.0,0.8373126277644014,0.0,0.275375769007951,0.0,0.00864723987237301,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
Train2,M3_O_SEQUENCE,0.1,P,2,0,0.0,0.0,0.0,12359.0,0.0029800829475308643,185.28685633142027,0.0,0.007898896479730603,0.0,23.952055049633305,0.0,0.8432696790422987,0.0,0.27707147945960364,0.0,0.008175967959190206,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0
