split,comparison,method_a,method_b,alpha,scope,video,a_enhancement_bytes,b_enhancement_bytes,enhancement_bytes_delta,a_total_bytes,b_total_bytes,mse_a_minus_b,psnr_a_minus_b,ms_ssim_a_minus_b,lpips_a_minus_b,d_a_minus_b
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.25,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2897,0,2897.0,14517,11620,-0.0002635949941942311,0.07884063072071257,0.003130978388848349,-0.0022145708401998254,-0.00026580956503442603
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.25,P,c227e33d-910e-4e39-a325-0fe1d1116436,3227,0,3227.0,16325,13098,-6.854218134081237e-05,0.2812248595008988,0.004362183999780056,-0.01520027120908099,-8.374245254989311e-05
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.25,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2897,0,2897.0,14517,11620,-0.0002471203070570898,0.07391309130066759,0.002935292239545473,-0.0020761601626873016,-0.0002491964672197769
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.25,IP,c227e33d-910e-4e39-a325-0fe1d1116436,3227,0,3227.0,16325,13098,-6.425829500701164e-05,0.26364830578208753,0.004089547499793733,-0.01425025425851345,-7.850854926552491e-05
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.5,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5807,0,5807.0,17427,11620,-0.0005263888344888799,0.15884419751182222,0.006329454850444449,-0.004153637091318774,-0.0005305424715801952
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.5,P,c227e33d-910e-4e39-a325-0fe1d1116436,6504,3439,3065.0,19602,16537,-4.4750731745389844e-05,0.1925194580367915,0.003613086890087547,-0.014088288942972815,-5.8839020688362465e-05
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.5,IP,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5807,0,5807.0,17427,11620,-0.000493489532333323,0.1489164351673331,0.005933863922291782,-0.0038940347731113434,-0.0004973835671064353
Train2,M4_MINUS_M3,M4_O_FRAME,M3_O_SEQUENCE,0.5,IP,c227e33d-910e-4e39-a325-0fe1d1116436,6504,3439,3065.0,19602,16537,-4.195381101130299e-05,0.18048699190948625,0.003387268959457179,-0.013207770884037018,-5.516158189534004e-05
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0,P,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,0,0.0,11620,11620,0.0,0.0,0.0,0.0,0.0
Train2,M4_MINUS_M2,M4_O_FRAME,M2_E_FRAME,0,P,c227e33d-910e-4e39-a325-0fe1d1116436,0,0,0.0,13098,13098,0.0,0.0,0.0,0.0,0.0
