video,frame,candidate,mse_old,mse_repeat,mse_abs_error,lpips_old,lpips_repeat,lpips_abs_error
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,Z,0.014518528168263446,0.014518528168263446,0.0,0.3777421712875366,0.3777421712875366,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,E,0.012869807865922938,0.012869807865922938,0.0,0.3121979236602783,0.3121979236602783,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O1,0.013676316429776535,0.013676316429776535,0.0,0.3564838171005249,0.3564838171005249,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O2,0.013672061368668465,0.013672061368668465,0.0,0.35541144013404846,0.35541144013404846,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Z,0.014461303926505544,0.014461303926505544,0.0,0.37269139289855957,0.37269139289855957,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,E,0.012959827116212142,0.012959827116212142,0.0,0.3095458745956421,0.3095458745956421,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O1,0.013674755858889952,0.013674755858889952,0.0,0.35993731021881104,0.35993731021881104,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O2,0.013700890771746533,0.013700890771746533,0.0,0.3636980354785919,0.3636980354785919,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,Z,0.014337797154308224,0.014337797154308224,0.0,0.37328192591667175,0.37328192591667175,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,E,0.012833010080350536,0.012833010080350536,0.0,0.3106667995452881,0.3106667995452881,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O1,0.013529232742229731,0.013529232742229731,0.0,0.36154913902282715,0.36154913902282715,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O2,0.013589796953061357,0.013589796953061357,0.0,0.35737043619155884,0.35737043619155884,0.0
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,Z,0.014770672740468943,0.014770672740468943,0.0,0.38248443603515625,0.38248443603515625,0.0
