dataset,video,video_id,kind,parameter,frame,actual_qp,payload_bytes,pixel_SSE,MSE,PSNR,SSIM,LPIPS,DISTS,proxy_PSNR,proxy_LPIPS,proxy_DISTS,ste_forward_max_abs
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,0,1,5095,60937.58984375,0.009795780293643475,20.089609640871675,0.9629896879196167,0.22525426745414734,0.06786519289016724,150.0,0.0,-1.1920928955078125e-07,0.0
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,1,3,5792,43986.90234375,0.007070939987897873,21.50522848661176,0.9728552103042603,0.17439132928848267,0.059992194175720215,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,2,1,1252,44733.7421875,0.007190994918346405,21.432110181490472,0.97151118516922,0.16949619352817535,0.06339406967163086,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,3,2,928,46893.98046875,0.007538255769759417,21.22729131212403,0.96889728307724,0.17254316806793213,0.06563961505889893,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,4,1,1418,46003.8515625,0.00739516643807292,21.31052047181189,0.9667428135871887,0.1784905195236206,0.06456422805786133,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,5,2,1401,45105.96875,0.007250830996781588,21.39612217341388,0.9646559953689575,0.17850369215011597,0.06645184755325317,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,6,1,1162,46466.6875,0.007469567935913801,21.267045184624195,0.9603781700134277,0.18269047141075134,0.06854289770126343,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,7,2,949,45977.0859375,0.007390863727778196,21.31304805138533,0.9574396014213562,0.1907038390636444,0.07257676124572754,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,8,1,486,49675.1953125,0.007985338568687439,20.977066655749,0.9503885507583618,0.20463596284389496,0.07707643508911133,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,9,3,1151,48283.1796875,0.0077615706250071526,21.100503863767216,0.9473137259483337,0.21085578203201294,0.07971376180648804,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,10,1,613,49301.5390625,0.007925272919237614,21.009857732391648,0.9416806697845459,0.21866779029369354,0.08373314142227173,150.0,0.0,-1.1920928955078125e-07,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,baseline,original,11,2,383,51956.21875,0.008352015167474747,20.782087256511275,0.9343653321266174,0.22919641435146332,0.08890354633331299,150.0,0.0,-1.1920928955078125e-07,
