dataset,video,video_id,kind,parameter,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,sequence_PSNR,mean_PSNR,SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_status,model_hash,actual_rate_ratio
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,1.5,20095,160760,0.004845437885802469,301.12387612387613,115044.3818359375,0.00115584392115903,29.371008067076797,29.404031074740843,0.9812681972980499,0.17577880062162876,0.11426981911063194,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_1p5.bin,5606da3eadff41bc81881ffc71913458b0bd63154a5e980c846f92a0c6301a3b,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0460697553357625
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,2.0,20436,163488,0.004927662037037037,306.23376623376623,115403.11328125,0.0011594480742152336,29.35748696432427,29.38795612454679,0.9811722785234451,0.2109175231307745,0.14723872393369675,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_2p0.bin,4bbf251f4b66c06e8410cee59877da92f20665909f6e5149d94730eb2cf3898b,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0638209266007288
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,3.0,20588,164704,0.004964313271604938,308.5114885114885,122618.9931640625,0.0012319455813969114,29.09408475792544,29.119423364131244,0.9798499494791031,0.2610915591940284,0.1942991390824318,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_3p0.bin,dbed4eff727abf68b483638d9876b9021ec176a163ddaf4e91eb228ae0e7f154,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0717334721499219
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,4.0,20128,161024,0.004853395061728395,301.6183816183816,138268.8564453125,0.0013891788078433693,28.572418505461915,28.587940746779683,0.9771345406770706,0.30316964071244,0.23986558243632317,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_4p0.bin,7ebcd3689810713daccd5c82eedf30c3bd1bffcb7b657c79d7519171974a2cd8,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.047787610619469
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,6.0,18942,151536,0.004567418981481481,283.8461538461538,186260.9208984375,0.0018713521663053536,27.278444757329613,27.299374164516376,0.9690099209547043,0.37634393852204084,0.32363099604845047,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_6p0.bin,1f7149d1fda0dd7b60ff349ad826c4a2d3e1a3f0d7ace2a2e1a3a81775e06521,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9860489328474753
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,blur,8.0,17858,142864,0.004306037808641975,267.6023976023976,240714.4140625,0.0024184431068200634,26.164641248083896,26.208094347375365,0.9598562121391296,0.43569637555629015,0.38965340703725815,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_blur_8p0.bin,b0b699070abd31cc2040ce9535bec8c17e654359568a92bda83b80ce649e21c8,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9296199895887558
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,0.5,13012,104096,0.0031375385802469135,194.98501498501497,133679.75341796875,0.0013430723682843117,28.719005857677825,28.758974640462846,0.9738624468445778,0.07517718523740768,0.07261663302779198,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_0p5.bin,c6a7662119251682416d41404b723f1cf0d02452490b87d5bf522dbc38f19ee0,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9976997393037877
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,1.0,12989,103912,0.0031319926697530864,194.64035964035963,122786.1552734375,0.0012336250489631308,29.088168207814302,29.130359808633397,0.975744754076004,0.0837722229771316,0.08424528688192368,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_1p0.bin,cc07dbaba78bb87abb1a7e36ee55b00ebefc13fc36643a4c1f230f5cabaeed71,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9959362061033584
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,1.5,12779,102232,0.0030813560956790124,191.4935064935065,116542.93115234375,0.0011708997551796367,29.31480284804575,29.355401674948595,0.9768120981752872,0.10500869527459145,0.1110188439488411,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_1p5.bin,caa945921337994810cc549ec031369b52ccf548d5b5ff60bf87eb088aaca355,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9798343812298728
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,2.0,12965,103720,0.003126205632716049,194.2807192807193,118448.13671875,0.0011900412398601265,29.244379882433083,29.278594146835417,0.9762985855340958,0.12516600405797362,0.13861370086669922,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_2p0.bin,81909d8f1cf3f822899afd91105df9349572cb292d5f7948302759aa5999e229,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9940959975463886
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,3.0,13050,104400,0.003146701388888889,195.55444555444555,130616.0986328125,0.0013122920146204317,28.819695138726704,28.850264687770302,0.9737804420292377,0.15610814234241843,0.17639482393860817,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_3p0.bin,129fdf12e02c3a39c7f85becad2297b24330064adac2ba5391c254285cf8f6a9,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.0006134028523233
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,4.0,12501,100008,0.0030143229166666665,187.32767232767233,146157.80908203125,0.001468438636128304,28.331441972839727,28.363357864748217,0.9705348536372185,0.18465576553717256,0.21040856838226318,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_4p0.bin,59d38f89945d911a3093b10cf8faa2c4c24ba5279cc1d5bfbc5636693d6565d4,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9585186321116393
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,6.0,12067,96536,0.00290967399691358,180.82417582417582,191334.80908203125,0.0019223292129029953,27.161722341993894,27.215604801467716,0.9613582380115986,0.2281190506182611,0.26983194798231125,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_6p0.bin,a867dd6123ae51873725314fcf8c236b41f36ceb0f33dd1671c9a53e16bf0fcb,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.9252415273731023
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,blur,8.0,11515,92120,0.0027765721450617284,172.55244755244755,236434.78955078125,0.002375445979122272,26.242548415806503,26.323443922407144,0.9521331414580345,0.25524386251345277,0.31921206042170525,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_10_blur_8p0.bin,637614ca5c30e9eeee2840f2ecb534cead38689e1161072e6cf7342be707f499,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,0.8829167305627971
uvg,Beauty,0,blur,0.5,8722,69776,0.002103105709876543,523.32,280085.8525390625,0.0028140055593639736,25.506750489059954,25.622933453180202,0.9559974670410156,0.16342036053538322,0.14378920942544937,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_blur_0p5.bin,bae409e52bcbfcbf056a80c7079fb1274f7348ad59360b742befd7b16994224e,PASS,6a12615876ad76f0400bdc2391dd67db9de106f6061b66015db33ad7a2d87681,1.001377726750861
