dataset,video,video_id,target_ratio,baseline_bytes,baseline_kbps,baseline_LPIPS,baseline_DISTS,baseline_PSNR,proxy_parameter,proxy_bytes,proxy_kbps,actual_rate_ratio,proxy_output_LPIPS,proxy_output_DISTS,proxy_output_FloLPIPS,proxy_output_PSNR,delta_LPIPS_vs_baseline,delta_DISTS_vs_baseline,delta_PSNR_vs_baseline,target_reached,bitstream_path,decode_status,selection_status,proxy_output_MS_SSIM,proxy_input_PSNR,proxy_input_LPIPS,proxy_input_DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0.9,24325,364.875,0.20651204511523247,0.07692242786288261,21.13849751914919,100.0,19575,293.625,0.8047276464542652,0.46077489480376244,0.15193775296211243,0.4724648972352346,18.416890969809018,0.25426284968852997,0.07501532509922981,-2.721606549340173,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_100p0.bin,PASS,SELECTED,0.6468059569597244,33.969469097925995,0.42906574346125126,0.19082951918244362
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0.8,24325,364.875,0.20651204511523247,0.07692242786288261,21.13849751914919,3000.0,14108,211.62,0.5799794450154162,0.4735545963048935,0.14389099553227425,0.47594807545344037,15.919031561941974,0.267042551189661,0.06696856766939163,-5.219465957207216,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_3000p0.bin,PASS,SELECTED,0.579617265611887,30.378556255194848,0.5911680590361357,0.24412807449698448
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0.7,24325,364.875,0.20651204511523247,0.07692242786288261,21.13849751914919,3000.0,14108,211.62,0.5799794450154162,0.4735545963048935,0.14389099553227425,0.47594794432322185,15.919031561941974,0.267042551189661,0.06696856766939163,-5.219465957207216,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_3000p0.bin,PASS,SELECTED,0.579617265611887,30.378556255194848,0.5911680590361357,0.24412807449698448
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,0.6,24325,364.875,0.20651204511523247,0.07692242786288261,21.13849751914919,3000.0,14108,211.62,0.5799794450154162,0.4735545963048935,0.14389099553227425,0.4759480684995651,15.919031561941974,0.267042551189661,0.06696856766939163,-5.219465957207216,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_3000p0.bin,PASS,SELECTED,0.579617265611887,30.378556255194848,0.5911680590361357,0.24412807449698448
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0.9,19210,287.86213786213784,0.12983310502022505,0.08150184527039528,28.767512164502236,3000.0,13638,204.36563436563435,0.7099427381572098,0.5125142289325595,0.20090261846780777,0.5164977739254634,21.56325302223721,0.38268112391233444,0.11940077319741249,-7.204259142265027,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_3000p0.bin,PASS,SELECTED,0.6379130966961384,31.57527517967378,0.7318626791238785,0.3373284414410591
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0.8,19210,287.86213786213784,0.12983310502022505,0.08150184527039528,28.767512164502236,3000.0,13638,204.36563436563435,0.7099427381572098,0.5125142289325595,0.20090261846780777,0.5164978245894114,21.56325302223721,0.38268112391233444,0.11940077319741249,-7.204259142265027,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_3000p0.bin,PASS,SELECTED,0.6379130966961384,31.57527517967378,0.7318626791238785,0.3373284414410591
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0.7,19210,287.86213786213784,0.12983310502022505,0.08150184527039528,28.767512164502236,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,0.6,19210,287.86213786213784,0.12983310502022505,0.08150184527039528,28.767512164502236,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0.9,13042,195.43456543456543,0.07411495829001069,0.07135103270411491,28.618480020155953,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0.8,13042,195.43456543456543,0.07411495829001069,0.07135103270411491,28.618480020155953,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0.7,13042,195.43456543456543,0.07411495829001069,0.07135103270411491,28.618480020155953,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,0.6,13042,195.43456543456543,0.07411495829001069,0.07135103270411491,28.618480020155953,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,Beauty,0,0.9,8710,522.6,0.165183637291193,0.14687307551503181,25.499286037129714,3000.0,7129,427.74,0.8184845005740529,0.5052879434078932,0.27018291875720024,0.5307629644870758,21.92346636532521,0.3401043061167002,0.12330984324216843,-3.5758196718045028,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_00_oracle_3000p0.bin,PASS,SELECTED,0.7318304777145386,31.81654393576846,0.6804568134248257,0.3759552054107189
uvg,Beauty,0,0.8,8710,522.6,0.165183637291193,0.14687307551503181,25.499286037129714,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,Beauty,0,0.7,8710,522.6,0.165183637291193,0.14687307551503181,25.499286037129714,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,Beauty,0,0.6,8710,522.6,0.165183637291193,0.14687307551503181,25.499286037129714,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,Bosphorus,1,0.9,11870,712.2,0.1750509198755026,0.18621476367115974,28.659691080534387,10000.0,10648,638.88,0.8970513900589722,0.5258494568988681,0.31527477875351906,0.5155645797650019,24.168836119930518,0.3507985370233655,0.12906001508235931,-4.490854960603869,True,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/uvg_01_oracle_10000p0.bin,PASS,SELECTED,0.7201327495276928,31.832909293463512,0.608830701559782,0.3763466328382492
uvg,Bosphorus,1,0.8,11870,712.2,0.1750509198755026,0.18621476367115974,28.659691080534387,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,Bosphorus,1,0.7,11870,712.2,0.1750509198755026,0.18621476367115974,28.659691080534387,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,Bosphorus,1,0.6,11870,712.2,0.1750509198755026,0.18621476367115974,28.659691080534387,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,HoneyBee,2,0.9,13208,792.48,0.15878842398524284,0.13483361154794693,29.29186749957434,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,HoneyBee,2,0.8,13208,792.48,0.15878842398524284,0.13483361154794693,29.29186749957434,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,HoneyBee,2,0.7,13208,792.48,0.15878842398524284,0.13483361154794693,29.29186749957434,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
uvg,HoneyBee,2,0.6,13208,792.48,0.15878842398524284,0.13483361154794693,29.29186749957434,,,,,,,,,,,,False,,,TARGET_NOT_REACHED,,,,
