dataset,video,video_id,kind,parameter,bitstream_path,recorded_bytes,filesystem_bytes,bitstream_sha256,real_rans,independent_decode_status
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,3.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_3p0.bin,28046,28046,1a5039fcc3ed74bedb41b72eb313493e95e245baeed162423aadd92159357513,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,4.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_4p0.bin,27519,27519,ae7c9fa2e68037dab2777d35e3853a6077571dd85a7dd1b6af5c0ce517d7c046,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,6.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_6p0.bin,25848,25848,5dfb45d01193efbc2238cd007e4b115d4282c7b1c2cf7c7fd4c52ce694a6aae9,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,blur,8.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_blur_8p0.bin,24234,24234,aa2566897a7f3468c276207eceb508385342f4ae39e681eb9aad6f97aae34da5,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,3000.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_3000p0.bin,14108,14108,547e2b717b248a4315b6d40b75384dba44ad7acd12d1407ae189fe9785f6147e,True,NOT_SELECTED
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,oracle,10000.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_00_oracle_10000p0.bin,13957,13957,a66dfc1dff42f505203286bb9900bb75ec58cd5757033dfd998d8cd36c12cae8,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,baseline,original,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_baseline_original.bin,19210,19210,4cf464473af957c7209d7bb197b080e5cd69aa3a85a7e81159b46a1eb76c2752,True,PASS
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,0.0,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_0p0.bin,44486,44486,cbf6046c7ef3ce0dc65c65bed5df4574df58b313d498b0c24a3344a98bc582ea,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,0.01,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_0p01.bin,44486,44486,e3ad82193f77ec2df11a072c6f47df5fa22324a86ef48a16f1b861ab67d154a0,True,NOT_SELECTED
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,oracle,0.03,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_precompression_representation_oracle_v1/bitstreams/fresh_ulong_01_oracle_0p03.bin,44458,44458,a62b64854a5c19b54f8ba2f2948afd7e9e4ec3efad1fd447202e27514b3fb1b3,True,NOT_SELECTED
