codec,dataset,video,video_id,rate_control,num_frames,fps,bitstream_path,bitstream_bytes,actual_bits,bpp,kbps,bitstream_sha256,decode_status
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I28_P28,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q28.bin,79821,638568,0.004811740451388889,299.02972027972027,c96c06ee282dddd96924605c8d98e1d55eb7757081c32c4e40b9b1db1896759d,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I32_P32,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q32.bin,97050,776400,0.005850332754629629,363.5739260739261,410c62a0506db07f15f9dc662e7c0b65ae1ff384566f1cc93a0619a5b8f95d09,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I8_P8,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q8.bin,31349,250792,0.001889769000771605,117.44130869130869,93277b9da724c40449dcbcb6552944c52781571eae6279860fab425442b9816b,PASS
GVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,QP1,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp1.bin,52078,416624,0.0031393470293209877,195.0974025974026,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,PASS
GVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,QP3,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp3.bin,78986,631888,0.004761405285493827,295.9015984015984,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I0_P0,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q0.bin,16298,130384,0.000982470100308642,61.056443556443554,c5464631550153bf1e8213226fbf6c509a760bc46261837ca38468858c7adb31,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I16_P16,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q16.bin,34526,276208,0.0020812837577160494,129.34315684315683,e8ac9584a3a44583abcb5b38eb3e8a9a62a91b2e1a383c41b0a29f68d3994549,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I17_P17,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q17.bin,36133,289064,0.0021781563464506174,135.36338661338664,4f042fc71f6ee70319dff9a7a2000e551c751d50413692a120f8e31c704e28b8,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I24_P24,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q24.bin,50436,403488,0.0030403645833333333,188.94605394605392,53dae74f27e0e3043dca29633bfe68bf568e2cb3e18d727af6dd2795b4610720,PASS
DCVC-RT,fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,I28_P28,64,29.97002997002997,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_10_q28.bin,60920,487360,0.0036723572530864197,228.2217782217782,2a24fe070d240de7fa84b1338270a465e1a2da430047b5ee6eded3eab4edd640,PASS
