codec,dataset,video,video_id,rate_control,num_frames,fps,total_pixel_SSE,aggregate_MSE,sequence_PSNR,mean_frame_PSNR,SSIM,MS_SSIM,LPIPS,DISTS,FloLPIPS,reconstruction_dir,actual_total_bytes,actual_bits,bpp,kbps,bitstream_path,bitstream_sha256,decode_status
GVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,QP3,64,30.0,1083593.4951171875,0.002721699517940788,25.651598236233486,25.945295026773067,0.9826904963701963,0.9119420433416963,0.12025903642643243,0.07449897658079863,0.11414019686598627,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_00/GVC_qp3,96549,772392,0.005820131655092592,362.05875,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_00_qp3.bin,fe8dd2743db63b635b729536ecd5c81795c802d91ab11c161be16d2344a08dcb,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I0_P0,64,29.97002997002997,273582.1638183594,0.0006871658483895745,31.629384327398462,31.721704338829294,0.9874381572008133,0.9182347673922777,0.271288241725415,0.22914433758705854,0.31169060629511636,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_01/DCVC_q0,21518,172144,0.001297140239197531,80.6118881118881,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q0.bin,44feefa14de440c398e113dbec259eab3aa9d261068b109660237518bd4bad8e,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I16_P16,64,29.97002997002997,125864.140625,0.00031613734523945874,35.001241980123,35.074195049090086,0.9942354159429669,0.9561567967757583,0.19106870773248374,0.17198484390974045,0.23230483205545516,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_01/DCVC_q16,45308,362464,0.0027312403549382717,169.73526473526474,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q16.bin,0e57465696e8847710e4e85c93cbacb5550621987a8c109a882bd2d48878a3dd,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I19_P19,64,29.97002997002997,112068.88134765625,0.00028148731209123087,35.505411759918545,35.57990713868443,0.9948707418516278,0.9603073941543698,0.17964561213739216,0.16229942720383406,0.22130833779062545,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_01/DCVC_q19,51888,415104,0.0031278935185185186,194.3856143856144,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q19.bin,931e8a3dabbcffafde3980511e1e0e0cba3ef2bf48c30df97de5a56a0ef2911c,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I24_P24,64,29.97002997002997,90469.810546875,0.00022723617377104583,36.43522532033889,36.49838630625073,0.9958617147058249,0.9668159894645214,0.1608248664997518,0.14936579391360283,0.20284935122444517,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_01/DCVC_q24,65528,524224,0.003950135030864198,245.4845154845155,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q24.bin,14d3ce29f6305a18584bb76f57ce82ff25f8c86895819aa758749ad0cd0a3348,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I28_P28,64,29.97002997002997,77176.75988769531,0.0001938475554985274,37.12539671263397,37.17907665424842,0.9964746106415987,0.971117983572185,0.14675172115676105,0.13953353185206652,0.1853656887062012,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_01/DCVC_q28,79821,638568,0.004811740451388889,299.02972027972027,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q28.bin,c96c06ee282dddd96924605c8d98e1d55eb7757081c32c4e40b9b1db1896759d,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I32_P32,64,29.97002997002997,65968.80895996094,0.00016569615483529284,37.80687569753207,37.85395653936126,0.9969874592497945,0.9748064186424017,0.13284527999348938,0.12916266079992056,0.17185494824061318,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_01/DCVC_q32,97050,776400,0.005850332754629629,363.5739260739261,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q32.bin,410c62a0506db07f15f9dc662e7c0b65ae1ff384566f1cc93a0619a5b8f95d09,PASS
DCVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,I8_P8,64,29.97002997002997,182668.0205078125,0.00045881362854207985,33.38363690350728,33.47136261802585,0.9916260531172156,0.9405376501381397,0.22664709179662168,0.19700677879154682,0.261486543076379,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_01/DCVC_q8,31349,250792,0.001889769000771605,117.44130869130869,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/dcvc/fresh_ulong_01_q8.bin,93277b9da724c40449dcbcb6552944c52781571eae6279860fab425442b9816b,PASS
GVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,QP1,64,29.97002997002997,487093.63720703125,0.0012234500516589287,29.124137563748846,29.136945209795538,0.9789919285103679,0.9144945675507188,0.13210242695640773,0.07691752072423697,0.14296662038753902,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_01/GVC_qp1,52078,416624,0.0031393470293209877,195.0974025974026,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp1.bin,932734fe8a30e69316f35209b55ab123a58e5f55a0a3e5567bbbc63a7173ad02,PASS
GVC-RT,fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,QP3,64,29.97002997002997,386147.5205078125,0.0009699001748866015,30.132729623593896,30.14295268082883,0.9834825815632939,0.9336824025958776,0.10497458721511066,0.06255010329186916,0.11347769886728316,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/reconstructions/fresh_ulong_01/GVC_qp3,78986,631888,0.004761405285493827,295.9015984015984,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_vs_dcvc_rt_matched_rate/bitstreams/gvc/fresh_ulong_01_qp3.bin,699f95510983015cc3b7bbb1ea4601d1a9a953dcd901daad6ad324131fa05c0d,PASS
