codec,dataset,video,video_id,rate_control,frame,pixel_SSE,MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,FloLPIPS
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,24,13305.52734375,0.002138877287507057,26.69814131224311,0.9837319850921631,0.8778027296066284,0.3364802896976471,0.1883508563041687,0.22186964750289917
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,25,10229.3984375,0.0016443863278254867,27.839961427981773,0.9887831211090088,0.8936574459075928,0.31286948919296265,0.19287371635437012,0.19346576929092407
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,26,11589.900390625,0.001863088458776474,27.29766524466899,0.9884046912193298,0.8911106586456299,0.31290745735168457,0.20879292488098145,0.17711231112480164
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,27,11176.625,0.0017966539599001408,27.45535561053202,0.9898238182067871,0.8995634913444519,0.262254536151886,0.2064644694328308,0.14018498361110687
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,28,13192.4453125,0.002120699267834425,26.73520913557985,0.9889589548110962,0.8964020013809204,0.24670298397541046,0.21301960945129395,0.10006148368120193
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,29,10552.8359375,0.001696379273198545,27.704770425024073,0.9915769100189209,0.909200131893158,0.22228729724884033,0.2072235345840454,0.09353486448526382
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,30,10910.03515625,0.0017537993844598532,27.560200866855,0.9913476705551147,0.9098615646362305,0.2222406566143036,0.21195900440216064,0.084564708173275
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,31,9639.69921875,0.0015495915431529284,28.09782762430943,0.9923380017280579,0.9178094863891602,0.21041055023670197,0.20272904634475708,0.08291754871606827
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,32,10606.9921875,0.001705084927380085,27.682539846632924,0.9916084408760071,0.915765643119812,0.21956376731395721,0.21121609210968018,0.09312303364276886
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,33,8345.498046875,0.0013415473513305187,28.723939938391318,0.9933719635009766,0.9288617968559265,0.1954335719347,0.1940547227859497,0.12116552144289017
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,34,8915.359375,0.0014331531710922718,28.437073910365473,0.9929273724555969,0.9270564913749695,0.20016169548034668,0.19973504543304443,0.14064335823059082
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,35,8621.13671875,0.0013858565362170339,28.58281725535263,0.9931322336196899,0.928632915019989,0.1950506567955017,0.19776666164398193,0.13255396485328674
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,36,9629.375,0.0015479319263249636,28.102481422781214,0.9923701882362366,0.9247109889984131,0.20636336505413055,0.2070000171661377,0.14832919836044312
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,37,8501.9892578125,0.001366703538224101,28.64325681245347,0.9932206273078918,0.9293990135192871,0.19384488463401794,0.19693374633789062,0.1609877198934555
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,38,9092.6513671875,0.0014616530388593674,28.351557061686417,0.9927518963813782,0.9271342754364014,0.1984730362892151,0.20138829946517944,0.1332828402519226
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,39,9001.697265625,0.0014470320893451571,28.395218378712848,0.9928104877471924,0.9272486567497253,0.19849644601345062,0.2007812261581421,0.16404616832733154
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,40,10127.580078125,0.0016280189156532288,27.883405534295605,0.9919478297233582,0.9233609437942505,0.20837020874023438,0.21072369813919067,0.14974862337112427
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,41,8392.93359375,0.0013491726713255048,28.699324644089668,0.9932730197906494,0.9309190511703491,0.19249270856380463,0.19636750221252441,0.13141396641731262
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,42,8936.26171875,0.0014365132665261626,28.426903588453705,0.9928479790687561,0.9289259910583496,0.19761624932289124,0.2033037543296814,0.1258843094110489
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,43,8775.40234375,0.001410654978826642,28.505791939809,0.9929555654525757,0.9294349551200867,0.19585302472114563,0.20093286037445068,0.10149528086185455
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,44,9849.275390625,0.0015832812059670687,28.004419434107074,0.9921263456344604,0.9257459044456482,0.20494751632213593,0.20876675844192505,0.10535775125026703
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,45,8898.607421875,0.0014304602518677711,28.445242054115496,0.9928494691848755,0.9286561012268066,0.19644631445407867,0.20149588584899902,0.1493540108203888
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,46,9528.16015625,0.0015316614881157875,28.148372073456542,0.992348313331604,0.9263525009155273,0.20043155550956726,0.20389330387115479,0.09961840510368347
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,47,9350.638671875,0.0015031248331069946,28.230049501660925,0.9924687743186951,0.9266707301139832,0.19816923141479492,0.2012251615524292,0.15029671788215637
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,48,10478.591796875,0.0016844443744048476,27.735433262013576,0.9916062355041504,0.9220924377441406,0.20842358469963074,0.20970594882965088,0.12506923079490662
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,49,9094.0732421875,0.0014618816785514355,28.350877767842423,0.9926649332046509,0.9275287985801697,0.19783569872379303,0.20054447650909424,0.1024850457906723
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,50,9778.00390625,0.0015718241920694709,28.0359603125077,0.9921280145645142,0.9254019260406494,0.20155127346515656,0.20428121089935303,0.10139776766300201
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,51,9980.673828125,0.0016044036019593477,27.946863716783533,0.9919734001159668,0.9241061210632324,0.20286858081817627,0.20537978410720825,0.1573963761329651
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,52,11036.34375,0.0017741036135703325,27.510210195168177,0.9911562204360962,0.9202790260314941,0.21151931583881378,0.21096229553222656,0.11796320974826813
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,53,10441.83984375,0.0016785365296527743,27.750692028496925,0.9915804266929626,0.9221693873405457,0.20390024781227112,0.20377874374389648,0.1560690999031067
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,54,11330.71484375,0.001821424113586545,27.39588918156435,0.9908787608146667,0.9188859462738037,0.20807349681854248,0.2059725522994995,0.10737226158380508
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,55,11599.6171875,0.001864650403149426,27.294025805925894,0.9906378984451294,0.9172136187553406,0.20866012573242188,0.20496302843093872,0.15215055644512177
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,56,12889.9296875,0.002072069561108947,26.835956690529255,0.9896442890167236,0.912682056427002,0.2178562879562378,0.21346884965896606,0.13522787392139435
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,57,11286.267578125,0.0018142791232094169,27.412958967994697,0.990876317024231,0.9180304408073425,0.2096523642539978,0.20627951622009277,0.14335809648036957
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,58,12197.7001953125,0.001960792811587453,27.0756829390899,0.9901548624038696,0.9144040942192078,0.21281985938549042,0.2105960249900818,0.10468940436840057
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,59,12282.7958984375,0.001974472077563405,27.045490035561425,0.9900747537612915,0.9140757918357849,0.21249404549598694,0.21041333675384521,0.17467749118804932
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,60,13901.4619140625,0.0022346742916852236,26.507857672219195,0.988836944103241,0.9081605672836304,0.22426626086235046,0.2195744514465332,0.11372995376586914
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,61,13497.09375,0.0021696717012673616,26.636059754207828,0.9891237020492554,0.9090210199356079,0.21819496154785156,0.2151355743408203,0.12352164089679718
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,62,14879.4892578125,0.002391893183812499,26.21258218795926,0.9880433082580566,0.9044190645217896,0.21832206845283508,0.21805113554000854,0.15081918239593506
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I0_P0,63,16424.142578125,0.002640197752043605,25.783635430525482,0.9868038892745972,0.8989216685295105,0.2224445790052414,0.21793806552886963,
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,0,16124.76953125,0.0025920732878148556,25.863527234636273,0.9898396134376526,0.9074728488922119,0.2955828011035919,0.14612752199172974,0.22094008326530457
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,1,10764.48828125,0.0017304025823250413,27.61852845459465,0.9929766654968262,0.9311324954032898,0.2441934496164322,0.10515034198760986,0.22999107837677002
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,2,10578.7060546875,0.0017005378613248467,27.694136943508347,0.9928629994392395,0.9316791296005249,0.24057357013225555,0.10700458288192749,0.2192993015050888
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,3,11962.97265625,0.001923060161061585,27.16007129069695,0.9914928078651428,0.9268820285797119,0.2472650706768036,0.10662370920181274,0.30337703227996826
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,4,13222.2734375,0.002125493949279189,26.725401270169712,0.9898484945297241,0.9200917482376099,0.25327226519584656,0.10488337278366089,0.24370688199996948
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,5,12964.0078125,0.002083977684378624,26.811069358538532,0.988921582698822,0.911207377910614,0.2725766599178314,0.11395817995071411,0.2599019408226013
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,6,13956.6826171875,0.002243551192805171,26.490640163920407,0.9870162010192871,0.905364990234375,0.2800111770629883,0.114654541015625,0.31314802169799805
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,7,12530.3349609375,0.0020142642315477133,26.958835592163418,0.9869928956031799,0.9072155952453613,0.27566269040107727,0.11106699705123901,0.29467156529426575
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,8,13797.73046875,0.0022179994266480207,26.540385704517966,0.984398603439331,0.8992473483085632,0.2868095934391022,0.1144905686378479,0.2765978276729584
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,9,11474.7724609375,0.0018445814494043589,27.34102163291128,0.9854692816734314,0.9030615091323853,0.29097282886505127,0.11634498834609985,0.3037370443344116
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,10,12570.029296875,0.0020206451881676912,26.9450993900767,0.9827205538749695,0.8968596458435059,0.30575868487358093,0.12279033660888672,0.3460826873779297
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,11,11680.3798828125,0.0018776330398395658,27.26389281263235,0.9824328422546387,0.8991250395774841,0.29857850074768066,0.12074035406112671,0.35847753286361694
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,12,13228.31640625,0.0021264655515551567,26.723416484029023,0.9787980914115906,0.8922237157821655,0.30918118357658386,0.12373173236846924,0.33921265602111816
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,13,11623.3251953125,0.0018684614915400743,27.285158484078625,0.9800427556037903,0.8956789970397949,0.30924883484840393,0.12711524963378906,0.33527007699012756
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,14,13336.6845703125,0.0021438857074826956,26.687983710000935,0.9759666323661804,0.8871402144432068,0.32874688506126404,0.13656842708587646,0.3009970486164093
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,15,11603.455078125,0.001865267287939787,27.292589261288427,0.9783226251602173,0.8929471969604492,0.3174333870410919,0.13209688663482666,0.2886282205581665
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,16,13461.212890625,0.0021639037877321243,26.647620528935335,0.9745186567306519,0.8834299445152283,0.3406738340854645,0.14334940910339355,0.3291471004486084
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,17,10696.884765625,0.001719535212032497,27.64588926422466,0.9798166751861572,0.8955107927322388,0.3247171938419342,0.14158248901367188,0.2988010048866272
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,18,11975.712890625,0.0019251081394031644,27.155448697778297,0.9777857065200806,0.8902015686035156,0.3317897915840149,0.14741086959838867,0.26283836364746094
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,19,11294.8759765625,0.0018156629521399736,27.4096476793566,0.9799250960350037,0.891185462474823,0.3225584328174591,0.14490270614624023,0.23161539435386658
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,20,13422.9716796875,0.002157756593078375,26.659975477184688,0.9773838520050049,0.8797452449798584,0.3489004075527191,0.1582425832748413,0.26434043049812317
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,21,11292.369140625,0.0018152599222958088,27.41061180690287,0.982363224029541,0.8883947730064392,0.32493239641189575,0.15637952089309692,0.247116357088089
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,22,12454.18359375,0.0020020229276269674,26.985309531879402,0.9819481372833252,0.8831102848052979,0.33393919467926025,0.16613876819610596,0.2605759799480438
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,23,11047.955078125,0.0017759701004251838,27.50564350116911,0.9853194355964661,0.8893224000930786,0.31354042887687683,0.16677165031433105,0.22976112365722656
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,24,12698.072265625,0.0020412281155586243,26.90108458393954,0.98450767993927,0.8823519945144653,0.32853826880455017,0.18581515550613403,0.2197105884552002
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,25,9808.9765625,0.0015768030425533652,28.022225507257833,0.9892425537109375,0.8982081413269043,0.3036119043827057,0.18793129920959473,0.2021462619304657
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,26,11111.5087890625,0.001786186476238072,27.48073203133003,0.9888856410980225,0.8940948247909546,0.3051582872867584,0.20261883735656738,0.1911342740058899
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,27,10525.103515625,0.0016919212648645043,27.716198511258938,0.9904135465621948,0.9029666185379028,0.2573288679122925,0.20247995853424072,0.11601702868938446
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,28,12347.80859375,0.0019849229138344526,27.022563547680676,0.9897227883338928,0.9007841944694519,0.24075008928775787,0.2104700803756714,0.09235356748104095
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,29,9935.8525390625,0.001597198541276157,27.96641095119326,0.9920869469642639,0.9140238761901855,0.21537211537361145,0.20248830318450928,0.08680039644241333
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,30,10309.3974609375,0.0016572462627664208,27.80612951680926,0.9918169975280762,0.9141656160354614,0.2163514345884323,0.20765674114227295,0.07688143849372864
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,31,9067.4189453125,0.0014575968962162733,28.363625651498783,0.9927946329116821,0.9220225214958191,0.20398634672164917,0.19871699810028076,0.09021692723035812
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,32,10044.3564453125,0.0016146405832841992,27.919241359137416,0.9920408725738525,0.9201781749725342,0.21298381686210632,0.2066623568534851,0.10630631446838379
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,33,7918.02734375,0.0012728309957310557,28.95229257378559,0.99369877576828,0.9326456785202026,0.19031357765197754,0.18747371435165405,0.096247598528862
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,34,8528.07421875,0.0013708967017009854,28.62995268457315,0.9932169318199158,0.930715024471283,0.19514331221580505,0.1938079595565796,0.1136862188577652
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,35,8288.5703125,0.001332396175712347,28.753666225054843,0.9933918714523315,0.9320914149284363,0.19018015265464783,0.19087910652160645,0.10336880385875702
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,36,9302.482421875,0.001495383563451469,28.25247397222547,0.9926187992095947,0.9283361434936523,0.20144395530223846,0.19999182224273682,0.12313394993543625
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,37,8191.2939453125,0.0013167589204385877,28.804937308143153,0.9934611916542053,0.9331483840942383,0.1869106888771057,0.18874073028564453,0.11591717600822449
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,38,8840.5,0.0014211194356903434,28.473694209595667,0.9929421544075012,0.9308247566223145,0.19167058169841766,0.19374710321426392,0.14872553944587708
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,39,8676.166015625,0.0013947025872766972,28.555183934480425,0.993059515953064,0.9311553835868835,0.19019673764705658,0.1928604245185852,0.10798853635787964
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,40,9676.2421875,0.0015554658602923155,28.081395164417255,0.9922910928726196,0.9276160001754761,0.20080867409706116,0.20326673984527588,0.133212149143219
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,41,8084.80322265625,0.0012996403966099024,28.86176797979482,0.9935171008110046,0.9343578219413757,0.18606162071228027,0.18983525037765503,0.096154123544693
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,42,8650.005859375,0.0013904973166063428,28.568298449042324,0.9930734038352966,0.9323334693908691,0.19106879830360413,0.19514918327331543,0.12243925034999847
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,43,8505.7939453125,0.001367315067909658,28.641314002175655,0.9931663274765015,0.9326117038726807,0.1891952008008957,0.19398796558380127,0.08554518222808838
DCVC-RT,fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,I1_P1,44,9488.298828125,0.0015252537559717894,28.16657896874297,0.9924119114875793,0.9291706085205078,0.1979665905237198,0.20280355215072632,0.14686307311058044
