split,video,frame,candidate,packet_bytes,packet_kind,nonzero_symbols,mse,psnr,ms_ssim,lpips,d
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,Z,1,ZERO,0,0.014518528168263446,18.380774084844518,0.7843452553097912,0.3777421712875366,0.014896270339550982
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,E,1443,CODED,2174,0.012869807865922938,18.904279366536795,0.8178872532932354,0.3121979236602783,0.013182005789583217
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O1,717,CODED,1291,0.013676316429776535,18.640308594609902,0.7987955651696687,0.3564838171005249,0.01403280024687706
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,O2,655,CODED,1152,0.013672061368668465,18.64166000900671,0.7988917148941889,0.35541144013404846,0.014027472808802514
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Z,1,ZERO,0,0.014461303926505544,18.39792546422175,0.790151174481061,0.37269139289855957,0.014833995319404103
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,E,1472,CODED,2235,0.012959827116212142,18.87400791904922,0.8206039428272827,0.3095458745956421,0.013269372990807785
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O1,627,CODED,1089,0.013674755858889952,18.640804185655288,0.8014646297243416,0.35993731021881104,0.014034693169108764
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,O2,572,CODED,955,0.013700890771746533,18.63251196005783,0.8004655178323189,0.3636980354785919,0.014064588807225125
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,Z,1,ZERO,0,0.014337797154308224,18.43517568139394,0.792569618828697,0.37328192591667175,0.014711079080224895
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,E,1475,CODED,2202,0.012833010080350536,18.91671464594652,0.8222053988742332,0.3106667995452881,0.013143676879895825
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O1,643,CODED,1100,0.013529232742229731,18.687268320250055,0.8033284120039149,0.36154913902282715,0.013890781881252558
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,O2,590,CODED,969,0.013589796953061357,18.667870320698448,0.8033306421695036,0.35737043619155884,0.013947167389252916
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,Z,1,ZERO,0,0.014770672740468943,18.30599723996119,0.7901818846568697,0.38248443603515625,0.0151531571765041
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,E,1490,CODED,2299,0.013184125543209474,18.799486701445684,0.8203949766442745,0.3189242482185364,0.01350304979142801
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,O1,676,CODED,1184,0.013903959373560495,18.56861509872989,0.802191172663274,0.36892086267471313,0.014272880236235208
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,O2,570,CODED,970,0.013985478247571818,18.54322677899524,0.8014182278768677,0.3686385154724121,0.01435411676304423
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,Z,1,ZERO,0,0.014312605644440184,18.442812946826333,0.7920176088177971,0.3723566234111786,0.014684962267851364
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,E,1490,CODED,2237,0.012694380118676098,18.963885013764145,0.8224856321027781,0.30932140350341797,0.013003701522179516
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,O1,624,CODED,1058,0.013526461188175826,18.688158092760947,0.802062024532541,0.36264950037002563,0.013889110688545852
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,O2,565,CODED,905,0.013563206284548343,18.676376329551957,0.80177675948877,0.36180901527404785,0.01392501529982239
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,Z,1,ZERO,0,0.01454084282161529,18.374104200128485,0.7908164707434683,0.3756115138530731,0.014916454335468362
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,E,1530,CODED,2269,0.012805933436652192,18.925887599044625,0.8223662852884116,0.31247174739837646,0.013118405184050568
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,O1,624,CODED,1051,0.013723778988332339,18.625262845622775,0.8007551601219466,0.3652193248271942,0.014088998313159533
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,O2,568,CODED,916,0.013771715015451921,18.610119729334716,0.8003900371040621,0.3673170804977417,0.014139032095949662
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,Z,1,ZERO,0,0.014192229878867148,18.479493629636618,0.7905097082966499,0.3711719214916229,0.01456340180035877
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,E,1558,CODED,2250,0.01240190228443877,19.06511694815888,0.8227321640264993,0.30835986137390137,0.012710262145812673
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,O1,611,CODED,1022,0.013386870034860663,18.73320952897423,0.8001867327293178,0.36193951964378357,0.013748809554504447
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,O2,541,CODED,859,0.013450566880915671,18.712594117161807,0.7986273591531999,0.3670264184474945,0.013817593299363166
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,Z,1,ZERO,0,0.014933942283403598,18.258255314628165,0.7864553587050874,0.3857608735561371,0.015319703156959736
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,E,1532,CODED,2256,0.01303528588551277,18.84879439590463,0.8200491114796306,0.32299840450286865,0.013358284290015638
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,O1,605,CODED,1008,0.014121692543702267,18.501132481611013,0.796317071336133,0.37797611951828003,0.014499668663220546
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,O2,549,CODED,890,0.014191600693842002,18.47968616995204,0.7948059510362778,0.3826046586036682,0.01457420535244567
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,Z,1,ZERO,0,0.014265616134018307,18.45709466360519,0.7872462612111572,0.3715718686580658,0.014637188002676372
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,E,1555,CODED,2268,0.012472069938062375,19.040614624736886,0.8194781798992232,0.3105311989784241,0.012782601137040798
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,O1,607,CODED,1011,0.013480292916010368,18.703006708255618,0.795520462127676,0.36776384711265564,0.013848056763123024
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,O2,546,CODED,853,0.0135307062364653,18.686795347700663,0.7949927980327787,0.36707934737205505,0.013897785583837356
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,Z,1,ZERO,0,0.015027104231448502,18.231247012140393,0.7822240124577718,0.3817782402038574,0.01540888247165236
