split,video,method,alpha,base_bytes,budget_bytes,actual_bytes,enhancement_fraction,stream_sent,objective_sum_P,stream,stream_sha256
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME,0.25,13098,3274,3105,0.23705909299129638,True,0.01808288350779322,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_a0p25.orc2,373bc099c6da9f2c9f44a7ada9f97f9824890d5e2634066814e72add3724376b
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M2_E_FRAME,0.5,13098,6549,6104,0.4660253473812796,True,0.017198919279934603,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M2_E_FRAME_a0p5.orc2,3b3734d990e3c1718c9ae0053b98fb22ccd797aa023bfe7d0d6de5a5cdb27c2b
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M3_O_SEQUENCE,0,13098,0,0,0.0,False,0.019192755380735973,,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M3_O_SEQUENCE,0.1,13098,1309,0,0.0,False,0.019192755380735973,,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M3_O_SEQUENCE,0.25,13098,3274,0,0.0,False,0.019192755380735973,,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M3_O_SEQUENCE,0.5,13098,6549,3439,0.26255916933883033,True,0.017830685066884424,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M3_O_SEQUENCE_a0p5.orc2,92f62706403edd1831aba53759d768a5d4ab3165450c793daa63482aa5250432
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME,0,13098,0,0,0.0,False,0.019192755380735973,,
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME,0.1,13098,1309,1236,0.09436555199267063,True,0.018710753631034093,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_a0p1.orc2,69bb970c239d919922ed27c39674bce1741af6e35528f90ae14beb8691a1d7c6
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME,0.25,13098,3274,3227,0.246373492136204,True,0.017936618592487574,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_a0p25.orc2,02c55a5bc1827302dcd057cefc182fab989fec69fde0291ea20cb224b2a637f3
Train2,c227e33d-910e-4e39-a325-0fe1d1116436,M4_O_FRAME,0.5,13098,6549,6504,0.49656436097114065,True,0.016948099756558983,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/c227e33d-910e-4e39-a325-0fe1d1116436_M4_O_FRAME_a0p5.orc2,98540a8022bcc6cec8e819591d9b0114bbbed5e4a18955e2f1e54afe02444583
