split,video,method,alpha,base_bytes,budget_bytes,actual_bytes,enhancement_fraction,stream_sent,objective_sum_P,stream,stream_sha256,scope,frames,nonzero_enhancement_frames,mse,mse_minus_ZERO,psnr,psnr_minus_ZERO,ms_ssim,ms_ssim_minus_ZERO,lpips,lpips_minus_ZERO,d,d_minus_ZERO
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M1_E_SEQUENCE,0.0,11620.0,0.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M1_E_SEQUENCE,0.0,11620.0,0.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M1_E_SEQUENCE,0.1,11620.0,1162.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M1_E_SEQUENCE,0.1,11620.0,1162.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M1_E_SEQUENCE,0.25,11620.0,2905.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M1_E_SEQUENCE,0.25,11620.0,2905.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M1_E_SEQUENCE,0.5,11620.0,5810.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M1_E_SEQUENCE,0.5,11620.0,5810.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME,0.0,11620.0,0.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME,0.0,11620.0,0.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME,0.1,11620.0,1162.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME,0.1,11620.0,1162.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME,0.25,11620.0,2905.0,1633.0,0.14053356282271945,True,0.2241248645280261,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_a0p25.orc2,cb710859f5b1f0efd88253e490f580d0b41b1f5c62737ae3290ebedcc9523d7d,P,15,1,0.014567261293162635,-0.00012657709319272188,18.369257539760536,0.03936927208509999,0.7870203598286138,0.002239583518302779,0.37439634203910827,-0.004184164603551255,0.014941657635201742,-0.00013076125779627051
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME,0.25,11620.0,2905.0,1633.0,0.14053356282271945,True,0.2241248645280261,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_a0p25.orc2,cb710859f5b1f0efd88253e490f580d0b41b1f5c62737ae3290ebedcc9523d7d,IP,16,1,0.01544572514917031,-0.00011866602486817676,18.18573498067311,0.036908692579781244,0.7803861638259773,0.0020996095484088553,0.3680326920002699,-0.003922654315829301,0.01581375784117058,-0.0001225886791840036
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME,0.5,11620.0,5810.0,4766.0,0.4101549053356282,True,0.22031103066448496,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_a0p5.orc2,f4c31a575db5fba747b5058d080998ddaf8734ba038df6cd5cd8d0830c6b049a,P,15,3,0.014321227964324506,-0.00037261042203085015,18.44669483210322,0.11680656442778314,0.791386944165566,0.0066061678552549186,0.3661740799744924,-0.012406426668167103,0.014687402044298997,-0.00038501684869901576
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M2_E_FRAME,0.5,11620.0,5810.0,4766.0,0.4101549053356282,True,0.22031103066448496,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M2_E_FRAME_a0p5.orc2,f4c31a575db5fba747b5058d080998ddaf8734ba038df6cd5cd8d0830c6b049a,IP,16,3,0.015215068903384565,-0.000349322270653922,18.258332442244377,0.1095061541510467,0.7844798366418697,0.006193282364301486,0.3603243213146925,-0.01163102500140666,0.015575393224699257,-0.00036095329565532727
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M3_O_SEQUENCE,0.0,11620.0,0.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M3_O_SEQUENCE,0.0,11620.0,0.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M3_O_SEQUENCE,0.1,11620.0,1162.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M3_O_SEQUENCE,0.1,11620.0,1162.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M3_O_SEQUENCE,0.25,11620.0,2905.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M3_O_SEQUENCE,0.25,11620.0,2905.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M3_O_SEQUENCE,0.5,11620.0,5810.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M3_O_SEQUENCE,0.5,11620.0,5810.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME,0.0,11620.0,0.0,0.0,0.0,False,0.2260862833949702,,,P,15,0,0.014693838386355356,0.0,18.329888267675436,0.0,0.7847807763103111,0.0,0.3785805066426595,0.0,0.015072418892998013,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME,0.0,11620.0,0.0,0.0,0.0,False,0.2260862833949702,,,IP,16,0,0.015564391174038487,0.0,18.148826288093332,0.0,0.7782865542775683,0.0,0.37195534631609917,0.0,0.015936346520354586,0.0
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME,0.1,11620.0,1162.0,734.0,0.06316695352839931,True,0.2252018720894427,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_a0p1.orc2,6879f8ef23c7c459066e155bd54b0f46d2216fcfb9c656969569d980922cd218,P,15,1,0.014635386968250879,-5.845141810447742e-05,18.34694590773652,0.01705764006108268,0.7854787192311072,0.0006979429207961685,0.37807117104530336,-0.0005093355973561642,0.01501345813929618,-5.896075370183211e-05
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME,0.1,11620.0,1162.0,734.0,0.06316695352839931,True,0.2252018720894427,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_a0p1.orc2,6879f8ef23c7c459066e155bd54b0f46d2216fcfb9c656969569d980922cd218,IP,16,1,0.01550959296956554,-5.479820447294758e-05,18.164817825650598,0.015991537557265012,0.7789408757658147,0.000654321488246408,0.37147784419357777,-0.0004775021225214039,0.015881070813759116,-5.5275706595467604e-05
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME,0.25,11620.0,2905.0,2897.0,0.24931153184165233,True,0.2220991399194538,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_a0p25.orc2,ddce4a4c3a1f96e95e706bb592057bedcfac9c762e4138d85224e2382f71c88a,P,15,5,0.014430243392161125,-0.0002635949941942311,18.40872889839615,0.07884063072071257,0.7879117546991594,0.003130978388848349,0.3763659358024597,-0.0022145708401998254,0.014806609327963587,-0.00026580956503442603
Train2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,M4_O_FRAME,0.25,11620.0,2905.0,2897.0,0.24931153184165233,True,0.2220991399194538,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_latent_enhancement_v1_5_frame_budget_allocation/results_v1/mixed_streams/Train2/fb63c34e-0c28-4a4d-b8f8-59932b5e7875_M4_O_FRAME_a0p25.orc2,ddce4a4c3a1f96e95e706bb592057bedcfac9c762e4138d85224e2382f71c88a,IP,16,5,0.015317270866981397,-0.00024712030705709165,18.222739379394,0.07391309130066803,0.7812218465171138,0.002935292239545327,0.36987918615341187,-0.0020761601626873363,0.01568715005313481,-0.0002491964672197744
