trajectory_id,parent_trajectory_id,frame,beam_rank,cumulative_estimated_bits,cumulative_actual_bytes,cumulative_RGB_MSE,number_2x_blocks_used,number_4x_blocks_used,bitstream_hash,decoded_w1_hash,DPB_state_hash,mode_history_hash,is_baseline_path
T25,T15,3,1,14397.920288085938,18428,0.022882332559674978,224,0,c4386d281046d2c86855a53cdc8b31d3de82b6af6610ad201342eaa8712219f3,c34b15404f07f8a4251d16b7b1034d13233a6dbf484e2578a2588f85c7e408e5,a3aef56de130beb74b791dccfd7fa3b5f4e5d6ff05664acae813a5d3903dbed6,08719f7abe6c788549f570caa2fe4d62b78aeb3749e2a5d4e0f48a01f6118cb6,False
T45,T14,3,2,14471.646484375,18417,0.022885129787027836,189,0,bb044e844e3c7b3dacf9f5135321101befea7037a93117ec33cc7ccdeda366f1,31f25b54534254190968142e4e8f07a51734a2094858a8f492b094a0f2c7975e,29ea7fc3cf5187aea198e0d2e7ba0f24002287aa7420c8ab869a81685bf4c1f3,b173bef97a168b27713748a5644def4d30568aa73e84ff48f9b61a52ac1c6e00,False
T29,T9,3,3,15010.571533203125,18373,0.022887897677719593,84,0,8edcbd9c9c952f39a7abc85f9d3b36e4fcac6d843db2586a1e0a697e0b40cdf2,ba1a30d8187ec857ffcb23ccac92516dac073014b46448cdaad1822c7e47ebe2,870d3d56aae454f9d599f2f8d1a6b879b721351abd82439c0622ed6721af7e10,6251ee3623a3f59772a8e6efc78d178aa4ebe0b9a1b9ebca4d71cc9c1aabc63f,False
T33,T13,3,4,14567.400634765625,18322,0.02288862969726324,111,0,b2d9882bf43b3ead7be60ab486b1bdeff030d0eb2ee5ac412ef11cf152b6fc3b,43bfd2fdb1a3a54ed6323a20930ed26627319b55f4bb7e5be167744c882f694d,eaf99f726f6a81e4325bb7e1b19f6ee4b4b2382f1634e8f1b986ba30992bd8ed,f59dfadced064fb27d8d21b0ceb723320c22fde48757367965b4d5af9985856b,False
T41,T12,3,5,14630.628662109375,18470,0.022885650396347046,249,0,77adb0244d731f4cba00653d67d7219a03a84d1a386cc37398f0efb8b3a57563,40c67e651b81ce8ea14aa5543ebb4b2c7266832f89f4f6525a766f32f204c594,ea97bef24ffd9313096b61dc84bc87a72ce024f2a1a40c3e89097cda25d2486c,f9e903af65281c9778a40d441d7aa0bfba57cc03d2d595bf1aa539f4ddb62fd3,False
T46,T14,3,6,14402.796875,18542,0.022885808255523443,326,0,c1b9dd368e713a623a6b97a54842326996c632c6b1c453753d710b04c926f0da,be9d683a773df921050eab94d28fc90b6dc6dc31fe30b85117e9c02e483c8ffa,3d8c683f56d0fc977e2e6b3e75ec9bf0b8af4d28d453882fd56b7fa61e09410e,9822aa762e9b485f156b8fe4a60ea1dac7ef03523443cf6069819ec8fa5382fa,False
T27,T15,3,7,14240.061401367188,18555,0.02288590557873249,424,0,3d9cde44ebc095c4caf8758b901e825a76b9a7a5f14a2a4a76f5beb3fa40a35e,5759c89ad80915198bb3b0c4fd79481ef3ec524b9d520f53a9e69954768bffab,5a4a2e2e884ff24cc3c921da739f64649e78de4452d00ed6948e82ab45231208,174566caaa5bf1a2b711f5ed6054e13566c96683cfbe1b8c9447cfce9ded2ba8,False
BASELINE_PATH,BASELINE_PATH,3,-1,15269.031494140625,18291,0.022892166394740343,0,0,592742821790f2d6091c912ff03a83a99c639f43c3e8f6d141b1983a4ac8503b,172fea75d25917261bc698404db0f8f12127b94e962487b1809786876395677b,5fb4385f29f009d9d6d8a2729f792112bd93195718d49d9f9842c097b3333a1f,6d50a3ab11ea48e4ba737c80b0df78afbaa9276aff60b375754cf38e4189d763,True
T61,T26,4,0,17105.798583984375,20756,0.02768162451684475,361,0,09f99577c62384a3aec4515e0a46089bac8573fe5dff7c9dd605ae49c0317b97,3544af31e25079aab8557b8f5442bb86a90bf2cc8b9ed4b0480816d90eb9a578,699d56e9527f3fcc29814961341557ef1b78ebc877fdd4484ff450c83efb8f59,e7911972669ba34c7095e58db78eac88bd783784747b209e0f02eae667eae2c7,False
T65,T25,4,1,17186.800659179688,20633,0.02768955798819661,224,0,220867ac45ae428cfe2ab38f837f144792aebd32d59e2abd01c45c2f68249824,eb45c837bd85c38a2663ddc80f3717ef5d6cf153fd6b756dbca63708722d0cd7,54a612a2151cecd00651c883706cfaae44d74e13cabc9cf5f3b6ae260fdcaf5d,8ddd63a6fc1317786000e18509e8728126d44b1cd9efc50d37d87a9cc1d6fd04,False
T77,T33,4,2,17301.437744140625,20507,0.02770307194441557,111,0,90e0ecf4a065af18d82bfe32d102a758e51438d2fea6f322dde8a69fa2fd99d5,54e1e9cda8a8dcec90edeca2f8ad9a37445d9c379bb23dfe637c3021842ef90b,ea99bc3e783f765a01307294eaa1f3c4ad529dbad90070175898a329fd98eca9,484a51c1be46068eb6f762b4a4191f3b123ee53d197a559b70a01ebea60a516a,False
T89,T27,4,3,16987.275756835938,20760,0.02768671792000532,424,0,709f6440ff2d333a28b7e43c4dc4b7839305288e90583c4a4481eb33e5d2ccd2,e50bb494c3bd5256815d096db023f6311a49155d515af1521fe68723baf29f07,287d857f9dbcbd135481399f49d59dc59b174503319ede13a34581d6c14e0116,fcd619bdda56cad0c9455e1008be01fcadbbe0b544b22e424621947d8bdbd5bc,False
T62,T26,4,4,16958.458251953125,20846,0.02769238082692027,465,0,97c249d25724c269c5224912a5c09001742affd80bf753aca3738c9308b87d8c,5bd765f661ed5fcc53011527274af909f48cd1a52ae0c7eb9362745f0c68bb17,3f56c0b810aecb4216f75ff659712cae4cc81f79200587676a52e1eb4de054aa,5006c5ef3575ca8a735db8bef69da9436923984ac6674f3c05a9a31cdf765ff9,False
T63,T26,4,5,16842.60205078125,20858,0.0276959422044456,518,0,ff67a1e13c54dbf711386d9bc85b48e5ec41551b0934e58de0889232b17d561a,47d5f86426e983a68267cbcf7e884f31fd08a59318a9c5ff825c52026837b0a1,2ef492e4fc3f94786ec9c7f24f01332c054f28b94e745dde2fe1be8146d68818,bc41fabd2082cac4cdc1fb16b82cda1f0274c0c6abd1d974b833772f390fe708,False
T90,T27,4,6,16833.589721679688,20849,0.02769613964483142,528,0,d313ad458989cc2f45c345d8152fe11e1e8ba66f2120f800724a571e5268db87,67b42dd907d045038f262e340f9738a9c99ab31bff7697aa5ec4181f4cf97d5e,93489008d93754db4cd9572b5f9bf218b9a5cc0a4f695a7f306ba9885e0a9d6f,d0024ec6e279ed2c364c10867e478508bb07b6b17ce78f2f00753add5c99fb16,False
T66,T25,4,7,17034.865356445312,20722,0.027696856297552586,328,0,f68f94a5e7f31142d2a33c17f41f31a90950c5a2763dcaed54e36f9b0847a810,c69837e97f97e953a9d6eadbd9023b5647429241eebde8817f7cae8467ede863,eca02263cab4d21a371f8491b7a0ab04ce85a1374d90f19e5162ff0165c1669f,7af9ab4fd9a844334ca26fe0c964db2ae480c51a54a37a951baf8c883ef47168,False
BASELINE_PATH,BASELINE_PATH,4,-1,17928.13916015625,20482,0.027718631085008383,0,0,220b4f3c87d564887bdd4e8f30b88c693d157ad1343fc8e8ab62fd559863d4e1,f4634bce6dcdca09efdbc4240e4e37aa1047d11e6ecab672c671740cb6a09ab6,7877e660c62f8cba08c99e285965d6bfc1f771194a998f1b76a6184c7b4ac1b7,98e20c1a363ce0e596a3e706162325e1198fd9c3c24cbb57a43deee810e6856c,True
T99,T61,5,0,20518.873046875,23439,0.03223527828231454,382,0,93e75451986a425b9997cc9857164c47d90e382030337a0b4554437eee82cb52,2c6c5e2b32354ec038e9080e5ab527f6708a7df3772a8b09bb0a38319355bfa8,30d9a5ec96e69619efdb0951500254fa965fcb2f29ce9db203e03a8c8aeaf949,ecec3158eff556e0dbc981f906b6e750a220ba765799d496fe0da12fd756a215,False
T98,T61,5,1,20583.690673828125,23434,0.03223550692200661,373,0,f837cdf3483afe0ebd62e8891290d843435b05123669f3ad4079ae6e1c0060b8,6994d2c463642678348c56a235fda10b1287052eda7bcec52c011ff85459d87a,6702e67627d550da5bbaa1a38f25d596962270d6e9cdee170964db9b198980b1,655ae061da37817e4a730c0d2536c2ac929054129abdd83cc83c65c092592ef4,False
T97,T61,5,2,20663.240966796875,23384,0.03223553020507097,361,0,0835396dff1f5d42574b3797a2a713725781c107ccb1d0510e22fca97fca7eb5,78430627f7c3e977fce18456e7e767cd679458a975a7aba2e75acdf77aaea165,0c3dcba7ae9226db4ab3e4a4f46db4c213d4059c97ea0654357b6387d1fb13cf,e36a9ac883c56e4877358f79f5a124f7e434819870398435dc9ab4f6e8f565fa,False
