mode,delta,fraction,frame,number_1x_blocks,number_2x_blocks,number_4x_blocks,actual_frame_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bytes,estimated_w1_bits,RGB_MSE,PSNR,decoded_w1_hash,DPB_state_hash
2,4.0,0.25,5,382,0,128,2581,441,1772,327,5,2589.32568359375,0.004705655388534069,23.273798808867475,44f1ff37e7601f932ae346b8cc027be756b7246cbcfdf717347b6e8f2b52bfca,838a353b157eb3c564f35d80530a82a96dd5866ca9c06370fe739c8481c7b287
2,4.0,0.25,6,382,0,128,2039,461,1262,275,5,2168.76708984375,0.004619221203029156,23.35431239971532,dc69c2b096d3ffe30d4e69a9069ee46f7ebb86810d3f53ddd773c5174c527384,6c0134a384a603b1c36ab8601f89e5e20e66ced35f9efa4bb2752a00ae00fc0c
2,4.0,0.25,7,382,0,128,2011,518,1205,247,5,1946.90771484375,0.004418782889842987,23.546973363104176,31eee2d1faab118962713adbbbcb679a1b8ad54fb73ad4a9e43b3ebd0ed1c93d,100e54bb75e449b2e2e35de8ee6bfd66a05290a1cba617c91e127c78483fdb89
2,4.0,0.5,1,255,0,255,6535,412,5358,724,5,5760.6005859375,0.005554466042667627,22.553576839542245,20c492db771016330ec1e4acd9023ec18850cab899f46f1f02502bdd6ab2e4a3,5f8440e899e61aa7e6fc5994a8293d0ef9da8d13a52effbb2f10095f4c3ed071
2,4.0,0.5,2,255,0,255,1594,201,1183,169,5,1320.6475830078125,0.0053454977460205555,22.720118492418173,373823a36264cc2743b81588a09101e656ad3ee957e57db2995e893724aeaab7,232ad661022e9be552f1dc6ed047f43465619e20f6dcb543feb224e609c27dcd
2,4.0,0.5,3,255,0,255,1335,474,709,111,5,856.05078125,0.005359421484172344,22.708820871339803,5388a0924bdddf2ba7fbb052d3867da0f470327f00837cda4d0e578e5e3fcb97,2da53944980a6eb80212e585c8a245a4f88efec99b883706cc62c661bc01abf1
2,4.0,0.5,4,255,0,255,2081,501,1353,186,5,1454.687255859375,0.005058658309280872,22.959646543343514,0b8bf66f331198452f397e7e0d412d9a6e4ecc667843943cefccdf15565d8602,96a664dce25f148888c697967ddd4e13020810fe9fe4bd139028a393175e9853
2,4.0,0.5,5,255,0,255,2557,444,1820,252,5,1988.2076416015625,0.004821951501071453,23.167771620471115,0185297822d9e9c0ce1288ea12fc4b341a78c9bcc2c36240a090aeff70414864,b8c06b2a4fb84371099532132b6b52cf620f2c53506fdbcaef11561e6631719b
2,4.0,0.5,6,255,0,255,1992,463,1314,174,5,1360.927490234375,0.004759596195071936,23.22429891332245,bc496b941a24b3539620b6f8e5e04267e888cd204d0242d7cdaee02a3494f867,d2065ff35cbfddc3fd2322b62afd74943ba83966635fbb626f20fea2d0846c81
2,4.0,0.5,7,255,0,255,2007,509,1274,183,5,1436.71826171875,0.004559341352432966,23.41097891472456,cc113b5203e7c019da18233742bdb037cb317ca694186063acf5c5cae0d152f0,092b87aa7594c6ff26a680d66c3a6bf38288083c08a4fd873e39e64680532d13
2,4.0,1.0,1,0,0,510,5813,412,5358,4,3,0.008455668576061726,0.005805617664009333,22.36151568552305,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,08ac70b736345796e53a006366e8a41d6e182bd29b637326dc1a097d359fc18c
2,4.0,1.0,2,0,0,510,1411,208,1160,4,3,1.3758613022218924e-06,0.005592185538262129,22.52418427944297,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,9854b07034ce052d8135603ce687160bf5dbda845c09a3d4005d30dea4245037
2,4.0,1.0,3,0,0,510,1227,482,702,4,3,6.071029929444194e-05,0.005594739690423012,22.522201153273784,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,ee08324f0c5d070a02c94e8a24a1d06a0e5d9dcde33d80a55ca6d813c6591c7c
2,4.0,1.0,4,0,0,510,1903,500,1360,4,3,0.0002022536937147379,0.005289846565574408,22.765569246927463,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,7713fd62133b7394b306ad5a9c27359848f474437211f1911d89d8e79de36d24
2,4.0,1.0,5,0,0,510,2371,458,1870,4,3,0.000956289004534483,0.005057023838162422,22.961049991540886,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,e8f5bb4b87d0fe6d21969ccc501d40f24bc180a29ac6b42cbdd96a288a35dc75
2,4.0,1.0,6,0,0,510,1898,462,1393,4,3,0.0004848421667702496,0.004961525090038776,23.04384808110214,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,fbf54bfcc85f3f76c858427bc044228e6d412487ada16260ca9a164f5882ea80
2,4.0,1.0,7,0,0,510,1878,505,1330,4,3,0.001619010348804295,0.0047721536830067635,23.21285578705158,f62e0f02a1fde7c69411b888b4054fa5bf465693a429cb9f283bd6a0ccdee290,2c102c8a5a6b8043525d1d1ed7189df9bdd956ba87d2c6eac2ad5b78429d2f9e
