sample,optimization_seconds
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0001,26.823263697326183
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,27.02869763970375
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,27.118383467197418
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0004,27.227130085229874
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0005,27.337923750281334
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0006,27.336442977190018
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0007,27.377855889499187
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0008,27.41674792766571
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0009,27.52171915769577
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0010,27.371979139745235
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0011,27.54415998607874
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0012,27.381306283175945
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0013,27.43092554807663
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0014,27.432459443807602
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0015,27.516801975667477
c227e33d-910e-4e39-a325-0fe1d1116436_f0001,27.586561135947704
c227e33d-910e-4e39-a325-0fe1d1116436_f0002,27.360263779759407
c227e33d-910e-4e39-a325-0fe1d1116436_f0003,27.59194355458021
c227e33d-910e-4e39-a325-0fe1d1116436_f0004,27.462447248399258
c227e33d-910e-4e39-a325-0fe1d1116436_f0005,27.424868300557137
c227e33d-910e-4e39-a325-0fe1d1116436_f0006,27.478203549981117
c227e33d-910e-4e39-a325-0fe1d1116436_f0007,27.461219392716885
c227e33d-910e-4e39-a325-0fe1d1116436_f0008,27.419662170112133
c227e33d-910e-4e39-a325-0fe1d1116436_f0009,27.38713901489973
c227e33d-910e-4e39-a325-0fe1d1116436_f0010,27.42549406737089
c227e33d-910e-4e39-a325-0fe1d1116436_f0011,27.459776356816292
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,27.472909830510616
c227e33d-910e-4e39-a325-0fe1d1116436_f0013,27.61461029946804
c227e33d-910e-4e39-a325-0fe1d1116436_f0014,27.584764286875725
c227e33d-910e-4e39-a325-0fe1d1116436_f0015,27.445962078869343
