from_frame,to_frame,FloLPIPS
0,1,0.1605258733034134
1,2,0.09998376667499542
2,3,0.11901907622814178
3,4,0.09445761144161224
4,5,0.1456531435251236
5,6,0.0986950471997261
6,7,0.08612914383411407
7,8,0.07750865072011948
8,9,0.08200009912252426
9,10,0.06925781816244125
10,11,0.13331536948680878
11,12,0.09723801910877228
12,13,0.08716091513633728
13,14,0.08168914169073105
14,15,0.0956685021519661
15,16,0.0921487808227539
16,17,0.1219281256198883
17,18,0.08982688933610916
18,19,0.10772503912448883
19,20,0.09852533787488937
20,21,0.11264229565858841
21,22,0.10149779915809631
22,23,0.14879824221134186
23,24,0.11630754172801971
24,25,0.11614072322845459
25,26,0.10295189917087555
26,27,0.12334033101797104
27,28,0.13226570188999176
28,29,0.12942452728748322
29,30,0.12602990865707397
30,31,0.14274953305721283
31,32,0.13687585294246674
32,33,0.18598122894763947
33,34,0.1233564242720604
34,35,0.14669516682624817
35,36,0.14450785517692566
36,37,0.1439765989780426
37,38,0.12012385576963425
38,39,0.13035714626312256
39,40,0.13348224759101868
40,41,0.14032742381095886
41,42,0.12455346435308456
42,43,0.12746497988700867
43,44,0.12771259248256683
44,45,0.12750938534736633
45,46,0.11542590707540512
46,47,0.13844379782676697
47,48,0.13071665167808533
48,49,0.12270600348711014
49,50,0.12061610817909241
50,51,0.122616708278656
51,52,0.1313784420490265
52,53,0.11997614800930023
53,54,0.1239418089389801
54,55,0.13413512706756592
55,56,0.1279345601797104
56,57,0.13272127509117126
57,58,0.11781494319438934
58,59,0.13419261574745178
59,60,0.12784931063652039
60,61,0.12321503460407257
61,62,0.10736986994743347
62,63,0.11183971166610718
