sample,video,frame,group,split,stage,initialization,step,lambda,quantized,code_domain,code_l2,code_rms,residual_l2,gradient_l2,R_est_bpp,estimated_symbol_bits,elapsed_seconds,symbol_nonzero_fraction,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected,nondominated_psnr_lpips
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,Aext_ENCODER_START,ENCODER_START,0,0.0,False,physical prequantizer u,596.9497746074267,9.345611235424387,32.616118974424054,3.0703233414045924e-06,0.0,0.0,0.44876137375831604,,0.012885123781661921,18.89911405018818,0.821854559205942,0.30892863869667053,0.013194052420358591,0.013194052420358591,0.5011885859664318,0.03170338472488099,-0.06376275420188904,0.0,0.0,0.0,0.025106131138961985,0.0012506163786593083,-0.0006172358989715576,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,Aext_ENCODER_START,ENCODER_START,25,0.0,False,physical prequantizer u,645.3336407376305,10.10309004210803,33.49267160117032,1.759505425392323e-06,0.0,0.0,6.7899080067873,,0.012640633486114142,18.98231160813934,0.8239249524363562,0.3104780316352844,0.012951111517749426,0.012951111517749426,0.584386143917591,0.03377377795529524,-0.062213361263275146,0.08319755795115924,0.002070393230414247,0.0015493929386138916,0.10830368909012122,0.0033210096090735552,0.000932157039642334,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,Aext_ENCODER_START,ENCODER_START,50,0.0,False,physical prequantizer u,695.3555237423697,10.886212997692706,34.50214489167768,1.1789354901506715e-06,0.0,0.0,13.121616870164871,,0.012529674746475473,19.02060202560863,0.8251336473470823,0.31137213110923767,0.01284104687758471,0.01284104687758471,0.6226765613868785,0.0349824728660213,-0.0613192617893219,0.12148797542044676,0.0032790881411403072,0.0024434924125671387,0.14659410655940874,0.0045297045197996155,0.001826256513595581,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,Aext_ENCODER_START,ENCODER_START,100,0.0,False,physical prequantizer u,780.6991574696957,12.222319410930842,36.15878009402593,7.121206809569276e-07,0.0,0.0,24.32757268846035,,0.012423865191127323,19.057432696963648,0.8266178205196885,0.3120782971382141,0.012735943488265537,0.012735943488265537,0.6595072327418983,0.03646664603862748,-0.06061309576034546,0.15831864677546648,0.004763261313746492,0.003149658441543579,0.18342477791442846,0.0060138776924058,0.0025324225425720215,False,True
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,Train2_rest24,Train2,Aext_ENCODER_START,ENCODER_START,150,0.0,False,physical prequantizer u,846.8819261757894,13.258450846306491,37.347349726391236,5.012441173151911e-07,0.0,0.0,35.5502427816391,,0.012370259308710677,19.076211964774433,0.8273955338194651,0.3128601908683777,0.012683119499579055,0.012683119499579055,0.6782865005526837,0.03724435933840409,-0.059831202030181885,0.1770979145862519,0.0055409746135230975,0.003931552171707153,0.2022040457252139,0.006791590992182406,0.0033143162727355957,True,True
