cohort,video,method,kind,delta,base_bits,actual_enhancement_bits,budget_fraction,budget_bits,actual_fraction,actual_minus_budget_bits,within_budget,IP_PSNR_gain_vs_ZERO_D,IP_LPIPS_gain_vs_ZERO_D
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l0,DIRECT,0.024315478280186653,92960,9614040,0.1,9296.0,103.42125645438898,9604744.0,False,1.554550211725127,-0.09951604530215263
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l0,DIRECT,0.024315478280186653,92960,9614040,0.25,23240.0,103.42125645438898,9590800.0,False,1.554550211725127,-0.09951604530215263
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l0,DIRECT,0.024315478280186653,92960,9614040,0.5,46480.0,103.42125645438898,9567560.0,False,1.554550211725127,-0.09951604530215263
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l0,DIRECT,0.024315478280186653,104784,8346376,0.1,10478.400000000001,79.65315315315316,8335897.6,False,3.217980583994332,-0.08201575139537454
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l0,DIRECT,0.024315478280186653,104784,8346376,0.25,26196.0,79.65315315315316,8320180.0,False,3.217980583994332,-0.08201575139537454
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l0,DIRECT,0.024315478280186653,104784,8346376,0.5,52392.0,79.65315315315316,8293984.0,False,3.217980583994332,-0.08201575139537454
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l1,DIRECT,0.048630956560373306,92960,7416208,0.1,9296.0,79.77848537005164,7406912.0,False,1.5427331786646692,-0.09883121773600578
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l1,DIRECT,0.048630956560373306,92960,7416208,0.25,23240.0,79.77848537005164,7392968.0,False,1.5427331786646692,-0.09883121773600578
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l1,DIRECT,0.048630956560373306,92960,7416208,0.5,46480.0,79.77848537005164,7369728.0,False,1.5427331786646692,-0.09883121773600578
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l1,DIRECT,0.048630956560373306,104784,6176384,0.1,10478.400000000001,58.94396091006261,6165905.6,False,3.195298665112581,-0.08164461702108383
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l1,DIRECT,0.048630956560373306,104784,6176384,0.25,26196.0,58.94396091006261,6150188.0,False,3.195298665112581,-0.08164461702108383
Train2_full,c227e33d-910e-4e39-a325-0fe1d1116436,train2_full_DIRECT_l1,DIRECT,0.048630956560373306,104784,6176384,0.5,52392.0,58.94396091006261,6123992.0,False,3.195298665112581,-0.08164461702108383
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l2,DIRECT,0.09726191312074661,92960,5236872,0.1,9296.0,56.334681583476765,5227576.0,False,1.5014209545352506,-0.09652172774076462
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l2,DIRECT,0.09726191312074661,92960,5236872,0.25,23240.0,56.334681583476765,5213632.0,False,1.5014209545352506,-0.09652172774076462
Train2_full,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,train2_full_DIRECT_l2,DIRECT,0.09726191312074661,92960,5236872,0.5,46480.0,56.334681583476765,5190392.0,False,1.5014209545352506,-0.09652172774076462
