method,kind,video,scope,frames,delta,target_P_frames,base_bits,enhancement_bits,duration_seconds,rate_scope,base_kbps,enhancement_kbps,total_kbps,total_bpp,actual_enhancement_fraction,zero_increment_exact_frames,diagnostic,psnr,ms_ssim,lpips,psnr_gain_vs_ZERO_D,ms_ssim_gain_vs_ZERO_D,lpips_gain_vs_ZERO_D,psnr_minus_ORIGINAL,ms_ssim_minus_ORIGINAL,lpips_minus_ORIGINAL,cohort
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.202871870534334,0.9090077083655785,0.12823915580908457,-1.3713503624400174,0.007249122445040028,-0.04732329547405243,0.004861290291297375,2.0216569150766085e-05,-4.9979488054911295e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,IP,16,,3,123928,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",232.13272219485378,0.0,232.13272219485378,0.0037352912808641977,0.0,0,False,28.129495067664095,0.9049025849302827,0.13239835482090712,-1.2440721024949732,0.008563879600612535,-0.046397835947573185,0.004557459648091289,1.8953033578843204e-05,-4.685577005147934e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,TARGET_P,6,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.29658507439653,0.8498731028973742,0.17348401496807733,-1.5302362967952732,0.010310613944034189,-0.10835318764050801,0.0030768720120194124,1.3124590796313266e-05,-2.9499332110087078e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,P,30,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.32278429287744,0.8517986444358709,0.17070520669221878,-1.6292712319028582,0.008528960933367207,-0.106366266310215,0.0018612575469020953,4.9187290047584636e-06,-2.400179704030355e-05,Train6_sparse
train2_ORIGINAL_FP32_q1,ORIGINAL_FP32,ALL,IP,32,,6,239424,0,1.0672,complete I/P sequence,224.34782608695653,0.0,224.34782608695653,0.0036082175925925926,0.0,,False,22.265428360812113,0.8471352009124353,0.17395733436569571,-1.495768630725535,0.009822568819452784,-0.10141842858865857,0.0017449289502207144,4.6113084419610595e-06,-2.2501684725284576e-05,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,TARGET_P,3,,3,145848,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",273.46517091573185,0.0,273.46517091573185,0.004395978009259259,0.0,0,False,16.801702061688953,0.8114111014354742,0.20029409726460776,-1.4697581306020961,0.030832676519003826,-0.18164409200350443,-0.0012164751170284187,-1.1667209347199226e-05,-4.827976226806641e-06,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,P,15,,3,145848,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",273.46517091573185,0.0,273.46517091573185,0.004395978009259259,0.0,0,False,16.793737350238175,0.8136104485261076,0.19890713989734649,-1.5361514663480742,0.0288296674416385,-0.17967335482438404,-0.0010334855154484994,-1.2435520000453337e-05,8.235375086466471e-07,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,IP,16,,3,145848,0,0.533333,"complete I/P sequence, even when quality scope is P or TARGET_P",273.46517091573185,0.0,273.46517091573185,0.004395978009259259,0.0,0,False,16.757707282245,0.8092317252071531,0.20069872587919235,-1.3911195306712252,0.030945166350858234,-0.17125660926103592,-0.0009688926707329681,-1.1658300000425004e-05,7.720664143562317e-07,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,TARGET_P,3,,3,151192,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",283.20162137760906,0.0,283.20162137760906,0.004557050540123456,0.0,0,False,28.694377242528645,0.9210250929861523,0.11871018757422765,-0.6878053075639071,0.02247853999594296,-0.06302602837483089,0.004702366335171367,1.8631882442739684e-05,-1.3026098410288492e-05,Train6_sparse
train2_ORIGINAL_FP32_q2,ORIGINAL_FP32,c227e33d-910e-4e39-a325-0fe1d1116436,P,15,,3,151192,0,0.533867,"complete I/P sequence, even when quality scope is P or TARGET_P",283.20162137760906,0.0,283.20162137760906,0.004557050540123456,0.0,0,False,28.81702104240732,0.9229977998373802,0.1152186781167984,-0.757201190567025,0.021239213916841634,-0.060343773166338606,0.0047751476953934,1.4301894747870136e-05,-2.667109171549479e-05,Train6_sparse
