video,frame,optimization_seconds,updates,eligible,peak_allocated_bytes
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,42.84139095246792,150,True,9455304704
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,43.005312502384186,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,43.08776468783617,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,42.98672793060541,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,42.77803549915552,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,43.170474492013454,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,42.826077029109,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,10,42.954258888959885,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,11,42.84506577253342,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,12,42.74075520038605,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,13,42.95090966671705,150,True,9461110784
fb63c34e-0c28-4a4d-b8f8-59932b5e7875,14,42.89790400862694,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,2,42.88984280824661,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,3,42.945574559271336,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,4,42.866641633212566,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,5,42.82162160426378,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,6,42.90654902160168,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,7,43.00789063423872,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,9,43.06952467560768,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,10,42.85842549800873,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,11,42.85432457178831,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,12,42.89211142063141,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,13,42.80051290988922,150,True,9461110784
c227e33d-910e-4e39-a325-0fe1d1116436,14,42.8632310628891,150,True,9461110784
