cohort,method,video,residual_analysis_seconds,actual_entropy_encode_seconds,note,receiver_entropy_decode_seconds,receiver_base_decode_seconds,receiver_synthesis_seconds,receiver_peak_allocated_bytes,optimization_time_excluded_from_this_table
Train2_full,train2_full_DIRECT_l4,c227e33d-910e-4e39-a325-0fe1d1116436,0.02358735352754593,1.0902507826685905,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,2.009504348039627,3.5854807645082474,1.6801764890551567,1158509056,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train2_full,train2_full_DIRECT_l4,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.03186436742544174,1.310354195535183,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,2.340438447892666,3.279722221195698,1.6469162702560425,1158509056,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train2_full,train2_full_DIRECT_l5,c227e33d-910e-4e39-a325-0fe1d1116436,0.024534404277801514,0.07127296924591064,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.14818044751882553,3.3003543838858604,2.7441859617829323,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train2_full,train2_full_DIRECT_l5,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.025906838476657867,0.44676727056503296,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.8521036058664322,3.3339983001351357,2.292147681117058,1183576576,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_adaptation_sparse,train6_Badapt_l0,c227e33d-910e-4e39-a325-0fe1d1116436,0.020791418850421906,0.04279056936502457,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.05552080273628235,3.113122060894966,2.587452344596386,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_adaptation_sparse,train6_Badapt_l0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.0210983008146286,0.057137757539749146,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.06629336625337601,3.293165646493435,2.6126763373613358,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_adaptation_sparse,train6_Badapt_l1,c227e33d-910e-4e39-a325-0fe1d1116436,0.023839078843593597,0.03697344660758972,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.04707668721675873,3.1448985785245895,2.567976415157318,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_adaptation_sparse,train6_Badapt_l1,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.024122953414916992,0.05216529965400696,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.0687626525759697,3.1071476116776466,2.58740621060133,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_adaptation_sparse,train6_Badapt_l2,c227e33d-910e-4e39-a325-0fe1d1116436,0.023718684911727905,0.031625896692276,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.0392766073346138,3.335293859243393,2.580188564956188,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_adaptation_sparse,train6_Badapt_l2,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.02383926510810852,0.04792991280555725,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.05945960432291031,3.065599486231804,2.560221180319786,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_adaptation_sparse,train6_Badapt_l3,c227e33d-910e-4e39-a325-0fe1d1116436,0.025202684104442596,0.022894226014614105,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.030030973255634308,3.079658307135105,2.5705653205513954,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_adaptation_sparse,train6_Badapt_l3,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.025298260152339935,0.034314729273319244,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.04138720780611038,3.1798308342695236,2.5469844192266464,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_CODED_l0,c227e33d-910e-4e39-a325-0fe1d1116436,0.023977793753147125,0.030311986804008484,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.04078406095504761,3.028108634054661,2.5588347241282463,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
Train6_sparse,train6_CODED_l0,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0.024343445897102356,0.04309748113155365,base latent and r_star caches used; optimization time is recorded separately and must be added for uncached encoding,0.048780232667922974,3.071123167872429,2.5634183511137962,1184158208,separately recorded in sender_optimization_timing and historic teacher checks; must not claim realtime from these timings
