sample,optimization_seconds
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0002,26.702895388007164
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0003,26.53117999434471
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0004,26.57309451699257
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0005,26.8635101467371
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0006,26.72162038087845
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0007,26.94712746143341
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0009,26.92392088472843
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0010,26.88191206008196
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0011,26.998561196029186
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0012,27.203122355043888
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0013,26.904199495911598
fb63c34e-0c28-4a4d-b8f8-59932b5e7875_f0014,27.101489648222923
c227e33d-910e-4e39-a325-0fe1d1116436_f0002,27.237587496638298
c227e33d-910e-4e39-a325-0fe1d1116436_f0003,27.094536900520325
c227e33d-910e-4e39-a325-0fe1d1116436_f0004,27.533451452851295
c227e33d-910e-4e39-a325-0fe1d1116436_f0005,27.085650883615017
c227e33d-910e-4e39-a325-0fe1d1116436_f0006,27.084638938307762
c227e33d-910e-4e39-a325-0fe1d1116436_f0007,27.095180422067642
c227e33d-910e-4e39-a325-0fe1d1116436_f0009,27.21394558995962
c227e33d-910e-4e39-a325-0fe1d1116436_f0010,27.10950167477131
c227e33d-910e-4e39-a325-0fe1d1116436_f0011,27.10780956596136
c227e33d-910e-4e39-a325-0fe1d1116436_f0012,27.11661432683468
c227e33d-910e-4e39-a325-0fe1d1116436_f0013,27.151508830487728
c227e33d-910e-4e39-a325-0fe1d1116436_f0014,27.204060323536396
