candidate,lambda,sample,video,frame,step,nonzero_symbols,elapsed_seconds,diagnostic_container_bytes,packet_bytes,frame_share_bytes,integer_roundtrip_exact,mse,psnr,ms_ssim,lpips,d,selection_objective,selected
O1,0.09432483426435467,2996c286-14c5-4157-95ba-f2a73fae0187_f0008,2996c286-14c5-4157-95ba-f2a73fae0187,8,0,0,0.4102454409003258,102,1,6.8,True,0.015367583336440506,18.133944230772453,0.4799368786686646,0.5790086984634399,0.015946592034903947,0.015949066606173228,False
O1,0.09432483426435467,2996c286-14c5-4157-95ba-f2a73fae0187_f0008,2996c286-14c5-4157-95ba-f2a73fae0187,8,25,0,0.8470636829733849,102,1,6.8,True,0.015367583336440506,18.133944230772453,0.4799368786686646,0.5790086984634399,0.015946592034903947,0.015949066606173228,False
O1,0.09432483426435467,2996c286-14c5-4157-95ba-f2a73fae0187_f0008,2996c286-14c5-4157-95ba-f2a73fae0187,8,50,801,4.532361850142479,627,526,531.8,True,0.01479018078515923,18.300265174488676,0.47871983968861015,0.5847346186637878,0.015374915403823018,0.015568441433382369,False
O1,0.09432483426435467,2996c286-14c5-4157-95ba-f2a73fae0187_f0008,2996c286-14c5-4157-95ba-f2a73fae0187,8,100,843,14.62973253428936,638,537,542.8,True,0.014432967885989328,18.406443547016938,0.4766368734698976,0.6009714603424072,0.015033939346331735,0.015231468358826689,False
O1,0.09432483426435467,2996c286-14c5-4157-95ba-f2a73fae0187_f0008,2996c286-14c5-4157-95ba-f2a73fae0187,8,150,786,24.732703417539597,621,520,525.8,True,0.01441277162088228,18.412524949729583,0.47616875944095355,0.613199770450592,0.015025971391332871,0.015217313975654621,True
