tag,sample,video,frame,group,split,lambda,step,estimated_symbol_bits,symbol_nonzero_count,symbol_nonzero_fraction,elapsed_seconds,old_diagnostic_container_bits,new_diagnostic_container_bits,old_actual_frame_packet_bits,new_actual_frame_packet_bits,old_actual_frame_share_bits,new_actual_frame_share_bits,old_R_actual_bpp,new_R_actual_bpp,new_mode,integer_roundtrip_exact,mse,psnr,ms_ssim,lpips,L_image,selection_objective,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_CONTINUOUS,ms_ssim_minus_ENCODER_CONTINUOUS,lpips_minus_ENCODER_CONTINUOUS,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,selected
midpoint_lambda2,c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,0.04716241713217734,0,2083.30674469471,0,0.0,0.3761332407593727,816,816,8,8,54.4,54.4,2.6234567901234566e-05,2.6234567901234566e-05,ZERO,True,0.0011115127748623948,29.540855414936793,0.9011635556575097,0.17763149738311768,0.0012891442722455125,0.0012903815578801528,0.0,0.0,0.0,-0.6536321618281491,-0.011465623805678171,0.04305736720561981,-0.5827400942610694,-0.010461089648913346,0.04164329171180725,False
midpoint_lambda2,c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,0.04716241713217734,25,2083.30674469471,0,0.0,0.8084501251578331,816,816,8,8,54.4,54.4,2.6234567901234566e-05,2.6234567901234566e-05,ZERO,True,0.0011115127748623948,29.540855414936793,0.9011635556575097,0.17763149738311768,0.0012891442722455125,0.0012903815578801528,0.0,0.0,0.0,-0.6536321618281491,-0.011465623805678171,0.04305736720561981,-0.5827400942610694,-0.010461089648913346,0.04164329171180725,False
midpoint_lambda2,c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,0.04716241713217734,50,6513.100218772888,1903,0.46642157435417175,4.484643831849098,7432,7432,6624,6624,6670.4,6670.4,0.0032168209876543208,0.0032168209876543208,DENSE,True,0.0011505723875747552,29.390860527577736,0.9067737927389207,0.14902937412261963,0.0012996017616973747,0.0014513148149566705,-0.14999488735905686,0.0056102370814109515,-0.028602123260498047,-0.803627049187206,-0.00585538672426722,0.014455243945121765,-0.7327349816201263,-0.004850852567502395,0.013041168451309204,False
midpoint_lambda2,c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,0.04716241713217734,100,4058.6232483386993,935,0.2291666716337204,14.509545005857944,4976,4976,4168,4168,4214.4,4214.4,0.0020324074074074073,0.0020324074074074073,DENSE,True,0.0009887883657443133,30.048966522095185,0.9094926753399997,0.14454957842826843,0.0011333379441725818,0.001229191190103257,0.5081111071583919,0.00832911968248995,-0.03308191895484924,-0.14552105466975718,-0.003136504123188222,0.009975448250770569,-0.07462898710267751,-0.002131969966423397,0.008561372756958008,False
midpoint_lambda2,c227e33d-910e-4e39-a325-0fe1d1116436_f0012,c227e33d-910e-4e39-a325-0fe1d1116436,12,Train2_rest24,Train2,0.04716241713217734,150,4005.7793587446213,898,0.22009803354740143,24.532555922865868,4920,4920,4112,4112,4158.4,4158.4,0.002005401234567901,0.002005401234567901,DENSE,True,0.0009689562237546299,30.13695843394292,0.9101662030814802,0.14416316151618958,0.0011131193852708195,0.0012076989548128942,0.5961030190061258,0.0090026474239705,-0.0334683358669281,-0.05752914282202326,-0.002462976381707671,0.009589031338691711,0.013362924745056404,-0.0014584422249428464,0.00817495584487915,True
