dataset,video,qp,granularity,frame,trajectory_id,cumulative_actual_bytes,baseline_prefix_bytes,rate_ratio,cumulative_pixel_SSE,aggregate_MSE,beam_rank,bitstream_hash,DPB_hash
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T28,12129,12157,0.9976968001974171,136566.52160090292,0.007317736282627258,3,27497679ad785f785c24eb31e1078fa087fc6f72fdfe630b9bb7102576985fc2,d6aa197b64052d37dd26402549386aaced9e0e8b37f4736142260ce2ac7d284b
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T33,12227,12157,1.0057579995064572,136141.73197365948,0.007294974492758674,4,33e6087e9880541bb150160e8765ba9b7100dad1a6ef03890fe065ff29aeb53b,c532c5efc79444f47a70148b17c43d2b6d96d4f0bec98b236ec2f33991a19101
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T36,12223,12157,1.0054289709632311,136141.87410260353,0.007294982108550001,5,b32bd67ab0f8942b312a5daebce776869d1e14634617bac8b6c224f8bac4f7cb,cb6313d6410c0bdba8aa796322a171917d29bdee39a3eaea86023c29b7187c01
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T34,12192,12157,1.0028789997532286,136144.58172303834,0.007295127192806838,6,3c8c4c85ee1154309ef9096f9293545f1750ca50228d92f3047d6267da310d13,ecd6d5fe2eaf75804bfbe3b1d57c6f076484bf23e6c48698b541a39c7018188c
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T14,12173,12157,1.0013161141729046,136163.550872983,0.007296143629596569,7,c83ac02104a20e8641deab73d626c0c74057cf57e0e25c68d374db40a4290f28,fb2f83af2c8a94b35d9f7f81996a4317f61e87a73164d25f07f49d40ef2c964a
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T25,12161,12157,1.000329028543226,136433.18285842641,0.007310591502616299,8,66e4ca3930e4bdf290cf9b5562069d4eeb7bc20362954cd139673b1b9e70a0fd,4426e3a26e6fd9235b42515d5adbebea48d73e24ac2e3361e9f251ebb2747bcd
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T43,12099,12157,0.9952290861232211,137392.73053402745,0.007362007594630243,9,094cc00ee72c0db58de60868992f58d0ae861749fc915d7be41541253ee5b409,6ab1e2de9d7bc0442ae9a4d8205b0b7cfbf51715b0e324898488c3c079f5a9fe
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T46,12099,12157,0.9952290861232211,137392.73053402745,0.007362007594630243,10,c52f0538846c2c21839aad3f1b6c3d88c47b82074af14783aa8e5c4d414f66ea,6ab1e2de9d7bc0442ae9a4d8205b0b7cfbf51715b0e324898488c3c079f5a9fe
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T19,12061,12157,0.992103314962573,137547.10929424738,0.007370279776140656,11,3170df766ebfbaabd67b2cbab5c0159f17b5fb5ac1c3d705442b5b71c5f278f9,e9173ebc7a7f4737381ff7740bc291698ff57a712becdaa858246b38e1ab87ee
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,1,G16,2,fresh_ulong_00_qp1_G16_T22,11996,12157,0.9867566011351485,138061.42863228347,0.007397838897048797,12,1d37df21cb6592c329bf53e51d2aa429eaee5b29255378258d94c7e9e761f7fb,0e45671004914873e77d04430ade8d9f287581a8b253c300778e56451c39d4ee
