dataset,video,video_id,qp,granularity,frame,candidate_name,number_tiles,FULL_tiles,PRED_ONLY_tiles,CORR2_tiles,CORR4_tiles,actual_frame_bytes,pixel_SSE,MSE,mean_frame_PSNR,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,6,FULL_000,40,40,0,0,0,1166,35136.8987265764,0.005648292601108551,22.480828120118964,0.18450647592544556,0.059800028800964355
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,6,MIX_L0,40,33,0,7,0,1211,35126.12388774632,0.0056465608067810535,22.482160101838474,0.18448936939239502,0.059773921966552734
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,6,MIX_L0.01,40,39,1,0,0,1207,35129.482965366275,0.0056471009738743305,22.481744810037267,0.184457466006279,0.05979573726654053
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,7,FULL_000,40,40,0,0,0,953,34024.98870251594,0.0054695517756044865,22.62048249235695,0.18883861601352692,0.0615006685256958
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,7,MIX_L0,40,15,0,25,0,939,34061.45556578861,0.005475414451211691,22.61583035956422,0.1893197000026703,0.06161797046661377
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,7,MIX_L0.01,40,26,14,0,0,947,34071.775817282745,0.005477072671055794,22.61451469370806,0.189316064119339,0.06165480613708496
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,7,MIX_L0.03,40,34,6,0,0,982,34026.355120221866,0.005469771567732096,22.620308086493253,0.18896308541297913,0.06162381172180176
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,8,FULL_000,40,40,0,0,0,490,35366.12639194059,0.0056851408444345,22.45258744227762,0.20224282145500183,0.06589102745056152
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,8,MIX_L0,40,14,0,26,0,529,35358.82383455585,0.0056839678436517715,22.45348428571889,0.2023201733827591,0.06588155031204224
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,8,MIX_L0.01,40,34,6,0,0,529,35354.46607870735,0.005683267023414373,22.45401955973123,0.2022933065891266,0.06590384244918823
