dataset,video,video_id,qp,granularity,trajectory_id,frame,actual_qp,actual_bytes,pixel_SSE,aggregate_pixels,MSE,PSNR,MS_SSIM,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,0,1,5099,60937.54036121424,6220800,0.009795771911740303,20.089613356977736,0.9629908800125122,0.22526639699935913,0.06786137819290161
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,1,3,5796,38209.10656682085,6220800,0.006142152938991785,22.116793738692998,0.974795401096344,0.17551560699939728,0.0611228346824646
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,2,1,1256,37012.81082375761,6220800,0.005949847865849733,22.254941387868556,0.9745972156524658,0.16906464099884033,0.057341575622558594
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,3,2,932,37482.24082532397,6220800,0.006025309208780527,22.200206609155224,0.9730909466743469,0.17123544216156006,0.057445228099823
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,4,1,1422,36193.443354141724,6220800,0.00581813370808959,22.352163023364255,0.9714444279670715,0.17919132113456726,0.057444870471954346
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,5,2,1405,34825.76403213109,6220800,0.005598277784883976,22.519455557717592,0.970104992389679,0.18050014972686768,0.05904090404510498
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,6,1,1166,35136.8987265764,6220800,0.005648292601108551,22.480828134160046,0.9669815897941589,0.18450647592544556,0.059800028800964355
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,7,2,953,34024.98870251594,6220800,0.0054695517756044865,22.620482622145698,0.9651564359664917,0.18883861601352692,0.0615006685256958
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,8,1,490,35366.12639194059,6220800,0.0056851408444345,22.452587715737813,0.9606779217720032,0.20224282145500183,0.06589102745056152
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,9,3,1155,34619.735257884226,6220800,0.0055651580914855,22.54522493991523,0.9578330516815186,0.20724405348300934,0.0664823055267334
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,10,1,617,34808.67839895087,6220800,0.005595530848950148,22.521587055907666,0.9536473751068115,0.21615630388259888,0.07201218605041504
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,11,2,387,36023.6161296138,6220800,0.005790832918137312,22.372589655065845,0.9482494592666626,0.22306475043296814,0.0727837085723877
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,12,1,995,34816.342233477655,6220800,0.005596762988716364,22.520630841727936,0.9461625218391418,0.23224490880966187,0.0769658088684082
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,13,2,625,35753.59228788987,6220800,0.005747426766902208,22.405265537573158,0.9409447312355042,0.24308739602565765,0.07769840955734253
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,14,1,1178,32533.82471275785,6220800,0.005229845643043518,22.815111289842957,0.9427881240844727,0.24291962385177612,0.08030688762664795
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,15,2,843,31425.76561610277,6220800,0.0050517236813902855,22.96560412457435,0.9422848224639893,0.24275556206703186,0.08065676689147949
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,16,1,1164,28643.73382137883,6220800,0.004604509565979242,23.36816620436005,0.9464746117591858,0.2469002902507782,0.083920419216156
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,17,3,2005,24280.134161529,6220800,0.003903056262061,24.085951883737543,0.9543988108634949,0.22810466587543488,0.07780414819717407
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,18,1,911,22848.593871811856,6220800,0.0036729348357766867,24.349867767224033,0.9577269554138184,0.22655797004699707,0.08060896396636963
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,19,2,560,23635.599087794137,6220800,0.0037994468584656715,24.202796254363122,0.9573813080787659,0.23097504675388336,0.0838736891746521
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,20,1,1379,22655.702590724555,6220800,0.0036419271491467953,24.386687458118253,0.9615498781204224,0.2357644885778427,0.09052681922912598
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,21,2,936,22996.104085017505,6220800,0.0036966472398489714,24.32191990892025,0.9632863402366638,0.2337585985660553,0.08811134099960327
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,22,1,1258,20491.546855954803,6220800,0.003294037189334631,24.822715019994025,0.969709038734436,0.2220236361026764,0.09196662902832031
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,fresh_ulong_00_qp1_G8_T3202,23,2,951,20467.123789688587,6220800,0.003290111431851983,24.827893928041625,0.9719960689544678,0.21520984172821045,0.09420126676559448
