dataset,video,video_id,qp,granularity,selection_label,candidate_actual_bytes,candidate_sequence_PSNR,candidate_mean_frame_PSNR,candidate_LPIPS,candidate_DISTS,valid_bracket,baseline_mean_frame_PSNR,baseline_LPIPS,baseline_DISTS,baseline_sequence_PSNR,delta_sequence_PSNR,delta_mean_frame_PSNR,delta_LPIPS,delta_DISTS,bracket_low_QP,bracket_high_QP
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G8,BEST_SSE_UNDER_BASELINE_RATE,57653,24.279721656450665,24.52116441850623,0.15588989714160562,0.09348528552800417,True,24.52116441850623,0.15588989714160562,0.09348528552800417,,,0.0,0.0,0.0,0,1
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,G16,BEST_SSE_UNDER_BASELINE_RATE,57653,24.279721656450665,24.52116441850623,0.15588989714160562,0.09348528552800417,True,24.52116441850623,0.15588989714160562,0.09348528552800417,,,0.0,0.0,0.0,0,1
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G8,BEST_SSE_UNDER_BASELINE_RATE,96549,25.653316677378335,25.9471324105213,0.1200498960679397,0.07413897477090359,True,25.9471324105213,0.1200498960679397,0.07413897477090359,,,0.0,0.0,0.0,2,3
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,BEST_RATE_WITH_NONWORSE_SSE,96513,25.65781181572889,25.95285518235799,0.11993509228341281,0.0739981196820736,True,25.94612535821415,0.12007419650013602,0.07415331939847396,,,0.00672982414383938,-0.00013910421672320983,-0.00015519971640036434,2,3
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,G16,BEST_SSE_UNDER_BASELINE_RATE,96513,25.65781181572889,25.95285518235799,0.11993509228341281,0.0739981196820736,True,25.94612535821415,0.12007419650013602,0.07415331939847396,,,0.00672982414383938,-0.00013910421672320983,-0.00015519971640036434,2,3
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,BEST_RATE_WITH_NONWORSE_SSE,52025,29.141598223974153,29.154677962961134,0.13165507931262255,0.07711378950625658,True,29.139475254792817,0.13208888738584443,0.0770911312499497,,,0.015202708168317258,-0.00043380807322188075,2.2658256306887226e-05,0,1
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G8,BEST_SSE_UNDER_BASELINE_RATE,52065,29.141742388009106,29.15482157524888,0.13165393378585577,0.07711428962647915,True,29.14197363760234,0.13201537264991575,0.07703883598845165,,,0.012847937646540686,-0.00036143886405998193,7.545363802749505e-05,0,1
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,BEST_RATE_WITH_NONWORSE_SSE,52008,29.131594706591976,29.14452895072074,0.13201074663084,0.07712197955697775,True,29.138413442098766,0.13212013114861412,0.07711335673608635,,,0.006115508621974186,-0.00010938451777411928,8.622820891396321e-06,0,1
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,G16,BEST_SSE_UNDER_BASELINE_RATE,52064,29.131854893302076,29.144780105467145,0.13200304529163986,0.07717668544501066,True,29.141911178032103,0.13201721051831397,0.0770401433699891,,,0.002868927435041968,-1.4165226674106579e-05,0.0001365420750215618,0,1
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G8,BEST_SSE_UNDER_BASELINE_RATE,78986,30.140054320726218,30.15030891001539,0.10498300509061664,0.06271296553313732,True,30.15030891001539,0.10498300509061664,0.06271296553313732,,,0.0,0.0,0.0,2,3
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,BEST_RATE_WITH_NONWORSE_SSE,78772,30.15732945756984,30.16687898922759,0.10476022004149854,0.06292755901813507,True,30.142393865222846,0.10516550007634294,0.06283387060103125,,,0.024485124004744563,-0.0004052800348443991,9.368841710381826e-05,2,3
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,G16,BEST_SSE_UNDER_BASELINE_RATE,78969,30.164029341121857,30.173697185811278,0.10468014667276293,0.062076037749648094,True,30.149680144774862,0.1049975023558379,0.0627225701413345,,,0.024017041036415776,-0.000317355683074963,-0.0006465323916864107,2,3
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G8,BEST_SSE_UNDER_BASELINE_RATE,35312,28.45586955384729,28.47158724994585,0.07612672576215118,0.07411882560700178,True,28.47158724994585,0.07612672576215118,0.07411882560700178,,,0.0,0.0,0.0,0,1
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,G16,BEST_SSE_UNDER_BASELINE_RATE,35312,28.45586955384729,28.47158724994585,0.07612672576215118,0.07411882560700178,True,28.47158724994585,0.07612672576215118,0.07411882560700178,,,0.0,0.0,0.0,0,1
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G8,BEST_SSE_UNDER_BASELINE_RATE,60467,29.10113404778386,29.1175276946312,0.06236264604376629,0.061576093547046185,True,29.1175276946312,0.06236264604376629,0.061576093547046185,,,0.0,0.0,0.0,2,3
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,BEST_RATE_WITH_NONWORSE_SSE,60180,29.1201320420163,29.136634359877277,0.06228812545305118,0.06110052764415741,True,29.110660577704294,0.06250349005076976,0.06167657429774515,,,0.02597378217298285,-0.00021536459771857863,-0.0005760466535877432,2,3
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,G16,BEST_SSE_UNDER_BASELINE_RATE,60449,29.136611837290683,29.153812477010028,0.062302868405822664,0.061558003537356853,True,29.117097004370976,0.062371479465808316,0.06158239547566145,,,0.03671547263905239,-6.861105998565153e-05,-2.4391938304599292e-05,2,3
uvg,Beauty,0,1,G8,BEST_SSE_UNDER_BASELINE_RATE,22057,27.715850848007353,27.739446239050412,0.1534828911535442,0.14173196256160736,True,27.739446239050412,0.1534828911535442,0.14173196256160736,,,0.0,0.0,0.0,0,1
uvg,Beauty,0,1,G16,BEST_SSE_UNDER_BASELINE_RATE,22057,27.715850848007353,27.739446239050412,0.1534828911535442,0.14173196256160736,True,27.739446239050412,0.1534828911535442,0.14173196256160736,,,0.0,0.0,0.0,0,1
uvg,Beauty,0,3,G8,BEST_RATE_WITH_NONWORSE_SSE,41259,28.09073380149574,28.099585280241687,0.12967515888158232,0.1319764731451869,True,28.085294571225834,0.1295775387921137,0.1316787493871258,,,0.014290709015853054,9.762008946861966e-05,0.0002977237580611136,2,3
uvg,Beauty,0,3,G8,BEST_SSE_UNDER_BASELINE_RATE,41298,28.091641974936824,28.100512815166518,0.1296742440899834,0.13198973797261715,True,28.086483646901556,0.12953699160864804,0.1316571019072245,,,0.014029168264961811,0.00013725248133536483,0.0003326360653926608,2,3
uvg,Beauty,0,3,G16,BEST_RATE_WITH_NONWORSE_SSE,41215,28.08599347868411,28.094887873994672,0.13013747555669397,0.1319909831508994,True,28.083953049950654,0.1296232843324339,0.1317031721849632,,,0.010934824044017688,0.0005141912242600799,0.00028781096593621935,2,3
uvg,Beauty,0,3,G16,BEST_SSE_UNDER_BASELINE_RATE,41287,28.08897187612164,28.09801809183495,0.13017492892686278,0.13202115520834923,True,28.086148266582764,0.1295484279937281,0.13166320760668382,,,0.01186982525218383,0.0006265009331346827,0.0003579476016654093,2,3
uvg,Bosphorus,1,1,G8,BEST_SSE_UNDER_BASELINE_RATE,30994,30.87122175758705,30.87728239422079,0.15879749436862767,0.13753508869558573,True,30.87728239422079,0.15879749436862767,0.13753508869558573,,,0.0,0.0,0.0,0,1
uvg,Bosphorus,1,1,G16,BEST_SSE_UNDER_BASELINE_RATE,30994,30.87122175758705,30.87728239422079,0.15879749436862767,0.13753508869558573,True,30.87728239422079,0.15879749436862767,0.13753508869558573,,,0.0,0.0,0.0,0,1
uvg,Bosphorus,1,3,G8,BEST_SSE_UNDER_BASELINE_RATE,51949,31.466804190089483,31.472206806681417,0.12848799442872405,0.1171071631833911,True,31.472206806681417,0.12848799442872405,0.1171071631833911,,,0.0,0.0,0.0,2,3
uvg,Bosphorus,1,3,G16,BEST_RATE_WITH_NONWORSE_SSE,51889,31.466829305486836,31.47234215292178,0.12848247110377997,0.11760899238288403,True,31.4704201882431,0.12856016318306235,0.1171585989418033,,,0.0019219646786794442,-7.769207928237654e-05,0.0004503934410807209,2,3
