candidate,lambda,video,frame,type,nonzero_enhancement_frame,old_packet_bits,new_packet_bits,new_mode,mse,psnr,ms_ssim,lpips,L_image,psnr_minus_ZERO,ms_ssim_minus_ZERO,lpips_minus_ZERO,psnr_minus_ENCODER_QUANTIZED,ms_ssim_minus_ENCODER_QUANTIZED,lpips_minus_ENCODER_QUANTIZED,psnr_minus_ORIGINAL_QP0,ms_ssim_minus_ORIGINAL_QP0,lpips_minus_ORIGINAL_QP0
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,0,I,False,8,8,I,0.028622682989285473,15.432896594361738,0.6808732237864273,0.2725779414176941,0.028895260930703166,,,,,,,,,
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,1,P,True,6016,6016,DENSE,0.013607896337240993,18.662090077681867,0.8001839755573105,0.3523094356060028,0.013960205772846996,0.2813159928373494,0.01583872024751931,-0.025432735681533813,-0.2421892888549273,-0.01770327773592495,0.04011151194572449,2.3871019694343403,0.023948428595343407,0.12155009806156158
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,2,P,True,5192,5192,DENSE,0.013670651907133319,18.64210774904007,0.8008124161281347,0.36637863516807556,0.014037030542301394,0.2441822848183186,0.010661241647073716,-0.006312757730484009,-0.2319001700091512,-0.019791526699147965,0.05683276057243347,2.4686175975213978,0.021275501823752818,0.1399351954460144
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,3,P,True,5312,5312,DENSE,0.013505758136856744,18.694810319569456,0.804266737377897,0.3595081567764282,0.013865266293633173,0.25963463817551613,0.01169711854919997,-0.01377376914024353,-0.22190432637706436,-0.01793866149633616,0.04884135723114014,2.4897786957265993,0.023411268710504807,0.13637757301330566
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,4,P,True,5600,5600,DENSE,0.013913945894257328,18.565496897717544,0.8018399435839577,0.3714199364185333,0.014285365830675861,0.2594996577563542,0.011658058927088044,-0.011064499616622925,-0.23398980372813938,-0.018555033060316806,0.05249568819999695,2.4525418266133805,0.023812636736144976,0.14743241667747498
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,5,P,True,5104,5104,DENSE,0.01352721585189578,18.687915799420292,0.8027218427489199,0.3580324649810791,0.01388524831687686,0.24510285259395914,0.010704233931122742,-0.014324158430099487,-0.2759692143438528,-0.019763789353858252,0.04871106147766113,2.490332016237776,0.02402420747433709,0.1356193721294403
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,6,P,True,5168,5168,DENSE,0.013711482011513013,18.629156017650107,0.8011792552172089,0.36465397477149963,0.014076135986284512,0.25505181752162187,0.010362784473740616,-0.010957539081573486,-0.2967315813945177,-0.021187030071202706,0.05218222737312317,2.480317316661253,0.024549157172290004,0.1409231275320053
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,7,P,True,4968,4968,DENSE,0.013379783904123983,18.735509007688226,0.8007520137493191,0.35968631505966187,0.013739470219183645,0.25601537805160746,0.010242305452669243,-0.01148560643196106,-0.32960794047065534,-0.021980150277180144,0.0513264536857605,2.5381019649958887,0.02548309948932903,0.13572439551353455
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,8,P,True,5040,5040,DENSE,0.01410804798026674,18.5053307200358,0.7962937818387132,0.3789289593696594,0.014486976939636399,0.24707540540763517,0.009838423133625818,-0.006831914186477661,-0.3434636758688292,-0.02375532964091731,0.05593055486679077,2.46143954343588,0.02501607790621463,0.15143829584121704
adaptive_lambda2,0.06669772994262241,fb63c34e-0c28-4a4d-b8f8-59932b5e7875,9,P,True,4944,4944,DENSE,0.013458833554905146,18.709925777509405,0.7957162284985034,0.36809808015823364,0.01382693163506338,0.25283111390421453,0.00846996728734628,-0.0034737884998321533,-0.3306888472274814,-0.023761951400719794,0.05756688117980957,2.5440102611170516,0.02470083400118428,0.14024633169174194
