scope,dataset,video,method,stage,qp,bitstream_path,bitstream_bytes,bitstream_sha256,real_rans
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_0500_qp1.bin,11059,126e45429a47f4f0a04df849ca33968935668586df3cb89e740fed166833e07c,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_0500_qp3.bin,18790,c159297d784a58bc74e4bdfb3f915f1f76d7c467dfed9260311edb0b75d4a8a6,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_1000_qp1.bin,10526,f9bfc0c0e99e0c87d60035d7375313b751c19be9a6e29f9d55f735310dbcc27f,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_1000_qp3.bin,17759,aafcf2d130dbcbd900866dcbb85defcc246d17128512b6701756955cdbd08847,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_2000_qp1.bin,10119,f3f20f66d98e2a0d21cdf7dc0465b92c0b893b91ed3f632c1629a282f4937641,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_2000_qp3.bin,17200,cc1bc0584671aa04bb9f8140ea3f88cb015cefa2e7da6c724e9ef041000101f8,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_5000_qp1.bin,9891,1f3047f7e1f56137fe2b767d6bb647ca1d70d7ce768668ff79d497f62d912ca0,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_mid,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_5000_qp3.bin,16899,9d642c11a0167532f274b2cb2f56b10c08be9205fcef50e3821074b83ec53f42,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_0000_qp1.bin,12768,7b9a26eb39330df0629c97ced0f523ea3b20540a6c37a34ab56b18d48c5c41b6,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_0000_qp3.bin,20854,c3e2179ee2854aa1f857e6ffe0029bd90a034a38f760d16d288d203cb1909126,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_0500_qp1.bin,10185,6bcd22a6ff4989cb22823668c55f766c76b73ef2182e8c62d669278477fea9ec,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_0500_qp3.bin,16809,3a2b34680ad6d4a693e266d33b95396e056317460a152a4d50ec672e5ed36137,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_1000_qp1.bin,8260,53c03c9f8e1c9de36230080b8c20bb67eced8132ac2852eb19bfa6a7b46bea9d,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_1000_qp3.bin,13757,46c10559e6c5f48407bb7a9cf22f5e3144ba3a51f12b203376c0c2535cf36e62,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,1,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_2000_qp1.bin,10205,1f4c1482eaf6c4b429cf1f6cc854f2556017cd760dbbd2f2e1446f803a8ec58a,True
validation,validation,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,beta_high,B,3,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_high/step_2000_qp3.bin,17023,2a74196fd242a6bd0708b256a791b402014c37365b924c5a55dc6fc3fb0a167f,True
