stage,beta,beta_value,step,video,qp,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,compression_hash_before,compression_hash_after,bytes_consumed,decode_status,independent_decode_pass,finite
B,beta_low,11.535188183693629,1000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,11985,95880,0.005779803240740741,359.55,372162.130859375,0.007478180677311901,21.26204046240953,0.9169799089431763,0.7235422059893608,0.24993803352117538,0.14990463107824326,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_1000_qp1.bin,3ee3173027b3300b10991747cd1f05a6de6eaa82bd0a390249c75e8f7136b464,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,11985,PASS,True,True
B,beta_low,11.535188183693629,1000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,19867,158936,0.009580922067901235,596.01,319348.759765625,0.006416955210053872,21.926709920465584,0.9290815964341164,0.7835658416152,0.21397799253463745,0.13107210397720337,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_1000_qp3.bin,ff97371b74921b6a4286d059b600d94f345abce09354269bf2558316002e4d2a,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,19867,PASS,True,True
B,beta_low,11.535188183693629,2000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,11892,95136,0.005734953703703704,356.76,419535.71875,0.00843009980127154,20.741672838705185,0.9109131023287773,0.7177663668990135,0.2572004199028015,0.15591292083263397,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_2000_qp1.bin,8f6ed65d8b1741e2acafb00d86707929e2c3e8c2f1789b090b9a380ca39111b5,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,11892,PASS,True,True
B,beta_low,11.535188183693629,2000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,19712,157696,0.009506172839506173,591.36,358741.962890625,0.0072085174513451845,21.421540458084223,0.9240033701062202,0.777915395796299,0.2187506351619959,0.14085550606250763,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_2000_qp3.bin,8a76f407a1f8349f88dd63d69dbea868740b9cd17f432d3c380b90717ccd237b,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,19712,PASS,True,True
B,beta_low,11.535188183693629,5000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,11374,90992,0.005485146604938272,341.22,455811.4921875,0.009159020788875627,20.381509552317333,0.9060199782252312,0.7057044208049774,0.26082552038133144,0.17060870677232742,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_5000_qp1.bin,9d6c306d285d0cefc1169573f2513017ee8b1c36a2fd28c91742130f6c3851ed,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,11374,PASS,True,True
B,beta_low,11.535188183693629,5000,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,18900,151200,0.009114583333333334,567.0,384902.228515625,0.007734178652979219,21.11585800312225,0.9203514233231544,0.7673070579767227,0.2248768676072359,0.1434321403503418,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_low/step_5000_qp3.bin,9b7cbce3a3d412c9111f1601698c6309a80af8cf477562bdd1ba7f904dd829e0,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,18900,PASS,True,True
B,beta_mid,38.450627278978764,0,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,12768,102144,0.0061574074074074074,383.04,393659.875,0.007910153738265174,21.018150756639685,0.9134660065174103,0.7267123237252235,0.25278439559042454,0.16803347319364548,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_0000_qp1.bin,7b9a26eb39330df0629c97ced0f523ea3b20540a6c37a34ab56b18d48c5c41b6,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,12768,PASS,True,True
B,beta_mid,38.450627278978764,0,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,20854,166832,0.010056905864197531,625.62,334576.375,0.006722937061953447,21.72440954456159,0.9265279173851013,0.7882126495242119,0.218875702470541,0.1405101865530014,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_0000_qp3.bin,c3e2179ee2854aa1f857e6ffe0029bd90a034a38f760d16d288d203cb1909126,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,20854,PASS,True,True
B,beta_mid,38.450627278978764,500,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,1,11059,88472,0.0053332368827160494,331.77,543556.99609375,0.010922168292135858,19.616911360056697,0.8966843783855438,0.6950226202607155,0.27022740989923477,0.16016650944948196,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_0500_qp1.bin,126e45429a47f4f0a04df849ca33968935668586df3cb89e740fed166833e07c,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,11059,PASS,True,True
B,beta_mid,38.450627278978764,500,clips_long_1920/3ed03b37-46cd-442c-a790-29fd5ed72122.mp4,3,18790,150320,0.00906153549382716,563.7,475857.9375,0.00956183162736304,20.194589079892083,0.9107214212417603,0.7553634494543076,0.2326091192662716,0.14397460222244263,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/validation/beta_mid/step_0500_qp3.bin,c159297d784a58bc74e4bdfb3f915f1f76d7c467dfed9260311edb0b75d4a8a6,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,18790,PASS,True,True
