dataset,video,video_id,metric,original_qp,original_kbps,original_metric,v2_method,v2_beta,v2_qp,v2_kbps,v2_metric,rate_saving_percent,metric_difference
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,LPIPS,0,176.34,0.16652561782393605,v2_beta_mid,beta_mid,2,217.23,0.16686258383560926,-23.18815923783599,0.00033696601167321205
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,DISTS,0,176.34,0.09301046747714281,v2_stage_a,none,0,181.36125,0.09262405429035425,-2.847482136781223,-0.00038641318678855896
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,LPIPS,1,216.19875,0.15376342937815934,v2_stage_a,none,0,181.36125,0.15566319786012173,16.113645430419915,0.0018997684819623828
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,DISTS,1,216.19875,0.08793372195214033,v2_beta_low,beta_low,1,205.65375,0.08623160980641842,4.877456507033453,-0.0017021121457219124
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,LPIPS,2,288.10875,0.1305051976814866,v2_beta_low,beta_low,2,266.145,0.1223095862660557,7.623423446875531,-0.008195611415430903
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,DISTS,2,288.10875,0.07781535759568214,v2_beta_low,beta_low,2,266.145,0.07596672512590885,7.623423446875531,-0.0018486324697732925
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,LPIPS,3,362.05875,0.11635798751376569,v2_stage_a,none,2,294.24375,0.12144419574178755,18.730385607308207,0.00508620822802186
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,DISTS,3,362.05875,0.07021369971334934,v2_beta_low,beta_low,3,332.1075,0.06920010503381491,8.272483402210266,-0.0010135946795344353
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,0,157.1103896103896,0.15226008952595294,v2_beta_mid,beta_mid,3,236.1750749250749,0.15861621988005936,-50.32428823501358,0.006356130354106426
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,0,157.1103896103896,0.104271843098104,v2_beta_mid,beta_mid,3,236.1750749250749,0.10330613143742085,-50.32428823501358,-0.0009657116606831551
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,1,195.0974025974026,0.13170657213777304,v2_stage_a,none,0,157.6273726273726,0.13732037413865328,19.205806674603494,0.005613802000880241
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,1,195.0974025974026,0.09059106092900038,v2_stage_a,none,0,157.6273726273726,0.09081793762743473,19.205806674603494,0.00022687669843435287
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,2,239.97002997002997,0.11544713017065078,v2_stage_a,none,1,197.52497502497502,0.11939814640209079,17.687648307730736,0.003951016231440008
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,2,239.97002997002997,0.0836072014644742,v2_stage_a,none,1,197.52497502497502,0.08207730110734701,17.687648307730736,-0.0015299003571271896
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,LPIPS,3,295.9015984015984,0.10236039548180997,v2_stage_a,none,2,241.18381618381616,0.10569063643924892,18.491884637783915,0.0033302409574389458
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,DISTS,3,295.9015984015984,0.07474138494580984,v2_beta_low,beta_low,3,271.6783216783217,0.07554319780319929,8.186260856354279,0.0008018128573894501
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,0,103.50899100899102,0.08790032682009041,v2_beta_low,beta_low,0,94.73901098901099,0.08741293218918145,8.472674629026425,-0.00048739463090896606
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,0,103.50899100899102,0.08626880310475826,v2_beta_low,beta_low,1,119.80144855144854,0.08369950205087662,-15.740137531668461,-0.002569301053881645
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,1,132.28771228771228,0.07801714935339987,v2_beta_low,beta_low,1,119.80144855144854,0.07778610300738364,9.438717716357045,-0.0002310463460162282
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,1,132.28771228771228,0.07741482742130756,v2_beta_low,beta_low,2,151.58466533466535,0.07684867084026337,-14.587109198006356,-0.0005661565810441971
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,2,170.96403596403596,0.07108415098628029,v2_beta_low,beta_low,2,151.58466533466535,0.07014764891937375,11.335349285651668,-0.0009365020669065416
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,2,170.96403596403596,0.07177437469363213,v2_stage_a,none,3,232.012987012987,0.07168775331228971,-35.70865106494872,-8.662138134241104e-05
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,LPIPS,3,226.52472527472526,0.06322736787842587,v2_stage_a,none,3,232.012987012987,0.0638005179935135,-2.4228091355615473,0.0005731501150876284
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,DISTS,3,226.52472527472526,0.06645642593502998,v2_stage_a,none,3,232.012987012987,0.07168775331228971,-2.4228091355615473,0.005231327377259731
uvg,Beauty,0,LPIPS,0,243.39,0.2069778407458216,v2_beta_low,beta_low,0,242.955,0.20803378359414637,0.17872550228028017,0.0010559428483247757
uvg,Beauty,0,DISTS,0,243.39,0.15467291325330734,v2_stage_a,none,3,657.015,0.1635345509275794,-169.94330087513868,0.00886163767427206
uvg,Beauty,0,LPIPS,1,330.855,0.16401762492023408,v2_stage_a,none,2,471.75,0.16808448894880712,-42.58512036995057,0.004066864028573036
uvg,Beauty,0,DISTS,1,330.855,0.14594698697328568,v2_stage_a,none,3,657.015,0.1635345509275794,-98.58094935848028,0.017587563954293728
uvg,Beauty,0,LPIPS,2,449.625,0.1458728804718703,v2_stage_a,none,3,657.015,0.15567454090341926,-46.12510425354462,0.009801660431548953
uvg,Beauty,0,DISTS,2,449.625,0.14081368502229452,v2_stage_a,none,3,657.015,0.1635345509275794,-46.12510425354462,0.02272086590528488
uvg,Beauty,0,LPIPS,3,620.235,0.13138094905298203,v2_stage_a,none,3,657.015,0.15567454090341926,-5.9300103992841375,0.024293591850437224
uvg,Beauty,0,DISTS,3,620.235,0.13340519834309816,v2_stage_a,none,3,657.015,0.1635345509275794,-5.9300103992841375,0.03012935258448124
uvg,Bosphorus,1,LPIPS,0,368.19,0.18967848084867,v2_stage_a,none,1,476.76,0.18421129183843732,-29.487492870528804,-0.005467189010232687
uvg,Bosphorus,1,DISTS,0,368.19,0.19834282528609037,v2_stage_a,none,3,809.91,0.20186490286141634,-119.97066731850403,0.003522077575325966
uvg,Bosphorus,1,LPIPS,1,464.91,0.1695101570803672,v2_beta_low,beta_low,3,741.255,0.1671054067555815,-59.440536878105426,-0.0024047503247857094
uvg,Bosphorus,1,DISTS,1,464.91,0.18618501536548138,v2_stage_a,none,3,809.91,0.20186490286141634,-74.207911208621,0.015679887495934963
uvg,Bosphorus,1,LPIPS,2,599.58,0.15018174285069108,v2_stage_a,none,3,809.91,0.15190736041404307,-35.079555688982275,0.0017256175633519888
uvg,Bosphorus,1,DISTS,2,599.58,0.1734229801222682,v2_stage_a,none,3,809.91,0.20186490286141634,-35.079555688982275,0.02844192273914814
uvg,Bosphorus,1,LPIPS,3,779.235,0.13485229574143887,v2_stage_a,none,3,809.91,0.15190736041404307,-3.9365531579048625,0.017055064672604203
uvg,Bosphorus,1,DISTS,3,779.235,0.16246113646775484,v2_stage_a,none,3,809.91,0.20186490286141634,-3.9365531579048625,0.0394037663936615
uvg,HoneyBee,2,LPIPS,0,346.5,0.18208844610489905,v2_stage_a,none,1,432.15,0.17167713958770037,-24.718614718614713,-0.010411306517198682
uvg,HoneyBee,2,DISTS,0,346.5,0.15106658916920424,v2_beta_low,beta_low,2,514.83,0.14941485226154327,-48.58008658008659,-0.0016517369076609612
uvg,HoneyBee,2,LPIPS,1,422.52,0.16077597788535058,v2_beta_low,beta_low,1,414.75,0.17066041938960552,1.838966202783296,0.009884441504254937
