dataset,video,video_id,video_tag,method,stage,beta,checkpoint,qp,num_frames,fps,bytes,bits,bpp,kbps,total_pixel_SSE,aggregate_MSE,PSNR,SSIM,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,state_sync_pass,compression_hash_before,compression_hash_after,bytes_consumed,decode_status,independent_decode_pass,finite,sequence_PSNR,mean_PSNR,model_hash_before,model_hash_after
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_low,B,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,2,64,30.0,70972,567776,0.00427830825617284,266.145,1937647.056640625,0.004866855590922352,23.127515399278526,0.9727121237665415,0.8835575627163053,0.1223095862660557,0.07596672512590885,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_low_qp2.bin,02c1472e2c2e734adc15e1b875465774a2c7160fa90183a0d040cdc600afd9ce,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,70972,PASS,True,True,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_low,B,beta_low,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_low/step_5000.pt,3,64,30.0,88562,708496,0.005338662229938272,332.1075,1735651.1328125,0.004359495394514422,23.605637768003213,0.9757310133427382,0.89647885132581,0.1087576214922592,0.06920010503381491,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_low_qp3.bin,400bedffe876f055205cf901b6403f8822ea887bd39a9b6f54e37c5ada4893c4,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,88562,PASS,True,True,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_mid,B,beta_mid,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_mid/step_5000.pt,0,64,30.0,35908,287264,0.002164592978395062,134.655,4920618.41015625,0.012359288621831823,19.080065257281127,0.9373574731871486,0.8019368601962924,0.2074753870256245,0.11333644576370716,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_mid_qp0.bin,72ea204b7029e610f0cd546f9b982ac276e813d087659abe3d039f2974758123,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,35908,PASS,True,True,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_mid,B,beta_mid,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_mid/step_5000.pt,1,64,30.0,46129,369032,0.0027807315779320987,172.98375,4312465.265625,0.010831769189716857,19.653006027856215,0.9451639708131552,0.8238599421456456,0.18498315114993602,0.10388058610260487,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_mid_qp1.bin,f1b14338a17c9a89fed6e14da022673f437ce8b91a0880cc6c8fec30518caf88,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,46129,PASS,True,True,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_mid,B,beta_mid,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_mid/step_5000.pt,2,64,30.0,57928,463424,0.003491994598765432,217.23,3832760.60546875,0.009626878289038262,20.16514518860351,0.9513454744592309,0.8417414641007781,0.16686258383560926,0.09725826233625412,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_mid_qp2.bin,86fc41a81dd8484a4bfe82dd23a481cb7db10db717f2b1566eb7c2b07bb31a57,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,57928,PASS,True,True,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_mid,B,beta_mid,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_mid/step_5000.pt,3,64,30.0,72804,582432,0.004388744212962963,273.015,3472243.55859375,0.008721355067359077,20.594160319761748,0.9562917575240135,0.857524462044239,0.1513732037274167,0.09189317375421524,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_mid_qp3.bin,bff11144c8d7d856aa583897633d67482288e92d4a21d3f1a3ce8ffd0323583b,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,72804,PASS,True,True,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_high,B,beta_high,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_high/step_5000.pt,0,64,30.0,26082,208656,0.001572265625,97.8075,21246572.2578125,0.0533657554540124,12.727373382533195,0.8000283052679151,0.6760232346132398,0.36494225868955255,0.19448692444711924,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_high_qp0.bin,39c05d10133ddd57e4ff3c502bc595796b2d37634924b4cd7c7b15f11a9f1d4a,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,26082,PASS,True,True,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_high,B,beta_high,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_high/step_5000.pt,1,64,30.0,33916,271328,0.0020445119598765434,127.185,19923488.140625,0.050042519000332054,13.006608372598023,0.8087391455192119,0.6980830924585462,0.3375282110646367,0.18136841151863337,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_high_qp1.bin,574897b50bc6d6ca0a0188b64c2effac36c3b86c374e46d5803950d92c94ecb0,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,33916,PASS,True,True,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_high,B,beta_high,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_high/step_5000.pt,2,64,30.0,44302,354416,0.0026705970293209877,166.1325,17483222.9921875,0.04391322004451673,13.574047160203778,0.8275257016066462,0.7225710460916162,0.30757578858174384,0.17006830964237452,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_high_qp2.bin,79de82003db351b9c7403b4b267cc87c8d4abb11c094c80772a5eb4a8609e8a0,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,44302,PASS,True,True,,,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,fresh_ulong_00,v2_beta_high,B,beta_high,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/checkpoints/beta_high/step_5000.pt,3,64,30.0,56555,452440,0.003409227912808642,212.08125,15251825.2265625,0.03830854056793966,14.16704392923309,0.8454101248644292,0.7424507415853441,0.2823447596747428,0.15975122712552547,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_neural_wrapper_v2_joint/bitstreams/test/fresh_ulong_00/beta_high_qp3.bin,029351abd89c5840b9d603a1f7d58fa5dfda82ad6fddd1e84d6d0b2e138a8621,True,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,0f0c0e2358ceec024230154da4777ed5c444a8382af1ec9d7165f3d7886141cf,56555,PASS,True,True,,,,
