dataset,video,video_id,QP,actual_total_bytes,actual_bits,kbps,bpp,PSNR,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_pass
uvg,Beauty,0,0,16226,129808,243.39,0.0009781298225308643,27.82007438626623,0.9767951928079128,0.16271110833622515,0.14549557864665985,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_00_qp0_multi_qp.bin,133f666e2a31c5fcc6b543ad7eb3377b67aefa49070fffaa4d945394f120baa0,True
uvg,Beauty,0,1,22057,176456,330.855,0.0013296320408950617,27.739446239050412,0.9767590817064047,0.1534828911535442,0.14173196256160736,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_00_qp1_baseline.bin,13fdd9c6a840f891261e981d633e82ee5be3bda83988b3baa2f497cbe4e36e7d,True
uvg,Beauty,0,2,29975,239800,449.625,0.0018069420331790122,27.741255342382868,0.9769713319838047,0.1413091905415058,0.137942086905241,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_00_qp2_multi_qp.bin,8bf5d404b6b8af15fd1e7e9de49fe8da815420162bb55ef8a8dac4ae47bb0ca4,True
uvg,Beauty,0,3,41349,330792,620.235,0.0024925853587962963,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_00_qp3_baseline.bin,4c8229f65cb550a0586288cb5a25e94104c56b78bcd5ec7229ce4615ba98bfac,True
uvg,Bosphorus,1,0,24546,196368,368.19,0.0014796730324074074,30.532183336541955,0.9498023949563503,0.1775491484440863,0.14894823171198368,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_01_qp0_multi_qp.bin,428726f84c6d6723d74be41e66b078f6cefe3be6c427bc22725c7a281f5527f9,True
uvg,Bosphorus,1,1,30994,247952,464.91,0.0018683690200617285,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_01_qp1_baseline.bin,df7bdf4f3e256c1610669f26f5a8706e357db62314d10a9b707c43c09636c8e4,True
uvg,Bosphorus,1,2,39972,319776,599.58,0.0024095775462962964,31.11556798941969,0.956200254149735,0.14289408060722053,0.12737459782510996,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_01_qp2_multi_qp.bin,d64a0c6bf84e418f7e4456a9e92990842309055ed269c26ff8c4b1e420e16e81,True
uvg,Bosphorus,1,3,51949,415592,779.235,0.003131570698302469,31.472206806681417,0.9598000217229128,0.12848799442872405,0.1171071631833911,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_01_qp3_baseline.bin,abf456d08544418d14ff29dd33ac972307f54eba31d515eaeefafb47097b271d,True
uvg,HoneyBee,2,0,23100,184800,346.5,0.001392505787037037,29.394359726027826,0.9686149451881647,0.1727496951352805,0.1402972536161542,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_02_qp0_multi_qp.bin,9b011532d449bc880f5a1babc5c8b67314874730f1569a5201ae81673e02b053,True
uvg,HoneyBee,2,1,28168,225344,422.52,0.0016980131172839505,29.7708103550545,0.9727460807189345,0.15386110451072454,0.12848099041730165,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_02_qp1_baseline.bin,4f07426c355d1e68738aa5c2d6781df595e4b7fc14c159d35f424fdb770ccde0,True
uvg,HoneyBee,2,2,35589,284712,533.835,0.002145363136574074,30.117648187553115,0.9762765178456903,0.13532210898119956,0.12273589707911015,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_02_qp2_multi_qp.bin,28958a31ec20582ac4b9c90f61ceb89dcd847380de5204b2d1d2d1a8a12f202a,True
uvg,HoneyBee,2,3,44679,357432,670.185,0.0026933232060185187,30.635786704063676,0.979667286388576,0.1192838343558833,0.11505281273275614,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_02_qp3_baseline.bin,6d4359ff358945a8171b91e5cf29771bfcf25598d6d9e4fb87da5347e1689dd5,True
