dataset,video,video_id,qp,trajectory,total_actual_bytes,bpp,kbps,PSNR,MS_SSIM,LPIPS,DISTS
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,baseline,57653,0.003475417148919753,216.19875,24.52116441850623,0.9759418275207281,0.15588989714160562,0.09348528552800417
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,uniform_2x,55407,0.0033400245949074072,207.77625,24.12447150905432,0.9736578827723861,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,uniform_4x,55058,0.0033189863040123456,206.4675,24.064110296332057,0.9733696402981877,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,baseline,96549,0.005820131655092592,362.05875,25.9471324105213,0.9826976666226983,0.1200498960679397,0.07413897477090359
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,uniform_2x,89377,0.005387791763117284,335.16375,25.456250876929307,0.9806302823126316,,
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,3,uniform_4x,89471,0.005393458236882716,335.51625,25.342593696819712,0.9801213834434748,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,baseline,52078,0.0031393470293209877,195.0974025974026,29.142785612015437,0.979019558057189,0.13199148036073893,0.0770218400284648
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,uniform_2x,50028,0.003015769675925926,187.41758241758242,28.73517897146518,0.9769074935466051,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,1,uniform_4x,50122,0.003021436149691358,187.76973026973027,28.697239447211185,0.9767105104401708,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,baseline,78986,0.004761405285493827,295.9015984015984,30.15030891001539,0.9835106832906604,0.10498300509061664,0.06271296553313732
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,uniform_2x,74693,0.0045026162229938275,279.8189310689311,29.811533045766478,0.982150487601757,,
fresh_ulong,0834e99f-94bc-4568-a7c2-f7022dade8e1,1,3,uniform_4x,74049,0.004463794849537037,277.40634365634367,29.705202478769117,0.981667940504849,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,baseline,35312,0.00212866512345679,132.28771228771228,28.47158724994585,0.981841198168695,0.07612672576215118,0.07411882560700178
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,uniform_2x,35960,0.00216772762345679,134.7152847152847,28.19768640743492,0.9804984470829368,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,1,uniform_4x,35950,0.0021671248070987653,134.67782217782218,28.12644794453499,0.9801452727988362,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,baseline,60467,0.0036450496720679014,226.52472527472526,29.1175276946312,0.9851789195090532,0.06236264604376629,0.061576093547046185
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,uniform_2x,59092,0.0035621624228395063,221.37362637362637,28.881555841455906,0.9841498648747802,,
fresh_ulong,98881c99-ebda-4469-bbe4-0ee789ff217d,10,3,uniform_4x,59261,0.0035723500192901235,222.00674325674325,28.79664756294213,0.9837984144687653,,
uvg,Beauty,0,1,baseline,22057,0.0013296320408950617,330.855,27.739446239050412,0.9767590817064047,0.1534828911535442,0.14173196256160736
uvg,Beauty,0,1,uniform_2x,23064,0.0013903356481481481,345.96,27.703321625172602,0.9765854720026255,,
uvg,Beauty,0,1,uniform_4x,23064,0.0013903356481481481,345.96,27.711648537622786,0.9766181707382202,,
uvg,Beauty,0,3,baseline,41349,0.0024925853587962963,620.235,28.088038592015966,0.9787926878780127,0.12948396836873144,0.1316287936642766
uvg,Beauty,0,3,uniform_2x,40428,0.0024370659722222224,606.42,28.023038583737566,0.9784889686852694,,
uvg,Beauty,0,3,uniform_4x,40451,0.002438452449845679,606.765,28.037675870510494,0.9785525100305676,,
uvg,Bosphorus,1,1,baseline,30994,0.0018683690200617285,464.91,30.87728239422079,0.9534675534814596,0.15879749436862767,0.13753508869558573
uvg,Bosphorus,1,1,uniform_2x,31982,0.0019279272762345678,479.73,30.77496099531802,0.9523679614067078,,
uvg,Bosphorus,1,1,uniform_4x,31929,0.001924732349537037,478.935,30.754857661372792,0.9521135464310646,,
uvg,Bosphorus,1,3,baseline,51949,0.003131570698302469,779.235,31.472206806681417,0.9598000217229128,0.12848799442872405,0.1171071631833911
uvg,Bosphorus,1,3,uniform_2x,51475,0.0031029972029320988,772.125,31.360705371349397,0.958704549819231,,
uvg,Bosphorus,1,3,uniform_4x,51353,0.0030956428433641975,770.295,31.340761008001802,0.958522466942668,,
uvg,HoneyBee,2,1,baseline,28168,0.0016980131172839505,422.52,29.7708103550545,0.9727460807189345,0.15386110451072454,0.12848099041730165
uvg,HoneyBee,2,1,uniform_2x,27831,0.0016776982060185185,417.465,29.354336798733602,0.969733408652246,,
uvg,HoneyBee,2,1,uniform_4x,27780,0.0016746238425925926,416.7,29.326648875109534,0.9696627603843808,,
uvg,HoneyBee,2,3,baseline,44679,0.0026933232060185187,670.185,30.635786704063676,0.979667286388576,0.1192838343558833,0.11505281273275614
uvg,HoneyBee,2,3,uniform_2x,42691,0.00257348331404321,640.365,30.251507601035478,0.977602256461978,,
uvg,HoneyBee,2,3,uniform_4x,42618,0.0025690827546296295,639.27,30.226268726990718,0.9774924200028181,,
