dataset,video,video_id,qp,trajectory_id,parent_trajectory_id,frame,candidate_map,actual_frame_bytes,cumulative_actual_bytes,baseline_cumulative_bytes,frame_RGB_MSE,cumulative_RGB_MSE,mode_map_bytes,w1_bytes,estimated_w1_entropy_bits,DPB_state_hash,bitstream_hash,entered_beam
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T1,fresh_ulong_00_qp1_root,1,all_1x,5796,10901,10901,0.006142152938991785,0.015937924850732088,0,1079,8627.728515625,7605166768a2a9a73aaba178406bc94a32768aa5b807e991165a202e7aded1fc,97a37ad64358c12ae2b37d2a781a59a4faee167188c8ba30740596894744996a,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T2,fresh_ulong_00_qp1_root,1,mild,5834,10939,10901,0.006142152938991785,0.015937924850732088,3,1082,8627.728515625,7605166768a2a9a73aaba178406bc94a32768aa5b807e991165a202e7aded1fc,315fb56a1fc4b71d1a2afb447ba642de23d79a4b31522cfa79d883d01082acd3,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T6,fresh_ulong_00_qp1_T1,2,all_1x,1256,12157,12157,0.005949847865849733,0.02188777271658182,0,236,1884.983154296875,bec6232024261b4104d42a852a5dc0887bc66583ccc8502aa3faf320657b3345,fcc9dbc3b0b3f21214d20b503c2376945769aa924e3f080817e14decc1181755,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T7,fresh_ulong_00_qp1_T1,2,mild,1294,12195,12157,0.005949847865849733,0.02188777271658182,3,239,1884.983154296875,bec6232024261b4104d42a852a5dc0887bc66583ccc8502aa3faf320657b3345,24d640b1ed5c205ab417b8bc0908fe45f4c92072f0a3db57e6c753c629549ebd,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T11,fresh_ulong_00_qp1_T2,2,all_1x,1256,12195,12157,0.005949847865849733,0.02188777271658182,0,236,1884.983154296875,bec6232024261b4104d42a852a5dc0887bc66583ccc8502aa3faf320657b3345,fe55f5983369e4d42b3eb5f93fd705eff52ea380588c2af2d6c879779c898aa9,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T12,fresh_ulong_00_qp1_T2,2,mild,1294,12233,12157,0.005949847865849733,0.02188777271658182,3,239,1884.983154296875,bec6232024261b4104d42a852a5dc0887bc66583ccc8502aa3faf320657b3345,e9d1164531c89235f81628346e226c58c274421a13af355300febbba72c6b994,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T16,fresh_ulong_00_qp1_T6,3,all_1x,932,13089,13089,0.006025309208780527,0.02791308192536235,0,124,990.5091552734375,72178bbed1d2bef8df966496420375b56244a6f7dd4343bdb2edce3c375650ec,65b31a105565fc2dffbba826ecdbfd103fbfeab2d9160a3e8fd366881bf2a3b0,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T17,fresh_ulong_00_qp1_T6,3,mild,970,13127,13089,0.006025309208780527,0.02791308192536235,3,127,990.5091552734375,72178bbed1d2bef8df966496420375b56244a6f7dd4343bdb2edce3c375650ec,c51e38844e67ef8e303d26114894f197df2b912f8cda6f8f4188df7539633f81,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T21,fresh_ulong_00_qp1_T7,3,all_1x,932,13127,13089,0.006025309208780527,0.02791308192536235,0,124,990.5091552734375,72178bbed1d2bef8df966496420375b56244a6f7dd4343bdb2edce3c375650ec,9c304952f28b26263da32c9fb42d8b6f95be67de8c5262e9fcf7b9e50d5ead30,True
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,fresh_ulong_00_qp1_T26,fresh_ulong_00_qp1_T11,3,all_1x,932,13127,13089,0.006025309208780527,0.02791308192536235,0,124,990.5091552734375,72178bbed1d2bef8df966496420375b56244a6f7dd4343bdb2edce3c375650ec,6a99bcc210823b627456d111a37ee44bd594f7b60a122a1e110bd79b62dd719f,True
