dataset,video,video_id,qp,frame,trajectory_id,cumulative_actual_bytes,baseline_cumulative_bytes,rate_ratio_to_prefix_baseline,cumulative_RGB_MSE,beam_rank,DPB_state_hash,bitstream_hash
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,fresh_ulong_00_qp1_T46,14549,14511,1.0026187030528564,0.03373121563345194,2,f8e16b5166d23e7049b1727f390d8d25bd6854a9696800539db64dbe7baaceb3,84edcd12cac3717739be9d862903ce8eb6c16a90a88796fac73b35208c4f75bb
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,fresh_ulong_00_qp1_T51,14549,14511,1.0026187030528564,0.03373121563345194,3,f8e16b5166d23e7049b1727f390d8d25bd6854a9696800539db64dbe7baaceb3,0fa9c3f18398ceec3f036887192da28e3357a6b2d28f9097bf1f41483a932cae
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,fresh_ulong_00_qp1_T37,14550,14511,1.0026876162910896,0.03373121563345194,4,f8e16b5166d23e7049b1727f390d8d25bd6854a9696800539db64dbe7baaceb3,f956cf89a1b586c64f373b2a1b889a4b95794d697dad1a412bc008bd06d2811f
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,fresh_ulong_00_qp1_T56,14587,14511,1.005237406105713,0.03373121563345194,5,f8e16b5166d23e7049b1727f390d8d25bd6854a9696800539db64dbe7baaceb3,1f1b3f189979a462d36819ad2a0935750517ea3ab0517f502f6f5883132687b7
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,fresh_ulong_00_qp1_T61,14587,14511,1.005237406105713,0.03373121563345194,6,f8e16b5166d23e7049b1727f390d8d25bd6854a9696800539db64dbe7baaceb3,63b71f2a6fddd438cf87d40a618259dcbc2fd2d45381166a5efefd1850a3118a
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,4,fresh_ulong_00_qp1_T66,14587,14511,1.005237406105713,0.03373121563345194,7,f8e16b5166d23e7049b1727f390d8d25bd6854a9696800539db64dbe7baaceb3,8e1b5bd85ae2554f03ab77eaa3f048f3f135916673364546deef2d8cd3c98622
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T76,15916,15916,1.0,0.039329493418335915,0,36a3a686ecd09850adca6d3e326624e5ba3ace78e0815c3c32dff89730996287,9f0c49550fd40effa5e8763f780c424c226f0246b04d25b347c5783ed0aaa05e
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T77,15954,15916,1.0023875345564213,0.039329493418335915,1,36a3a686ecd09850adca6d3e326624e5ba3ace78e0815c3c32dff89730996287,025e9956e2dec0272e0ed937bf4ddb987d58575dfd60adcb0553bbfda73dfd4d
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T81,15954,15916,1.0023875345564213,0.039329493418335915,2,36a3a686ecd09850adca6d3e326624e5ba3ace78e0815c3c32dff89730996287,d9c443c5a3b50f8bf180dd7cfe983f7c8c3b165b09ccd4a012b5111289c43cf2
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T86,15954,15916,1.0023875345564213,0.039329493418335915,3,36a3a686ecd09850adca6d3e326624e5ba3ace78e0815c3c32dff89730996287,bfa142ba248d873ed259ff6723ffedad149294365bef8ae6f59ba7714f570f05
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T91,15954,15916,1.0023875345564213,0.039329493418335915,4,36a3a686ecd09850adca6d3e326624e5ba3ace78e0815c3c32dff89730996287,6767046b0ec1bdfc2cd5abb160064f760eeb17bf35076dfdc4f2e27448a489a7
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T96,15955,15916,1.002450364413169,0.039329493418335915,5,36a3a686ecd09850adca6d3e326624e5ba3ace78e0815c3c32dff89730996287,fb487708c546fe6ff9ed2415d8cbeaa8f5a020e57b89757d2f983cbdc230de29
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T82,15992,15916,1.0047750691128423,0.039329493418335915,6,36a3a686ecd09850adca6d3e326624e5ba3ace78e0815c3c32dff89730996287,e510239654a6b1b83f351823f1fe6cfe90cbd6329a643c613a10424c6af62e00
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,5,fresh_ulong_00_qp1_T87,15992,15916,1.0047750691128423,0.039329493418335915,7,36a3a686ecd09850adca6d3e326624e5ba3ace78e0815c3c32dff89730996287,0e35cde2aa363e1e74c8c62992faa128ddb4aa679062baedef85a91371b367cf
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,fresh_ulong_00_qp1_T116,17082,17082,1.0,0.044977786019444466,0,19a8f596f8f70aaccffb15180753802088423fb912eeb2e04f244f4e44e219aa,a3ce94bf39dd8ecd6fdc127aec70798fbb8d66710ef252eec4e54264c798b6be
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,fresh_ulong_00_qp1_T121,17120,17082,1.0022245638683995,0.044977786019444466,1,19a8f596f8f70aaccffb15180753802088423fb912eeb2e04f244f4e44e219aa,09ddf7414689e29c5887dd0e1af690386836a2ce4460961796feb2f245b10541
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,fresh_ulong_00_qp1_T126,17120,17082,1.0022245638683995,0.044977786019444466,2,19a8f596f8f70aaccffb15180753802088423fb912eeb2e04f244f4e44e219aa,8dec3338958811cc96f6824ed81092bd3d3ed14b06aa7911cafa90e517c65c04
fresh_ulong,fee5d9ad-e77d-44cd-b576-d588d7a0ce9d,0,1,6,fresh_ulong_00_qp1_T131,17120,17082,1.0022245638683995,0.044977786019444466,3,19a8f596f8f70aaccffb15180753802088423fb912eeb2e04f244f4e44e219aa,56ec1345da03934a02458736edcb9ddfc6fcd914ead2be92ece9651cb00ad0a9
