dataset,video,video_id,qp,control,global_delta,total_actual_bytes,actual_bits,bpp,kbps,I_bytes,z_bytes,w0_bytes,w1_bytes,mode_map_bytes,header_bytes,MSE,PSNR,MS_SSIM,LPIPS,DISTS,bitstream_path,bitstream_sha256,decode_audit_pass
uvg,Beauty,0,1,uniform_2x,2,23064,184512,0.0013903356481481481,345.96,3019,7149,10381,256,0,2259,0.0017060662412404781,27.703321625172602,0.9765854720026255,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_00_qp1_uniform_2x.bin,14c8b7e9789c729bb022897c6055a1437fb9848d590c48185f6f1febbb7036de,True
uvg,Beauty,0,1,uniform_4x,4,23064,184512,0.0013903356481481481,345.96,3019,7161,10373,252,0,2259,0.001702961224509636,27.711648537622786,0.9766181707382202,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_00_qp1_uniform_4x.bin,c52cf151c168f17e1a0db2d075c17d0155f4634daf9d8fbdd93e457748f7c535,True
uvg,Beauty,0,3,uniform_2x,2,40428,323424,0.0024370659722222224,606.42,4622,9991,23249,288,0,2278,0.001579824402142549,28.023038583737566,0.9784889686852694,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_00_qp3_uniform_2x.bin,04dc86da31acf9bb76e691a816b667aa6b122e335447113b687522ec3559e1ba,True
uvg,Beauty,0,3,uniform_4x,4,40451,323608,0.002438452449845679,606.765,4622,10036,23263,252,0,2278,0.0015746906810818473,28.037675870510494,0.9785525100305676,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_00_qp3_uniform_4x.bin,b0ecb561d10dad982eb1da7b29470248742ac0c0311219a4d5c9cf19dc6b6fd5,True
uvg,Bosphorus,1,1,uniform_2x,2,31982,255856,0.0019279272762345678,479.73,3910,5839,19728,256,0,2249,0.0008376720516025671,30.77496099531802,0.9523679614067078,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_01_qp1_uniform_2x.bin,dd12b44c0561f8268883928ee6613a39d6268fdb7687817bfc6833712929b6e5,True
uvg,Bosphorus,1,1,uniform_4x,4,31929,255432,0.001924732349537037,478.935,3910,5858,19660,252,0,2249,0.000841561118249956,30.754857661372792,0.9521135464310646,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_01_qp1_uniform_4x.bin,41beb8826868c6a85dcf4dfd145220e551c261930aadb563b446aefffdd06fd7,True
uvg,Bosphorus,1,3,uniform_2x,2,51475,411800,0.0031029972029320988,772.125,6159,7444,35345,276,0,2251,0.0007320209897443419,31.360705371349397,0.958704549819231,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_01_qp3_uniform_2x.bin,7744ba96cd2240fa3421082aed4f75d7bef625103238fac6f69f89cfbfb0a501,True
uvg,Bosphorus,1,3,uniform_4x,4,51353,410824,0.0030956428433641975,770.295,6159,7416,35274,252,0,2252,0.0007355587722486234,31.340761008001802,0.958522466942668,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_01_qp3_uniform_4x.bin,ef195315e4e4bfda4e492c8fb6a59343c5a1200eda1dd908d2796b3d648c13e6,True
uvg,HoneyBee,2,1,uniform_2x,2,27831,222648,0.0016776982060185185,417.465,5028,4606,15655,298,0,2244,0.0011639311032922706,29.354336798733602,0.969733408652246,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_02_qp1_uniform_2x.bin,4c8a8010412b5ad8a369c01976272951ddd4129773c81824c1c4ce88fa897ed9,True
uvg,HoneyBee,2,1,uniform_4x,4,27780,222240,0.0016746238425925926,416.7,5028,4622,15634,252,0,2244,0.0011716853823600104,29.326648875109534,0.9696627603843808,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_02_qp1_uniform_4x.bin,2a499077d2c76a45a29ce2129a248f62e2f44aa17a2b04aeb2e103cfdbf9130e,True
uvg,HoneyBee,2,3,uniform_2x,2,42691,341528,0.00257348331404321,640.365,8070,5935,26032,405,0,2249,0.00094585863280372,30.251507601035478,0.977602256461978,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_02_qp3_uniform_2x.bin,21c7e93e94e749e284ee8d546504c8de1bbc62a0c419e862500cde04d63ca7c4,True
uvg,HoneyBee,2,3,uniform_4x,4,42618,340944,0.0025690827546296295,639.27,8070,6015,26032,252,0,2249,0.0009513739769317908,30.226268726990718,0.9774924200028181,,,/Huang_group/zyyz/Projects/GVC-RT/experiments/gvcrt_v13_generator_aware_mixed_precision/bitstreams/uvg_02_qp3_uniform_4x.bin,3b3ecc6a2c8d44afdc937c2d2376b4fc1b8dda9b81746fe0d467dba5df7d0b8a,True
